tier,scenario_id,seed,controller,time_s,alpha_rad,q_radps,theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,alpha_error_rad,q_error_rad,theta_error_rad,mach,altitude_m,dynamic_pressure_pa,delta_flap_rad,delta_flap_raw_rad,delta_flap_rate_radps,flap_saturated,flap_rate_saturated,solver_status,solve_time_s,solver_failure,actuator_tau_prediction_s,corridor_violation,oracle_near_feasible,alpha_error_to_center_rad,alpha_margin_low_rad,alpha_margin_high_rad,dynamic_pressure_scaled,mach_scaled,actuator_tau_s,alpha_min_rate_radps,alpha_max_rate_radps
moderate,22,77,slack_oracle,30.0,0.23356950708036614,0.051360414891937864,1.6309022993190652,0.1801851851851852,-0.0014853198242187476,0.056005859375,0.11018518518518519,0.2501851851851852,-0.08,0.08,0.05338432189518094,0.05284573471615661,1.5748964399440653,19.65057948379968,78400.87890625,148.14539880568097,0.3499999091189705,0.34999986747659,0.0,False,False,oracle_solution,0.0,False,0.5,False,True,0.05338432189518097,0.12338432189518095,0.016615678104819037,0.014814539880568097,0.9825289741899841,0.5,0.003224451303155018,0.0032244513031549904
moderate,22,77,slack_oracle,31.0,0.23353939249463979,0.05134368642168046,1.6822543498363143,0.1834405006858711,-0.001523024902343753,0.054501591796875,0.11344050068587108,0.2534405006858711,-0.08,0.08,0.0500988918087687,0.052866711324024214,1.6277527580394393,19.573290861329905,78175.23876953125,152.3063003355444,0.34999988135738347,0.34999975523695254,0.0,False,False,oracle_solution,0.0,False,0.5,False,True,0.0500988918087687,0.1200988918087687,0.01990110819123131,0.015230630033554439,0.9786645430664953,0.5,0.0032553155006858903,0.003255315500685918
moderate,22,77,slack_oracle,32.0,0.2334999814623866,0.051326469109212486,1.7335894274136148,0.186721536351166,-0.0015599682617187527,0.05295999999999999,0.116721536351166,0.256721536351166,-0.08,0.08,0.04677844511122059,0.05288643737093124,1.6806294274136149,19.494544622611564,77944.0,156.69404833189384,0.3499997972770962,0.34499083931551,0.0,False,False,oracle_solution,0.0,False,0.5,False,True,0.04677844511122059,0.1167784451112206,0.023221554888779417,0.015669404833189383,0.9747272311305781,0.5,0.003281035665294918,0.003281035665294918
moderate,22,77,slack_oracle,33.0,0.23345267308487333,0.05130880151526927,1.7849070461399168,0.19002314814814816,-0.0015961499023437464,0.051381845703125005,0.12002314814814816,0.2600231481481482,-0.08,0.08,0.04342952493672517,0.05290495141761302,1.7335252004367918,19.414385202309198,77707.27685546875,161.3189288457153,0.3466604919693721,0.32088549385559234,0.0,False,False,oracle_solution,0.0,False,0.5,False,True,0.04342952493672514,0.11342952493672517,0.026570475063274868,0.01613189288457153,0.97071926011546,0.5,0.003301611796982157,0.0033016117969821845
moderate,22,77,slack_oracle,34.0,0.23339868959144924,0.0512909409819392,1.8362068299616645,0.19334019204389574,-0.001631569824218762,0.049767890625000005,0.12334019204389574,0.26334019204389575,-0.08,0.08,0.0400584975475535,0.05292251080615796,1.7864389393366644,19.33285631582411,77465.18359375,166.1918002052219,0.32947715989351894,0.2856352745652552,0.0,False,False,oracle_solution,0.0,False,0.5,False,True,0.0400584975475535,0.11005849754755351,0.029941502452446506,0.016619180020522192,0.9666428157912055,0.5,0.003317043895747579,0.003317043895747551
moderate,22,77,slack_oracle,35.0,0.23333929613558355,0.051273136721107185,1.8874887148562904,0.19666752400548698,-0.0016662280273437372,0.048118896484375,0.12666752400548698,0.266667524005487,-0.08,0.08,0.036671772130096564,0.05293936474845092,1.8393698183719154,19.25000099942194,77217.83447265625,171.32411656020474,0.30024923634134315,0.2460121557664127,0.0,False,False,oracle_solution,0.0,False,0.5,False,True,0.036671772130096564,0.10667177213009657,0.03332822786990344,0.017132411656020474,0.962500049971097,0.5,0.00332733196159124,0.00332733196159124
moderate,22,77,slack_oracle,36.0,0.23327571147461787,0.05125555542267498,1.9387528634323246,0.2,-0.001700124511718755,0.046435625,0.13,0.27,-0.08,0.08,0.03327571147461786,0.052955679934393735,1.8923172384323246,19.165861646911356,76965.34375,176.72795231389205,0.26409118262472286,0.20736715199525071,0.0,False,False,oracle_solution,0.0,False,0.5,False,True,0.03327571147461786,0.10327571147461787,0.03672428852538215,0.017672795231389204,0.9582930823455678,0.5,0.003332475994513029,0.003332475994513029
moderate,22,77,slack_oracle,37.0,0.23320902048111028,0.051238264118735874,1.989999558806479,0.20333247599451304,-0.001733259277343746,0.044718837890624995,0.13333247599451303,0.27333247599451305,-0.08,0.08,0.02987654448659724,0.05297152339607962,1.945280720915854,19.080480043263627,76707.82568359375,182.4160274268472,0.22627516220507476,0.17398840870671983,0.0,False,False,oracle_solution,0.0,False,0.5,False,True,0.02987654448659724,0.09987654448659725,0.04012345551340277,0.01824160274268472,0.9540240021631814,0.5,0.003332475994513029,0.003332475994513029
moderate,22,77,slack_oracle,38.0,0.23314010655145642,0.05122122934152671,2.0412291002180494,0.20665980795610428,-0.0017656323242187522,0.042969296875,0.13665980795610427,0.2766598079561043,-0.08,0.08,0.026480298595352142,0.05298686166574546,1.9982598033430494,18.99389739550893,76445.39453125,188.40173357233184,0.1914173265395048,0.14932993041412365,0.0,False,False,oracle_solution,0.0,False,0.5,False,True,0.026480298595352142,0.09648029859535215,0.043519701404647865,0.018840173357233182,0.9496948697754466,0.5,0.00332733196159124,0.00332733196159124
moderate,22,77,slack_oracle,39.0,0.23306960148031713,0.05120431975136018,2.092441702891362,0.20997685185185183,-0.0017972436523437524,0.041187763671875,0.13997685185185182,0.27997685185185184,-0.08,0.08,0.023092749628465303,0.05300156340370393,2.051253939219487,18.90615436120024,76178.16455078125,194.69916111696458,0.1633590624559174,0.1360925139488161,0.0,False,False,oracle_solution,0.0,False,0.5,False,True,0.023092749628465303,0.09309274962846531,0.0469072503715347,0.019469916111696458,0.945307718060012,0.5,0.003317043895747551,0.003317043895747551
moderate,22,77,slack_oracle,40.0,0.23299784870294896,0.05118730979760504,2.1436374016908464,0.21327846364883404,-0.0018280932617187468,0.039375,0.14327846364883404,0.283278463648834,-0.08,0.08,0.019719385054114913,0.053015403059323785,2.104262401690846,18.817291074697604,75906.25,201.32312689437006,0.1451813634511832,0.1360925139488161,0.0,False,False,oracle_solution,0.0,False,0.5,False,True,0.01971938505411494,0.08971938505411492,0.050280614945885066,0.020132312689437007,0.9408645537348802,0.5,0.0033016117969822123,0.0033016117969821845
