scenario_id,tier,seed,controller,time_s,alpha_rad,q_radps,theta_rad,measured_alpha_rad,measured_q_radps,measured_theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,alpha_error_rad,q_error_rad,theta_error_rad,solver_status,solve_time_s,solver_failure,actuator_tau_prediction_s,objective_value,predicted_min_alpha_margin_rad,predicted_max_alpha_slack_rad,predicted_max_q_slack_radps,first_raw_flap_rad,pitching_moment_nm,cm,flap_effectiveness,delta_flap_raw_rad,delta_flap_delayed_rad,delta_flap_lagged_rad,delta_flap_rad,delta_flap_rate_radps,flap_saturated,flap_rate_saturated,altitude_m,velocity_mps,mach,density_kgm3,dynamic_pressure_pa,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,actuator_lag_s,actuator_delay_s,sensor_noise_alpha_rad,sensor_noise_q_radps,sensor_noise_theta_rad,initial_alpha_error_rad,initial_q_error_radps,initial_theta_error_rad,external_disturbance_moment_nm,corridor_violation
14,moderate,69,online_slack_mpc_centered,0.0,0.09035421120909146,0.05226106903800749,0.08823710896096232,0.09191180307275464,0.05187215037594487,0.08828562765250719,0.12,-1.5202636718752993e-05,0.08,0.04999999999999999,0.19,-0.08,0.08,-0.02964578879090854,0.052276271674726246,0.008237108960962317,Solve_Succeeded,0.027595624909736216,False,0.666804694025838,4637.72068659004,-0.004124019747979796,0.006124009747981882,1.782715591039492e-07,0.1800000099363244,2269.414893139522,-0.01633786624632963,0.4015798869488264,0.1800000099363244,0.0,0.0,0.0,0.0,False,False,82000.0,6200.0,21.012104371718653,5.116682824730318e-06,98.34264389131671,1.0241117125647023,1.0080556107458336,1.1459846635147866,1.0939041651242745,0.16680469402583797,1.0,0.0016339043283467127,0.0006561236469276164,2.535331373743066e-05,-0.02964578879090854,0.052276271674726246,0.00823710896096232,2310.546642572015,False
14,moderate,69,online_slack_mpc_centered,0.5,0.1056979192455762,0.052306308353041044,0.11437896551665118,0.10786266359599801,0.05224780443345954,0.11438531437127855,0.12002304098079561,-3.0341796874999716e-05,0.07999239868164063,0.0500230409807956,0.19002304098079562,-0.08,0.08,-0.01432512173521941,0.05233665014991604,0.034386566835010554,held,0.0,False,0.666804694025838,4637.72068659004,-0.004124019747979796,0.006124009747981882,1.782715591039492e-07,0.1800000099363244,2254.7773936601047,-0.022149803058802164,0.40159248685423254,0.1800000099363244,0.0,0.0,0.0,0.0,False,False,81998.8598022461,6199.7501458924335,21.01125760388222,5.117602876260385e-06,98.352399786046,1.0241117125647023,1.0080556107458336,1.1459846635147866,1.0939041651242745,0.16680469402583797,1.0,0.0016339043283467127,0.0006561236469276164,2.535331373743066e-05,-0.02964578879090854,0.052276271674726246,0.00823710896096232,2310.546642572015,False
14,moderate,69,online_slack_mpc_centered,1.0,0.11946469054863296,0.05235127022144837,0.1405433711144822,0.11750384545334466,0.05073690438455253,0.1405749686365854,0.12009173525377229,-6.052490234374763e-05,0.079969658203125,0.05009173525377228,0.1900917352537723,-0.08,0.08,-0.0006270447051393291,0.05241179512379212,0.0605737129113572,Solve_Succeeded,0.02654549991711974,False,0.666804694025838,8345.823793883632,-0.006071854468123528,0.008071844468124834,1.8704211407381292e-07,0.3500000099667446,2212.41548071487,-0.03896174148273751,0.40162486243193063,0.3500000099667446,0.1800000099363244,0.17101606271486997,0.09,0.18,False,True,81995.44873046875,6199.108143368448,21.00908182581111,5.120356335665644e-06,98.3849377406065,1.0241117125647023,1.0080556107458336,1.1459846635147866,1.0939041651242745,0.16680469402583797,1.0,0.0016339043283467127,0.0006561236469276164,2.535331373743066e-05,-0.02964578879090854,0.052276271674726246,0.00823710896096232,2310.546642572015,False
14,moderate,69,online_slack_mpc_centered,1.5,0.13181852258026275,0.05239539853891642,0.1667300481374221,0.1323068147899357,0.052485228543114666,0.16671024232083434,0.12020543981481481,-9.05175781250045e-05,0.07993187377929688,0.0502054398148148,0.1902054398148148,-0.08,0.08,0.011613082765447938,0.052485916117041426,0.08679817435812522,held,0.0,False,0.666804694025838,8345.823793883632,-0.006071854468123528,0.008071844468124834,1.8704211407381292e-07,0.3500000099667446,2171.481388747108,-0.05518228902513299,0.4016744554206741,0.3500000099667446,0.1800000099363244,0.1795516138073107,0.1795516138073107,0.17910322761462139,False,False,81989.78106689453,6198.124722339112,21.005748963664374,5.1249346200522844e-06,98.44166622122708,1.0241117125647023,1.0080556107458336,1.1459846635147866,1.0939041651242745,0.16680469402583797,1.0,0.0016339043283467127,0.0006561236469276164,2.535331373743066e-05,-0.02964578879090854,0.052276271674726246,0.00823710896096232,2310.546642572015,False
14,moderate,69,online_slack_mpc_centered,2.0,0.14290620717390973,0.05243872041892438,0.1929385867065836,0.14469819981363308,0.05292856916296493,0.19295956004583087,0.12036351165980795,-0.00012031982421875642,0.079879140625,0.050363511659807944,0.19036351165980797,-0.08,0.08,0.022542695514101777,0.05255904024314314,0.1130594460815836,Solve_Succeeded,0.026338791009038687,False,0.666804694025838,98343.3745644344,-0.01937945091499582,0.021379440914997248,8.115116023069377e-07,0.35000000997825603,2131.5114897419257,-0.07098389797637084,0.4017399997587981,0.35000000997825603,0.3500000099667446,0.34149279157481444,0.2695516138073107,0.18,False,True,81981.87109375,6196.824988604601,21.00134410223131,5.131331064767381e-06,98.52319831398076,1.0241117125647023,1.0080556107458336,1.1459846635147866,1.0939041651242745,0.16680469402583797,1.0,0.0016339043283467127,0.0006561236469276164,2.535331373743066e-05,-0.02964578879090854,0.052276271674726246,0.00823710896096232,2310.546642572015,False
14,moderate,69,online_slack_mpc_centered,2.5,0.1528592561114908,0.05248125385645721,0.21916858820757334,0.15192730576285368,0.052880831235654666,0.21918454450165084,0.12056530778463648,-0.00014993164062498954,0.07981155395507812,0.05056530778463647,0.19056530778463648,-0.08,0.08,0.03229394832685431,0.0526311854970822,0.13935703425249524,held,0.0,False,0.666804694025838,98343.3745644344,-0.01937945091499582,0.021379440914997248,8.115116023069377e-07,0.35000000997825603,2095.7422824226046,-0.08507353416737692,0.4018206300465545,0.35000000997825603,0.3500000099667446,0.349575407762214,0.349575407762214,0.16004758790980667,False,False,81971.73309326172,6195.226102903411,20.995925400097143,5.139540891011985e-06,98.62991352666715,1.0241117125647023,1.0080556107458336,1.1459846635147866,1.0939041651242745,0.16680469402583797,1.0,0.0016339043283467127,0.0006561236469276164,2.535331373743066e-05,-0.02964578879090854,0.052276271674726246,0.00823710896096232,2310.546642572015,False
14,moderate,69,online_slack_mpc_centered,3.0,0.16179550630198927,0.052523081714141336,0.24541967922912666,0.16060388795990488,0.05287583818244286,0.2454366590153276,0.12081018518518519,-0.00017935302734374547,0.07972920898437501,0.05081018518518518,0.1908101851851852,-0.08,0.08,0.040985321116804085,0.05270243474148508,0.16569047024475164,Solve_Succeeded,0.028270209091715515,False,0.666804694025838,153338.58609619914,-0.022055845903305754,0.024055835903306486,4.4665987442813203e-07,0.35000000999022,2086.754783183023,-0.08851443046934501,0.40191568368588926,0.35000000999022,0.35000000997825603,0.34997881773554235,0.34997881773554235,0.0008068199466566561,False,False,81959.38134765625,6193.341204448907,20.98953738670099,5.149561176885688e-06,98.76208275903734,1.0241117125647023,1.0080556107458336,1.1459846635147866,1.0939041651242745,0.16680469402583797,1.0,0.0016339043283467127,0.0006561236469276164,2.535331373743066e-05,-0.02964578879090854,0.052276271674726246,0.00823710896096232,2310.546642572015,False
14,moderate,69,online_slack_mpc_centered,3.5,0.1698206682192678,0.052564738596911735,0.27169164071690394,0.17018358795795072,0.05356872476353901,0.27169882394743444,0.12109750085733882,-0.00020858398437501036,0.07963220092773438,0.051097500857338815,0.19109750085733884,-0.08,0.08,0.048723167361928985,0.052773322581286745,0.19205943978916956,held,0.0,False,0.666804694025838,153338.58609619914,-0.022055845903305754,0.024055835903306486,4.4665987442813203e-07,0.35000000999022,2078.682489652203,-0.0915608662788055,0.40202462079258067,0.35000000999022,0.35000000997825603,0.3499989522561475,0.3499989522561475,4.026904121035013e-05,False,False,81944.83013916016,6191.180999058791,20.98221634458463,5.161390831742341e-06,98.91991897336071,1.0241117125647023,1.0080556107458336,1.1459846635147866,1.0939041651242745,0.16680469402583797,1.0,0.0016339043283467127,0.0006561236469276164,2.535331373743066e-05,-0.02964578879090854,0.052276271674726246,0.00823710896096232,2310.546642572015,False
14,moderate,69,online_slack_mpc_centered,4.0,0.17702956935020406,0.05260624188798225,0.29798439160469653,0.17534114796237446,0.05303629889171138,0.2980070511869181,0.12142661179698216,-0.00023762451171874255,0.079520625,0.05142661179698216,0.19142661179698217,-0.08,0.08,0.05560295755322189,0.05284386639970099,0.21846376660469652,Solve_Succeeded,0.028078290983103216,False,0.666804694025838,240787.69132687387,-0.024995338496543423,0.026995328496544332,4.805792746982502e-07,0.35000000998969016,2071.3136346263705,-0.0942956573095124,0.40214698367832524,0.35000000998969016,0.35000000999022,0.34999995719785026,0.34999995719785026,2.0098834054849135e-06,False,False,81928.09375,6188.754562618874,20.973993032370615,5.175030573745668e-06,99.10360285419026,1.0241117125647023,1.0080556107458336,1.1459846635147866,1.0939041651242745,0.16680469402583797,1.0,0.0016339043283467127,0.0006561236469276164,2.535331373743066e-05,-0.02964578879090854,0.052276271674726246,0.00823710896096232,2310.546642572015,False
14,moderate,69,online_slack_mpc_centered,4.5,0.18350716663256764,0.05264760483336209,0.3242978584755615,0.1847417437266262,0.05282701926113305,0.32430124798863347,0.121796875,-0.00026647460937499756,0.07939457641601563,0.05179687499999999,0.191796875,-0.08,0.08,0.06171029163256764,0.052914079442737086,0.24490328205954584,held,0.0,False,0.666804694025838,240787.69132687387,-0.024995338496543423,0.026995328496544332,4.805792746982502e-07,0.35000000998969016,2064.559093931922,-0.09675329338545732,0.40228237351219553,0.35000000998969016,0.35000000999022,0.3500000073553098,0.35,8.560429942683356e-08,False,False,81909.18646240234,6186.0698038826085,20.964894253212666,5.190482910522853e-06,99.31329758949512,1.0241117125647023,1.0080556107458336,1.1459846635147866,1.0939041651242745,0.16680469402583797,1.0,0.0016339043283467127,0.0006561236469276164,2.535331373743066e-05,-0.02964578879090854,0.052276271674726246,0.00823710896096232,2310.546642572015,False
