tier,scenario_id,seed,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,actuator_lag_s,actuator_delay_s,sensor_noise_alpha_rad,sensor_noise_q_radps,sensor_noise_theta_rad,initial_alpha_error_rad,initial_q_error_radps,initial_theta_error_rad,external_disturbance_moment_nm,controller,rms_alpha_error_rad,max_alpha_error_rad,rms_pitch_rate_error_radps,control_effort_abs_rad_s,flap_saturation_fraction,flap_rate_saturation_fraction,alpha_violation_count,pitch_rate_violation_count,solver_failure,unstable_response,failure_label,residual_gain,trajectory_csv,metrics_json,residual_surrogate
moderate,0,55,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,0.17246008473590804,0.5,0.002112697278039903,0.001420628984150504,0.00020335583094168374,-0.03526714350779047,0.043317852661921875,0.00407667571118842,-2288.5715472335214,residual_horizon_nmpc_gain_0,0.06938586282712482,0.11396257498744994,0.037967944635315914,48.35972179724823,0.0,0.09345794392523364,123,0,False,False,alpha_corridor_violation,0.0,outputs/phase11_residual_mpc/moderate/scenario_000/gain_0/trajectory.csv,outputs/phase11_residual_mpc/moderate/scenario_000/gain_0/metrics.json,outputs/phase11_residual_mpc/residual_surrogate.json
moderate,0,55,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,0.17246008473590804,0.5,0.002112697278039903,0.001420628984150504,0.00020335583094168374,-0.03526714350779047,0.043317852661921875,0.00407667571118842,-2288.5715472335214,residual_horizon_nmpc_gain_0.5,0.07217410285956959,0.1134416928636566,0.03706141731298595,37.60735595043404,0.0,0.11526479750778816,122,0,False,False,alpha_corridor_violation,0.5,outputs/phase11_residual_mpc/moderate/scenario_000/gain_0.5/trajectory.csv,outputs/phase11_residual_mpc/moderate/scenario_000/gain_0.5/metrics.json,outputs/phase11_residual_mpc/residual_surrogate.json
moderate,0,55,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,0.17246008473590804,0.5,0.002112697278039903,0.001420628984150504,0.00020335583094168374,-0.03526714350779047,0.043317852661921875,0.00407667571118842,-2288.5715472335214,residual_horizon_nmpc_gain_1,0.07874574638070579,0.11706414518946992,0.03583402454905865,42.70440389011033,0.0,0.08722741433021806,182,0,False,False,alpha_corridor_violation,1.0,outputs/phase11_residual_mpc/moderate/scenario_000/gain_1/trajectory.csv,outputs/phase11_residual_mpc/moderate/scenario_000/gain_1/metrics.json,outputs/phase11_residual_mpc/residual_surrogate.json
moderate,0,55,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,0.17246008473590804,0.5,0.002112697278039903,0.001420628984150504,0.00020335583094168374,-0.03526714350779047,0.043317852661921875,0.00407667571118842,-2288.5715472335214,residual_horizon_nmpc_gain_2,0.09071534884707366,0.12491499214482833,0.03419562594789801,40.00443991992951,0.0,0.08722741433021806,219,0,False,False,alpha_corridor_violation,2.0,outputs/phase11_residual_mpc/moderate/scenario_000/gain_2/trajectory.csv,outputs/phase11_residual_mpc/moderate/scenario_000/gain_2/metrics.json,outputs/phase11_residual_mpc/residual_surrogate.json
moderate,1,56,1.067837814989062,0.8550708443435929,1.1923204271077104,1.08984168484952,0.19047425565328424,0.0,0.001819893511792798,0.0005389072581292835,0.0017670007129131713,-0.042169232542380676,0.037161912636399425,0.003739433990046943,1888.1114567916945,residual_horizon_nmpc_gain_0,0.04799870831494072,0.08829956341347184,0.04135487985002524,46.15847191578098,0.0,0.08722741433021806,65,0,False,False,alpha_corridor_violation,0.0,outputs/phase11_residual_mpc/moderate/scenario_001/gain_0/trajectory.csv,outputs/phase11_residual_mpc/moderate/scenario_001/gain_0/metrics.json,outputs/phase11_residual_mpc/residual_surrogate.json
moderate,1,56,1.067837814989062,0.8550708443435929,1.1923204271077104,1.08984168484952,0.19047425565328424,0.0,0.001819893511792798,0.0005389072581292835,0.0017670007129131713,-0.042169232542380676,0.037161912636399425,0.003739433990046943,1888.1114567916945,residual_horizon_nmpc_gain_0.5,0.0533377430055281,0.0876918813093942,0.039853328835121195,41.034668708611775,0.0,0.07476635514018691,64,0,False,False,alpha_corridor_violation,0.5,outputs/phase11_residual_mpc/moderate/scenario_001/gain_0.5/trajectory.csv,outputs/phase11_residual_mpc/moderate/scenario_001/gain_0.5/metrics.json,outputs/phase11_residual_mpc/residual_surrogate.json
moderate,1,56,1.067837814989062,0.8550708443435929,1.1923204271077104,1.08984168484952,0.19047425565328424,0.0,0.001819893511792798,0.0005389072581292835,0.0017670007129131713,-0.042169232542380676,0.037161912636399425,0.003739433990046943,1888.1114567916945,residual_horizon_nmpc_gain_1,0.060683558265759954,0.09294799743605014,0.03840315463065741,42.82924788563639,0.0,0.10903426791277258,110,0,False,False,alpha_corridor_violation,1.0,outputs/phase11_residual_mpc/moderate/scenario_001/gain_1/trajectory.csv,outputs/phase11_residual_mpc/moderate/scenario_001/gain_1/metrics.json,outputs/phase11_residual_mpc/residual_surrogate.json
moderate,1,56,1.067837814989062,0.8550708443435929,1.1923204271077104,1.08984168484952,0.19047425565328424,0.0,0.001819893511792798,0.0005389072581292835,0.0017670007129131713,-0.042169232542380676,0.037161912636399425,0.003739433990046943,1888.1114567916945,residual_horizon_nmpc_gain_2,0.06924777293881178,0.13840189728476743,0.03722965051381259,46.28568396565281,0.0,0.04672897196261682,131,0,False,False,alpha_corridor_violation,2.0,outputs/phase11_residual_mpc/moderate/scenario_001/gain_2/trajectory.csv,outputs/phase11_residual_mpc/moderate/scenario_001/gain_2/metrics.json,outputs/phase11_residual_mpc/residual_surrogate.json
moderate,2,57,1.0552500109466625,0.9904935904652705,1.1364934679007512,0.9361279231434767,0.13783755517640428,0.5,0.0012876544132459234,0.0010895091536253408,0.0008726206962965641,-0.03988767505303118,0.0403012765601704,-0.0006989770439637954,2243.631407086245,residual_horizon_nmpc_gain_0,0.040019794029023836,0.07132580202395336,0.04378204191743895,48.2772758360096,0.0,0.09968847352024922,8,0,False,False,alpha_corridor_violation,0.0,outputs/phase11_residual_mpc/moderate/scenario_002/gain_0/trajectory.csv,outputs/phase11_residual_mpc/moderate/scenario_002/gain_0/metrics.json,outputs/phase11_residual_mpc/residual_surrogate.json
moderate,2,57,1.0552500109466625,0.9904935904652705,1.1364934679007512,0.9361279231434767,0.13783755517640428,0.5,0.0012876544132459234,0.0010895091536253408,0.0008726206962965641,-0.03988767505303118,0.0403012765601704,-0.0006989770439637954,2243.631407086245,residual_horizon_nmpc_gain_0.5,0.046630370394955725,0.07059794580395407,0.04232870706902965,39.69839250491506,0.0,0.04672897196261682,0,0,False,False,success,0.5,outputs/phase11_residual_mpc/moderate/scenario_002/gain_0.5/trajectory.csv,outputs/phase11_residual_mpc/moderate/scenario_002/gain_0.5/metrics.json,outputs/phase11_residual_mpc/residual_surrogate.json
