scenario_id,tier,seed,controller,time_s,alpha_rad,q_radps,theta_rad,measured_alpha_rad,measured_q_radps,measured_theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,alpha_error_rad,q_error_rad,theta_error_rad,solver_status,solve_time_s,nn_inference_time_s,total_loop_time_s,solver_failure,residual_gain,use_residual_model,use_tightened_corridor,predicted_residual_q_dot_first,predicted_residual_q_dot_mean,predicted_residual_q_dot_max_abs,residual_correction_abs,pitching_moment_nm,cm,flap_effectiveness,delta_flap_raw_rad,delta_flap_delayed_rad,delta_flap_lagged_rad,delta_flap_rad,delta_flap_rate_radps,flap_saturated,flap_rate_saturated,altitude_m,velocity_mps,mach,density_kgm3,dynamic_pressure_pa,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,actuator_lag_s,actuator_delay_s,sensor_noise_alpha_rad,sensor_noise_q_radps,sensor_noise_theta_rad,initial_alpha_error_rad,initial_q_error_radps,initial_theta_error_rad,external_disturbance_moment_nm,corridor_violation
4,moderate,59,residual_corrected_nmpc,0.0,0.09803553583913785,0.045060429129270066,0.08825674726112753,0.09803336205864638,0.0467765313648061,0.08881263428213529,0.12,-1.5202636718752993e-05,0.08,0.04999999999999999,0.19,-0.08,0.08,-0.021964464160862146,0.04507563176598882,0.008256747261127531,Solve_Succeeded,0.03570620797108859,0.0005079170223325491,0.06772450002608821,False,1.0,True,False,3.060651579289697e-05,4.354749617050402e-05,4.616383375832811e-05,3.060651579289697e-05,-2030.7162981942784,-0.030781188730005328,0.4015798869488264,0.3500000098743427,0.3500000098743427,0.3498366403154428,0.09,0.18,False,True,82000.0,6200.0,21.012104371718653,5.127736626973361e-06,98.555097970428,1.0263241475999092,1.0978198504596506,0.8467775120989001,0.9509718434702744,0.06519182255015281,0.0,1.745874008911086e-05,0.0014589760408944903,0.00031099084968804126,-0.02196446416086214,0.04507563176598882,0.008256747261127528,-1953.0550355784214,False
4,moderate,59,residual_corrected_nmpc,0.5,0.10914902098578724,0.04501969788932404,0.11077678859105053,0.10912423865742746,0.045024680409938345,0.11085903329288135,0.12002304098079561,-3.0341796874999716e-05,0.07999239868164063,0.0500230409807956,0.19002304098079562,-0.08,0.08,-0.010874019995008366,0.04505003968619904,0.030784389909409904,held,0.0,0.0,8.579198038205504e-05,False,1.0,True,False,3.060651579289697e-05,4.354749617050402e-05,4.616383375832811e-05,3.060651579289697e-05,-2063.8247429763956,-0.04389942865358506,0.40159248685423254,0.3500000098743427,0.3500000098743427,0.34999993361830833,0.18,0.18,False,True,81998.8598022461,6199.7501458924335,21.01125760388222,5.128658666132526e-06,98.56487494125967,1.0263241475999092,1.0978198504596506,0.8467775120989001,0.9509718434702744,0.06519182255015281,0.0,1.745874008911086e-05,0.0014589760408944903,0.00031099084968804126,-0.02196446416086214,0.04507563176598882,0.008256747261127528,-1953.0550355784214,False
4,moderate,59,residual_corrected_nmpc,1.0,0.11908541873577033,0.04497831685033555,0.13327630083781805,0.11912110124577072,0.04474227358947428,0.13333091623328638,0.12009173525377229,-6.052490234374763e-05,0.079969658203125,0.05009173525377228,0.1900917352537723,-0.08,0.08,-0.001006316518001954,0.0450388417526793,0.05330664263469305,held,0.0,0.0,5.845795385539532e-05,False,1.0,True,False,3.060651579289697e-05,4.354749617050402e-05,4.616383375832811e-05,3.060651579289697e-05,-2095.758834703017,-0.056536606949862823,0.40162486243193063,0.3500000098743427,0.3500000098743427,0.3500000098387487,0.27,0.18000000000000005,False,True,81995.44873046875,6199.108143368448,21.00908182581111,5.131418073961167e-06,98.59748318904087,1.0263241475999092,1.0978198504596506,0.8467775120989001,0.9509718434702744,0.06519182255015281,0.0,1.745874008911086e-05,0.0014589760408944903,0.00031099084968804126,-0.02196446416086214,0.04507563176598882,0.008256747261127528,-1953.0550355784214,False
4,moderate,59,residual_corrected_nmpc,1.5,0.1279670390426033,0.04493630819514779,0.15575496475446632,0.1279596398377375,0.043093990458945144,0.15546696932544457,0.12020543981481481,-9.05175781250045e-05,0.07993187377929688,0.0502054398148148,0.1902054398148148,-0.08,0.08,0.0077615992277884766,0.04502682577327279,0.07582309097516944,held,0.0,0.0,6.520800525322556e-05,False,1.0,True,False,3.060651579289697e-05,4.354749617050402e-05,4.616383375832811e-05,3.060651579289697e-05,-2124.265697394213,-0.06779141058392006,0.4016744554206741,0.3500000098743427,0.3500000098743427,0.3500000098743261,0.35,0.15999999999999992,False,False,81989.78106689453,6198.124722339112,21.005748963664374,5.136006249023457e-06,98.65433422277405,1.0263241475999092,1.0978198504596506,0.8467775120989001,0.9509718434702744,0.06519182255015281,0.0,1.745874008911086e-05,0.0014589760408944903,0.00031099084968804126,-0.02196446416086214,0.04507563176598882,0.008256747261127528,-1953.0550355784214,False
4,moderate,59,residual_corrected_nmpc,2.0,0.1359034727423193,0.04489373930255132,0.17821248347310242,0.1358976266533296,0.04562761575029338,0.17823588021094824,0.12036351165980795,-0.00012031982421875642,0.079879140625,0.050363511659807944,0.19036351165980797,-0.08,0.08,0.015539961082511336,0.045014059126770076,0.09833334284810243,Solve_Succeeded,0.029080707987304777,0.0005601249868050218,0.058100415975786746,False,1.0,True,False,4.170293323113583e-05,4.654880794987548e-05,4.861919296672568e-05,4.170293323113583e-05,-2132.62262811773,-0.07104152555947331,0.4017399997587981,0.3500000072133631,0.3500000072133631,0.35000000721460517,0.35,0.0,False,False,81981.87109375,6196.824988604601,21.00134410223131,5.1424165122685195e-06,98.73604245300989,1.0263241475999092,1.0978198504596506,0.8467775120989001,0.9509718434702744,0.06519182255015281,0.0,1.745874008911086e-05,0.0014589760408944903,0.00031099084968804126,-0.02196446416086214,0.04507563176598882,0.008256747261127528,-1953.0550355784214,False
4,moderate,59,residual_corrected_nmpc,2.5,0.14299300761597997,0.04485101212919078,0.20064867744957274,0.14300276840683285,0.04540287818074437,0.20055437923114608,0.12056530778463648,-0.00014993164062498954,0.07981155395507812,0.05056530778463647,0.19056530778463648,-0.08,0.08,0.02242769983134349,0.04500094376981577,0.12083712349449462,held,0.0,0.0,0.00015104201156646013,False,1.0,True,False,4.170293323113583e-05,4.654880794987548e-05,4.861919296672568e-05,4.170293323113583e-05,-2140.1640760703003,-0.07394502156163713,0.4018206300465545,0.3500000072133631,0.3500000072133631,0.35000000721336366,0.35,0.0,False,False,81971.73309326172,6195.226102903411,20.995925400097143,5.150644074573549e-06,98.84298820741594,1.0263241475999092,1.0978198504596506,0.8467775120989001,0.9509718434702744,0.06519182255015281,0.0,1.745874008911086e-05,0.0014589760408944903,0.00031099084968804126,-0.02196446416086214,0.04507563176598882,0.008256747261127528,-1953.0550355784214,False
4,moderate,59,residual_corrected_nmpc,3.0,0.14932379033748205,0.044808142052989504,0.2230634714643069,0.14931326827012548,0.04541124010832851,0.223537306178636,0.12081018518518519,-0.00017935302734374547,0.07972920898437501,0.05081018518518518,0.1908101851851852,-0.08,0.08,0.028513605152296867,0.04498749508033325,0.14333426247993192,held,0.0,0.0,6.095797289162874e-05,False,1.0,True,False,4.170293323113583e-05,4.654880794987548e-05,4.861919296672568e-05,4.170293323113583e-05,-2146.9845877606285,-0.07653790581506745,0.40191568368588926,0.3500000072133631,0.3500000072133631,0.3500000072133631,0.35,0.0,False,False,81959.38134765625,6193.341204448907,20.98953738670099,5.160686007725822e-06,98.97544297098032,1.0263241475999092,1.0978198504596506,0.8467775120989001,0.9509718434702744,0.06519182255015281,0.0,1.745874008911086e-05,0.0014589760408944903,0.00031099084968804126,-0.02196446416086214,0.04507563176598882,0.008256747261127528,-1953.0550355784214,False
4,moderate,59,residual_corrected_nmpc,3.5,0.15497479255937932,0.044765142660589695,0.24545679753071226,0.154996286783375,0.04341575956632789,0.24526935463666755,0.12109750085733882,-0.00020858398437501036,0.07963220092773438,0.051097500857338815,0.19109750085733884,-0.08,0.08,0.0338772917020405,0.044973726644964705,0.16582459660297788,held,0.0,0.0,5.704199429601431e-05,False,1.0,True,False,4.170293323113583e-05,4.654880794987548e-05,4.861919296672568e-05,4.170293323113583e-05,-2153.1684270549895,-0.07885245531697957,0.40202462079258067,0.3500000072133631,0.3500000072133631,0.3500000072133631,0.35,0.0,False,False,81944.83013916016,6191.180999058791,20.98221634458463,5.17254121872302e-06,99.13362016604447,1.0263241475999092,1.0978198504596506,0.8467775120989001,0.9509718434702744,0.06519182255015281,0.0,1.745874008911086e-05,0.0014589760408944903,0.00031099084968804126,-0.02196446416086214,0.04507563176598882,0.008256747261127528,-1953.0550355784214,False
4,moderate,59,residual_corrected_nmpc,4.0,0.16001676583539426,0.04472202594226492,0.2678285940491412,0.16000519281726183,0.04312341572952878,0.26764436535508906,0.12142661179698216,-0.00023762451171874255,0.079520625,0.05142661179698216,0.19142661179698217,-0.08,0.08,0.038590154038412094,0.04495965045398366,0.1883079690491412,Solve_Succeeded,0.029711375012993813,0.0004900419735349715,0.05857491702772677,False,1.0,True,False,4.548612196231261e-05,4.65074394014664e-05,4.8390844312962145e-05,4.548612196231261e-05,-2158.790714709724,-0.08091759974174087,0.40214698367832524,0.34999998858043585,0.34999998858043585,0.34999998858913317,0.34999998858913317,-2.2821733614009077e-08,False,False,81928.09375,6188.754562618874,20.973993032370615,5.186210427280346e-06,99.31770086750244,1.0263241475999092,1.0978198504596506,0.8467775120989001,0.9509718434702744,0.06519182255015281,0.0,1.745874008911086e-05,0.0014589760408944903,0.00031099084968804126,-0.02196446416086214,0.04507563176598882,0.008256747261127528,-1953.0550355784214,False
4,moderate,59,residual_corrected_nmpc,4.5,0.1645130971597055,0.044678802465183166,0.29017880505280924,0.16451721508610684,0.046765320287067855,0.290320624661419,0.121796875,-0.00026647460937499756,0.07939457641601563,0.05179687499999999,0.191796875,-0.08,0.08,0.0427162221597055,0.044945277074558164,0.2107842286367936,held,0.0,0.0,0.0001045830431394279,False,1.0,True,False,4.548612196231261e-05,4.65074394014664e-05,4.8390844312962145e-05,4.548612196231261e-05,-2163.9184520895424,-0.08275927111874326,0.40228237351219553,0.34999998858043585,0.34999998858043585,0.3499999885804399,0.3499999885804399,-1.73865366548398e-11,False,False,81909.18646240234,6186.0698038826085,20.964894253212666,5.2016961464423256e-06,99.52784861586574,1.0263241475999092,1.0978198504596506,0.8467775120989001,0.9509718434702744,0.06519182255015281,0.0,1.745874008911086e-05,0.0014589760408944903,0.00031099084968804126,-0.02196446416086214,0.04507563176598882,0.008256747261127528,-1953.0550355784214,False
