tier,scenario_id,controller,seed,rms_alpha_error_rad,max_alpha_error_rad,rms_pitch_rate_error_radps,control_effort_abs_rad_s,flap_saturation_fraction,flap_rate_saturation_fraction,alpha_violation_count,pitch_rate_violation_count,solver_failure,unstable_response,failure_label,first_alpha_violation_time_s,first_alpha_violation_side,max_alpha_corridor_miss_rad,max_q_corridor_miss_radps,alpha_violation_duration_s,q_violation_duration_s,first_alpha_violation_before_three_updates,mean_solve_time_s,p95_solve_time_s,controlled_recovery,controlled_recovery_max_alpha_miss_rad,controlled_recovery_max_q_miss_radps,baseline_failure_label,baseline_max_alpha_miss_rad,baseline_first_alpha_violation_side,baseline_first_alpha_violation_time_s,replay_failure_label,replay_max_alpha_miss_rad,replay_first_alpha_violation_side,replay_first_alpha_violation_time_s,replay_minus_baseline_alpha_miss_rad,strict_success_recovered,trajectory_csv,metrics_json
moderate,28,oracle_command_replay,83,0.04913399403368422,0.07119190802962727,0.047963446789996804,11.044791743897346,0.0,0.037037037037037035,3,0,False,False,alpha_corridor_violation,12.0,high,0.0011919080296272644,0.0,1.5,0.0,False,0.0,0.0,True,0.0011919080296272644,0.0,alpha_corridor_violation,0.0011938585694721,high,12.0,alpha_corridor_violation,0.0011919080296272644,high,12.0,-1.9505398448356297e-06,False,outputs/phase21_missed_case_autopsy/moderate/scenario_028/oracle_replay_trajectory.csv,outputs/phase21_missed_case_autopsy/moderate/scenario_028/oracle_replay_metrics.json
stress,2,oracle_command_replay,10057,0.06283187314741481,0.08080729102632786,0.05252350025901888,11.184237834703572,0.0,0.037037037037037035,31,0,False,False,alpha_corridor_violation,9.0,high,0.010807291026327853,0.0,15.5,0.0,False,0.0,0.0,True,0.010807291026327853,0.0,alpha_corridor_violation,0.0108072824954483,high,9.0,alpha_corridor_violation,0.010807291026327853,high,9.0,8.530879553117487e-09,False,outputs/phase21_missed_case_autopsy/stress/scenario_002/oracle_replay_trajectory.csv,outputs/phase21_missed_case_autopsy/stress/scenario_002/oracle_replay_metrics.json
stress,6,oracle_command_replay,10061,0.03909902142460844,0.08914617733381176,0.03115047590420833,13.150567343443246,0.0,0.037037037037037035,9,0,False,False,alpha_corridor_violation,36.0,low,0.019146177333811756,0.0,4.5,0.0,False,0.0,0.0,True,0.019146177333811756,0.0,alpha_corridor_violation,0.0192676317710002,low,36.0,alpha_corridor_violation,0.019146177333811756,low,36.0,-0.00012145443718844517,False,outputs/phase21_missed_case_autopsy/stress/scenario_006/oracle_replay_trajectory.csv,outputs/phase21_missed_case_autopsy/stress/scenario_006/oracle_replay_metrics.json
stress,11,oracle_command_replay,10066,0.04072216148322933,0.09044833121318975,0.030052810575781113,12.959660271353298,0.0,0.037037037037037035,10,0,False,False,alpha_corridor_violation,35.5,low,0.020448331213189744,0.0,5.0,0.0,False,0.0,0.0,True,0.020448331213189744,0.0,alpha_corridor_violation,0.0205254356344902,low,35.0,alpha_corridor_violation,0.020448331213189744,low,35.5,-7.710442130045778e-05,False,outputs/phase21_missed_case_autopsy/stress/scenario_011/oracle_replay_trajectory.csv,outputs/phase21_missed_case_autopsy/stress/scenario_011/oracle_replay_metrics.json
