tier,case_count,recovered_strict_success_count,recovered_strict_success_rate,mean_replay_minus_baseline_alpha_miss_rad,max_replay_alpha_miss_rad
moderate,1,0,0.0,-1.9505398448356297e-06,0.0011919080296272644
stress,3,0,0.0,-6.618344253644995e-05,0.020448331213189744
