scenario_id,tier,seed,controller,time_s,alpha_rad,q_radps,theta_rad,measured_alpha_rad,measured_q_radps,measured_theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,alpha_error_rad,q_error_rad,theta_error_rad,solver_status,solve_time_s,nn_inference_time_s,total_loop_time_s,solver_failure,residual_gain,use_residual_model,use_tightened_corridor,predicted_residual_q_dot_first,predicted_residual_q_dot_mean,predicted_residual_q_dot_max_abs,residual_correction_abs,pitching_moment_nm,cm,flap_effectiveness,delta_flap_raw_rad,delta_flap_delayed_rad,delta_flap_lagged_rad,delta_flap_rad,delta_flap_rate_radps,flap_saturated,flap_rate_saturated,altitude_m,velocity_mps,mach,density_kgm3,dynamic_pressure_pa,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,actuator_lag_s,actuator_delay_s,sensor_noise_alpha_rad,sensor_noise_q_radps,sensor_noise_theta_rad,initial_alpha_error_rad,initial_q_error_radps,initial_theta_error_rad,external_disturbance_moment_nm,corridor_violation
1,stress,10056,residual_corrected_nmpc,0.0,0.05922336186556003,0.043676581488976164,0.09142326199386355,0.06423175720284816,0.04474662063730735,0.09967624104087827,0.12,-1.5202636718752993e-05,0.08,0.04999999999999999,0.19,-0.08,0.08,-0.06077663813443997,0.04369178412569492,0.011423261993863551,Solve_Succeeded,0.030916334013454616,0.00045887503074482083,0.06156808399828151,False,1.0,True,False,2.7964746550424024e-05,4.328331924625672e-05,4.616383375832811e-05,2.7964746550424024e-05,-71.2782834677715,-0.0012144466074101177,0.4015798869488264,0.349999996026944,0.0,0.0,0.0,0.0,False,False,82000.0,6200.0,21.012104371718653,4.648283533972384e-06,89.34000952294922,0.9303608946512464,0.8454174308359381,1.2293875720674339,0.6485713174581409,0.6573352173100183,1.0,0.003974919790454923,0.001090421166685319,0.006246505115645126,-0.06077663813443997,0.04369178412569492,0.011423261993863554,-68.50071747811049,False
1,stress,10056,residual_corrected_nmpc,0.5,0.07373396962185239,0.04367504658616719,0.11326117796983277,0.06795087060605776,0.04323822208832076,0.11685908482815849,0.12002304098079561,-3.0341796874999716e-05,0.07999239868164063,0.0500230409807956,0.19002304098079562,-0.08,0.08,-0.04628907135894322,0.04370538838304219,0.03326877928819215,held,0.0,0.0,9.166600648313761e-05,False,1.0,True,False,2.7964746550424024e-05,4.328331924625672e-05,4.616383375832811e-05,2.7964746550424024e-05,-82.01533353777688,-0.005908465054711785,0.40159248685423254,0.349999996026944,0.0,0.0,0.0,0.0,False,False,81998.8598022461,6199.7501458924335,21.01125760388222,4.649119360722666e-06,89.34887232847827,0.9303608946512464,0.8454174308359381,1.2293875720674339,0.6485713174581409,0.6573352173100183,1.0,0.003974919790454923,0.001090421166685319,0.006246505115645126,-0.06077663813443997,0.04369178412569492,0.011423261993863554,-68.50071747811049,False
1,stress,10056,residual_corrected_nmpc,1.0,0.08673229262821393,0.04367330832900047,0.13509827472296732,0.08779192852181994,0.04323664007416365,0.13240246180099247,0.12009173525377229,-6.052490234374763e-05,0.079969658203125,0.05009173525377228,0.1900917352537723,-0.08,0.08,-0.03335944262555836,0.043733833231344214,0.05512861651984231,held,0.0,0.0,5.558400880545378e-05,False,1.0,True,False,2.7964746550424024e-05,4.328331924625672e-05,4.616383375832811e-05,2.7964746550424024e-05,-120.10849955572519,-0.022554982788827525,0.40162486243193063,0.349999996026944,0.349999996026944,0.18642260205042088,0.09,0.18,False,True,81995.44873046875,6199.108143368448,21.00908182581111,4.651620758689541e-06,89.37843164329091,0.9303608946512464,0.8454174308359381,1.2293875720674339,0.6485713174581409,0.6573352173100183,1.0,0.003974919790454923,0.001090421166685319,0.006246505115645126,-0.06077663813443997,0.04369178412569492,0.011423261993863554,-68.50071747811049,False
1,stress,10056,residual_corrected_nmpc,1.5,0.09837563075010206,0.0436708183931377,0.156934313593451,0.09355985104811554,0.044141555500085035,0.15382909882750007,0.12020543981481481,-9.05175781250045e-05,0.07993187377929688,0.0502054398148148,0.1902054398148148,-0.08,0.08,-0.021829809064712755,0.04376133597126271,0.07700243981415412,held,0.0,0.0,5.4541975259780884e-05,False,1.0,True,False,2.7964746550424024e-05,4.328331924625672e-05,4.616383375832811e-05,2.7964746550424024e-05,-157.2501307725298,-0.0387652380203317,0.4016744554206741,0.349999996026944,0.349999996026944,0.27354981281582536,0.18,0.18,False,True,81989.78106689453,6198.124722339112,21.005748963664374,4.655779930687736e-06,89.42996699762271,0.9303608946512464,0.8454174308359381,1.2293875720674339,0.6485713174581409,0.6573352173100183,1.0,0.003974919790454923,0.001090421166685319,0.006246505115645126,-0.06077663813443997,0.04369178412569492,0.011423261993863554,-68.50071747811049,False
1,stress,10056,residual_corrected_nmpc,2.0,0.1088047754885518,0.043667594736021206,0.17876892331922167,0.10760830218706549,0.04275675753491885,0.17820067046370933,0.12036351165980795,-0.00012031982421875642,0.079879140625,0.050363511659807944,0.19036351165980797,-0.08,0.08,-0.011558736171256148,0.04378791456023996,0.09888978269422168,Solve_Succeeded,0.030769874982070178,0.00044004101073369384,0.05970683298073709,False,1.0,True,False,3.609599662013352e-05,4.698263910540845e-05,4.987200736650266e-05,3.609599662013352e-05,-193.57413505759823,-0.05458614636651844,0.4017399997587981,0.350000006081419,0.349999996026944,0.31426993351077237,0.27,0.18000000000000005,False,True,81981.87109375,6196.824988604601,21.00134410223131,4.661590822170289e-06,89.5040353534734,0.9303608946512464,0.8454174308359381,1.2293875720674339,0.6485713174581409,0.6573352173100183,1.0,0.003974919790454923,0.001090421166685319,0.006246505115645126,-0.06077663813443997,0.04369178412569492,0.011423261993863554,-68.50071747811049,False
1,stress,10056,residual_corrected_nmpc,2.5,0.11814586057025725,0.04366365275153646,0.20060174096666047,0.11898685919840113,0.04429986502096358,0.19933026254708064,0.12056530778463648,-0.00014993164062498954,0.07981155395507812,0.05056530778463647,0.19056530778463648,-0.08,0.08,-0.002419447214379228,0.04381358439216145,0.12079018701158235,held,0.0,0.0,7.045798702165484e-05,False,1.0,True,False,3.609599662013352e-05,4.698263910540845e-05,4.987200736650266e-05,3.609599662013352e-05,-220.7320445320031,-0.06636686468171087,0.4018206300465545,0.350000006081419,0.349999996026944,0.3333010515144884,0.3333010515144884,0.1266021030289768,False,False,81971.73309326172,6195.226102903411,20.995925400097143,4.6690490918064524e-06,89.60098147715279,0.9303608946512464,0.8454174308359381,1.2293875720674339,0.6485713174581409,0.6573352173100183,1.0,0.003974919790454923,0.001090421166685319,0.006246505115645126,-0.06077663813443997,0.04369178412569492,0.011423261993863554,-68.50071747811049,False
1,stress,10056,residual_corrected_nmpc,3.0,0.12651192846911996,0.04365917490520035,0.2224324530586285,0.13839379623949888,0.04431100516831238,0.2136551556386056,0.12081018518518519,-0.00017935302734374547,0.07972920898437501,0.05081018518518518,0.1908101851851852,-0.08,0.08,0.005701743283934774,0.04383852793254409,0.1427032440742535,held,0.0,0.0,5.437503568828106e-05,False,1.0,True,False,3.609599662013352e-05,4.698263910540845e-05,4.987200736650266e-05,3.609599662013352e-05,-229.99108032707966,-0.0703092216986243,0.40191568368588926,0.350000006081419,0.350000006081419,0.3421955160779946,0.3421955160779946,0.017788929127012354,False,False,81959.38134765625,6193.341204448907,20.98953738670099,4.678152085176944e-06,89.72105146928808,0.9303608946512464,0.8454174308359381,1.2293875720674339,0.6485713174581409,0.6573352173100183,1.0,0.003974919790454923,0.001090421166685319,0.006246505115645126,-0.06077663813443997,0.04369178412569492,0.011423261993863554,-68.50071747811049,False
1,stress,10056,residual_corrected_nmpc,3.5,0.13400437502251533,0.04365451840881848,0.24426088102989438,0.13475101636583944,0.04531809758478299,0.2430098452050489,0.12109750085733882,-0.00020858398437501036,0.07963220092773438,0.051097500857338815,0.19109750085733884,-0.08,0.08,0.01290687416517651,0.04386310239319349,0.16462868010216,held,0.0,0.0,5.262502236291766e-05,False,1.0,True,False,3.609599662013352e-05,4.698263910540845e-05,4.987200736650266e-05,3.609599662013352e-05,-237.1625648624343,-0.07331435550769559,0.40202462079258067,0.350000006081419,0.350000006081419,0.346352468508368,0.346352468508368,0.00831390486074679,False,False,81944.83013916016,6191.180999058791,20.98221634458463,4.688898811477232e-06,89.86443879682729,0.9303608946512464,0.8454174308359381,1.2293875720674339,0.6485713174581409,0.6573352173100183,1.0,0.003974919790454923,0.001090421166685319,0.006246505115645126,-0.06077663813443997,0.04369178412569492,0.011423261993863554,-68.50071747811049,False
1,stress,10056,residual_corrected_nmpc,4.0,0.14071412700458363,0.043649724328670494,0.2660869458781036,0.13445590632764254,0.04264254211486738,0.2573289585344938,0.12142661179698216,-0.00023762451171874255,0.079520625,0.05142661179698216,0.19142661179698217,-0.08,0.08,0.01928751520760147,0.04388734884038924,0.1865663208781036,Solve_Succeeded,0.029576957982499152,0.00040962500497698784,0.06023975001880899,False,1.0,True,False,4.2299532651668414e-05,4.624121174856555e-05,4.8457390221301466e-05,4.2299532651668414e-05,-243.11353751804367,-0.07576046004823975,0.40214698367832524,0.3500000065082968,0.350000006081419,0.3482952783745501,0.3482952783745501,0.0038856197323642316,False,False,81928.09375,6188.754562618874,20.973993032370615,4.7012899231277836e-06,90.03130760381869,0.9303608946512464,0.8454174308359381,1.2293875720674339,0.6485713174581409,0.6573352173100183,1.0,0.003974919790454923,0.001090421166685319,0.006246505115645126,-0.06077663813443997,0.04369178412569492,0.011423261993863554,-68.50071747811049,False
1,stress,10056,residual_corrected_nmpc,4.5,0.14672265501078083,0.043644816463174516,0.287910584811101,0.1411574523620199,0.043969022984582384,0.285029531172889,0.121796875,-0.00026647460937499756,0.07939457641601563,0.05179687499999999,0.191796875,-0.08,0.08,0.02492578001078083,0.04391129107254951,0.20851600839508536,held,0.0,0.0,7.508299313485622e-05,False,1.0,True,False,4.2299532651668414e-05,4.624121174856555e-05,4.8457390221301466e-05,4.2299532651668414e-05,-248.27893319453943,-0.07783690941157304,0.40228237351219553,0.3500000065082968,0.350000006081419,0.34920327774172005,0.34920327774172005,0.0018159987343399075,False,False,81909.18646240234,6186.0698038826085,20.964894253212666,4.7153276981987e-06,90.22180613942601,0.9303608946512464,0.8454174308359381,1.2293875720674339,0.6485713174581409,0.6573352173100183,1.0,0.003974919790454923,0.001090421166685319,0.006246505115645126,-0.06077663813443997,0.04369178412569492,0.011423261993863554,-68.50071747811049,False
