tier,scenario_id,seed,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,actuator_lag_s,actuator_delay_s,sensor_noise_alpha_rad,sensor_noise_q_radps,sensor_noise_theta_rad,initial_alpha_error_rad,initial_q_error_radps,initial_theta_error_rad,external_disturbance_moment_nm,controller,solver_status,solve_time_s,oracle_feasible,oracle_near_feasible,oracle_max_alpha_miss_rad,oracle_max_q_miss_radps,oracle_alpha_violation_duration_s,first_alpha_violation_time_s,first_alpha_violation_side,actuator_tau_prediction_s,objective_value,oracle_trajectory_csv,oracle_metrics_json
moderate,0,55,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,0.17246008473590804,0.5,0.002112697278039903,0.001420628984150504,0.00020335583094168374,-0.03526714350779047,0.043317852661921875,0.00407667571118842,-2288.5715472335214,slack_oracle,Solve_Succeeded,0.14273620897438377,True,True,0.0,0.0,0.0,,none,0.5,69.94132723019514,outputs/phase20_full_oracle_imitation_staged/oracle/moderate/scenario_000/oracle_trajectory.csv,outputs/phase20_full_oracle_imitation_staged/oracle/moderate/scenario_000/oracle_metrics.json
moderate,1,56,1.067837814989062,0.8550708443435929,1.1923204271077104,1.08984168484952,0.19047425565328424,0.0,0.001819893511792798,0.0005389072581292835,0.0017670007129131713,-0.042169232542380676,0.037161912636399425,0.003739433990046943,1888.1114567916945,slack_oracle,Solve_Succeeded,0.10413987503852695,True,True,0.0,0.0,0.0,,none,0.5,34.79939770783359,outputs/phase20_full_oracle_imitation_staged/oracle/moderate/scenario_001/oracle_trajectory.csv,outputs/phase20_full_oracle_imitation_staged/oracle/moderate/scenario_001/oracle_metrics.json
moderate,2,57,1.0552500109466625,0.9904935904652705,1.1364934679007512,0.9361279231434767,0.13783755517640428,0.5,0.0012876544132459234,0.0010895091536253408,0.0008726206962965641,-0.03988767505303118,0.0403012765601704,-0.0006989770439637954,2243.631407086245,slack_oracle,Solve_Succeeded,0.10603258304763585,True,True,0.0,0.0,0.0,,none,0.5,45.921306138352385,outputs/phase20_full_oracle_imitation_staged/oracle/moderate/scenario_002/oracle_trajectory.csv,outputs/phase20_full_oracle_imitation_staged/oracle/moderate/scenario_002/oracle_metrics.json
moderate,3,58,0.9427035401698733,1.1139500827692312,0.8972365808628847,0.8833681862461437,0.2960345266189571,1.0,0.0009159976169144701,0.00020772178158287347,0.001579716448980541,-0.02224949176908563,0.04723591983330609,-0.009198019703474421,2252.732574594433,slack_oracle,Solve_Succeeded,0.1388539579929784,False,True,0.004172958977993885,0.0,7.0,9.0,high,0.796034526618957,7482.5049343034,outputs/phase20_full_oracle_imitation_staged/oracle/moderate/scenario_003/oracle_trajectory.csv,outputs/phase20_full_oracle_imitation_staged/oracle/moderate/scenario_003/oracle_metrics.json
moderate,4,59,1.0263241475999092,1.0978198504596506,0.8467775120989001,0.9509718434702744,0.06519182255015281,0.0,1.745874008911086e-05,0.0014589760408944903,0.00031099084968804126,-0.02196446416086214,0.04507563176598882,0.008256747261127528,-1953.0550355784214,slack_oracle,Solve_Succeeded,0.10784475004766136,True,True,0.0,0.0,0.0,,none,0.5,92.16110251224124,outputs/phase20_full_oracle_imitation_staged/oracle/moderate/scenario_004/oracle_trajectory.csv,outputs/phase20_full_oracle_imitation_staged/oracle/moderate/scenario_004/oracle_metrics.json
moderate,5,60,0.9472851438103829,0.8581439175685014,0.8218883549768894,1.1961966085206186,0.3021514856561525,1.0,0.002904553797721493,0.0014873038666191403,0.0011797634968893586,-0.040412614765709766,0.050130858041308214,-0.01917497838311747,339.20421081160555,slack_oracle,Solve_Succeeded,0.16887958289589733,False,True,0.01523124594900957,0.0,15.0,7.0,high,0.8021514856561525,186625.7066857502,outputs/phase20_full_oracle_imitation_staged/oracle/moderate/scenario_005/oracle_trajectory.csv,outputs/phase20_full_oracle_imitation_staged/oracle/moderate/scenario_005/oracle_metrics.json
moderate,6,61,0.9623122848632923,1.08158068545768,1.068457241400226,1.0836619346162633,0.15181347760620825,1.0,0.002994278568569675,0.0014215992020767117,0.0005768931239277049,-0.029436407225376708,0.04991251707174247,0.004186027688699627,365.6368989117598,slack_oracle,Solve_Succeeded,0.1698443329660222,False,True,0.014950782379161698,0.0,15.0,7.0,high,0.6518134776062082,180183.2819608824,outputs/phase20_full_oracle_imitation_staged/oracle/moderate/scenario_006/oracle_trajectory.csv,outputs/phase20_full_oracle_imitation_staged/oracle/moderate/scenario_006/oracle_metrics.json
moderate,7,62,1.0327960500573494,1.0743319912045537,1.112278953735189,0.9151421317114131,0.24263274437772925,0.5,0.0015409049665688031,0.001310924831518817,0.0024801614615146002,-0.042927603471438924,0.053090159356097025,-0.0191536012615999,-1423.905416998581,slack_oracle,Solve_Succeeded,0.18809650000184774,False,False,0.027752871084051056,0.0,21.0,6.0,high,0.5,838440.2123358005,outputs/phase20_full_oracle_imitation_staged/oracle/moderate/scenario_007/oracle_trajectory.csv,outputs/phase20_full_oracle_imitation_staged/oracle/moderate/scenario_007/oracle_metrics.json
moderate,8,63,1.0180238115686702,1.1476776606578871,0.8786749505372946,1.0021150448890466,0.07013268800964144,0.5,0.0011028593964723177,0.0004317192519537778,0.0012412082361867287,-0.020315401459835056,0.04644377946404173,-0.0004817541018459792,-1592.455564172357,slack_oracle,Solve_Succeeded,0.1264459170633927,True,True,0.0009642934558382055,0.0,0.0,,none,0.5,308.93069182193324,outputs/phase20_full_oracle_imitation_staged/oracle/moderate/scenario_008/oracle_trajectory.csv,outputs/phase20_full_oracle_imitation_staged/oracle/moderate/scenario_008/oracle_metrics.json
moderate,9,64,1.1330480358221209,1.0070018887422227,0.8262843749716177,0.9274235112624596,0.30044609995951377,1.0,0.0029560957500721105,0.0009380721776113753,0.000451621436160318,-0.04898561862990772,0.04491250406958837,0.0022242335183021524,968.9782197362363,slack_oracle,Solve_Succeeded,0.11007325001992285,True,True,0.0,0.0,0.0,,none,0.8004460999595138,86.14630724085136,outputs/phase20_full_oracle_imitation_staged/oracle/moderate/scenario_009/oracle_trajectory.csv,outputs/phase20_full_oracle_imitation_staged/oracle/moderate/scenario_009/oracle_metrics.json
