tier,scenario_count,feasible_count,feasible_rate,near_feasible_count,near_feasible_rate,median_max_alpha_miss_rad,max_alpha_miss_rad
moderate,30,15,0.5,22,0.7333333333333333,0.001060055660206921,0.035871356412029404
stress,30,13,0.43333333333333335,15,0.5,0.023725642234636343,0.09551255874232853
