tier,controller,scenario_count,strict_success_count,strict_success_rate,controlled_recovery_count,controlled_recovery_rate,oracle_feasible_count,oracle_feasible_rate,missed_oracle_feasible_count,mean_online_minus_oracle_alpha_miss_rad,median_alpha_miss_rad,mean_raw_applied_flap_gap_rad,oracle_strict_feasible_count,oracle_strict_feasible_rate,oracle_near_feasible_count,oracle_near_feasible_rate,strict_success_gap_vs_oracle_rate,missed_feasible_scenarios_count,online_success_beyond_oracle_count
moderate,ridge_no_safety,30,15,0.5,24,0.8,15,0.5,1,0.0001598440480023037,0.0005971515509986258,0.0787856100165949,15,0.5,22,0.7333333333333333,0.0,1,1
moderate,ridge_safety,30,15,0.5,24,0.8,15,0.5,1,0.0001598079392872015,0.000596929284736078,0.08093635955345801,15,0.5,22,0.7333333333333333,0.0,1,1
moderate,ridge_strict_train_safety,30,15,0.5,24,0.8,15,0.5,1,0.0001596472456150901,0.0005959537774708895,0.1312939127729634,15,0.5,22,0.7333333333333333,0.0,1,1
moderate,ridge_stronger_safety,30,15,0.5,24,0.8,15,0.5,1,0.00015980794034634315,0.000596929284736078,0.08757909580170589,15,0.5,22,0.7333333333333333,0.0,1,1
stress,ridge_no_safety,30,11,0.36666666666666664,17,0.5666666666666667,13,0.43333333333333335,3,0.0021991466130710383,0.019437968902146607,0.2786016514893676,13,0.43333333333333335,15,0.5,-0.06666666666666671,3,1
stress,ridge_safety,30,11,0.36666666666666664,17,0.5666666666666667,13,0.43333333333333335,3,0.0021991466130710383,0.019437968902146607,0.27876785171010254,13,0.43333333333333335,15,0.5,-0.06666666666666671,3,1
stress,ridge_strict_train_safety,30,11,0.36666666666666664,17,0.5666666666666667,13,0.43333333333333335,3,0.0021963494347717882,0.01941608529623657,0.39196435990359385,13,0.43333333333333335,15,0.5,-0.06666666666666671,3,1
stress,ridge_stronger_safety,30,11,0.36666666666666664,17,0.5666666666666667,13,0.43333333333333335,3,0.0021991475428249363,0.019437968902146607,0.2808861788030165,13,0.43333333333333335,15,0.5,-0.06666666666666671,3,1
