tier,scenario_id,seed,controller,time_s,alpha_rad,q_radps,theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,alpha_error_rad,q_error_rad,theta_error_rad,mach,altitude_m,velocity_mps,dynamic_pressure_pa,delta_flap_rad,delta_flap_raw_rad,delta_flap_rate_radps,flap_saturated,flap_rate_saturated,solver_status,solve_time_s,solver_failure,actuator_tau_prediction_s,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,external_disturbance_moment_nm,corridor_violation
stress,17,10072,truth_consistent_slack_oracle,0.0,0.1110788181405597,0.02359468697061247,0.08468626758900423,0.12,-1.5202636718752993e-05,0.08,0.04999999999999999,0.19,-0.08,0.08,-0.008921181859440297,0.023609889607331222,0.004686267589004228,21.012104371718653,82000.0,6200.0,84.07470212228044,0.0,-0.18000000999807886,0.0,False,False,oracle_solution,0.0,False,0.7588030678522094,0.8755295136153882,1.1674382533539729,0.601755866814456,0.8705304857647,136.40725027485112,False
stress,17,10072,truth_consistent_slack_oracle,1.0,0.11032391152453248,0.023598050689879205,0.10828254478891275,0.12009173525377229,-6.052490234374763e-05,0.079969658203125,0.05009173525377228,0.1900917352537723,-0.08,0.08,-0.009767823729239802,0.023658575592222952,0.028312886585787747,21.00908182581111,81995.44873046875,6199.108143368448,84.11085981176227,-0.12694862440948187,-0.3500000099980815,0.0,False,False,oracle_solution,0.0,False,0.7588030678522094,0.8755295136153882,1.1674382533539729,0.601755866814456,0.8705304857647,136.40725027485112,False
stress,17,10072,truth_consistent_slack_oracle,2.0,0.10972149104268662,0.023602295490842702,0.13188260531236026,0.12036351165980795,-0.00012031982421875642,0.079879140625,0.050363511659807944,0.19036351165980797,-0.08,0.08,-0.010642020617121328,0.02372261531506146,0.052003464687360265,21.00134410223131,81981.87109375,6196.824988604601,84.22906099145135,-0.28426009663331053,-0.3500000099980866,0.0,False,False,oracle_solution,0.0,False,0.7588030678522094,0.8755295136153882,1.1674382533539729,0.601755866814456,0.8705304857647,136.40725027485112,False
stress,17,10072,truth_consistent_slack_oracle,3.0,0.1092421573581142,0.0236070510361086,0.15548724439911454,0.12081018518518519,-0.00017935302734374547,0.07972920898437501,0.05081018518518518,0.1908101851851852,-0.08,0.08,-0.01156802782707099,0.023786404063452345,0.07575803541473954,20.98953738670099,81959.38134765625,6193.341204448907,84.43328713145604,-0.33062449167165475,-0.3500000099980938,0.0,False,False,oracle_solution,0.0,False,0.7588030678522094,0.8755295136153882,1.1674382533539729,0.601755866814456,0.8705304857647,136.40725027485112,False
stress,17,10072,truth_consistent_slack_oracle,4.0,0.10886184692991939,0.023611967651400598,0.17909674289196975,0.12142661179698216,-0.00023762451171874255,0.079520625,0.05142661179698216,0.19142661179698217,-0.08,0.08,-0.012564764867062775,0.02384959216311934,0.09957611789196975,20.973993032370615,81928.09375,6188.754562618874,84.72525813337954,-0.34428946535020283,-0.350000009998103,0.0,False,False,oracle_solution,0.0,False,0.7588030678522094,0.8755295136153882,1.1674382533539729,0.601755866814456,0.8705304857647,136.40725027485112,False
stress,17,10072,truth_consistent_slack_oracle,5.0,0.10856108506125091,0.023616940149359555,0.20271119298815085,0.1222076474622771,-0.0002951342773437615,0.079254150390625,0.05220764746227709,0.1922076474622771,-0.08,0.08,-0.013646562401026185,0.023912074426703317,0.12345704259752585,20.95494384003998,81888.12255859375,6183.133755185188,85.10617049365985,-0.3483169417247185,-0.35000000999811426,0.0,False,False,oracle_solution,0.0,False,0.7588030678522094,0.8755295136153882,1.1674382533539729,0.601755866814456,0.8705304857647,136.40725027485112,False
stress,17,10072,truth_consistent_slack_oracle,6.0,0.10832419307146074,0.023621935823632804,0.2263306293795263,0.12314814814814815,-0.0003518823242187469,0.07893054687500001,0.05314814814814814,0.19314814814814815,-0.08,0.08,-0.014823955076687406,0.02397381814785155,0.1474000825045263,20.932572348428415,81839.58203125,6176.532643486048,85.57708616931826,-0.34950395944820145,-0.3500000099981274,0.0,False,False,oracle_solution,0.0,False,0.7588030678522094,0.8755295136153882,1.1674382533539729,0.601755866814456,0.8705304857647,136.40725027485112,False
stress,17,10072,truth_consistent_slack_oracle,7.0,0.10813857243041083,0.023626943685177378,0.24995506829326547,0.12424296982167352,-0.00040786865234375413,0.078550576171875,0.05424296982167351,0.19424296982167352,-0.08,0.08,-0.01610439739126268,0.02403481233752113,0.17140449212139047,20.907030470688255,81782.58642578125,6168.996052234287,86.13909035997754,-0.34985380906738395,-0.3500000099981425,0.0,False,False,oracle_solution,0.0,False,0.7588030678522094,0.8755295136153882,1.1674382533539729,0.601755866814456,0.8705304857647,136.40725027485112,False
stress,17,10072,truth_consistent_slack_oracle,8.0,0.10799410672870714,0.023631959422491678,0.27358451931079825,0.1254869684499314,-0.00046309326171874166,0.078115,0.055486968449931395,0.1954869684499314,-0.08,0.08,-0.01749286172122426,0.02409505268421042,0.19546951931079826,20.878449470932924,81717.25,6160.562713271744,86.7933714009952,-0.34995692021191876,-0.3500000099981593,0.0,False,False,oracle_solution,0.0,False,0.7588030678522094,0.8755295136153882,1.1674382533539729,0.601755866814456,0.8705304857647,136.40725027485112,False
stress,17,10072,truth_consistent_slack_oracle,9.0,0.10788267474865657,0.023636980908359882,0.29721898909527705,0.126875,-0.0005175561523437511,0.077624580078125,0.05687499999999998,0.196875,-0.08,0.08,-0.018992325251343423,0.024154537060703633,0.21959440901715205,20.84694573386822,81643.68701171875,6151.266968002932,87.54126698772065,-0.3499873101496159,-0.3500000099981777,0.0,False,False,oracle_solution,0.0,False,0.7588030678522094,0.8755295136153882,1.1674382533539729,0.601755866814456,0.8705304857647,136.40725027485112,False
stress,17,10072,truth_consistent_slack_oracle,10.0,0.10779775758425715,0.023642006830511826,0.32085848268240025,0.12840192043895748,-0.0005712573242187546,0.077080078125,0.05840192043895748,0.1984019204389575,-0.08,0.08,-0.020604162854700334,0.02421326415473058,0.24377840455740024,20.81262440308339,81562.01171875,6141.139840938384,88.38429365967713,-0.34999626697303576,-0.3500000099981976,0.0,False,False,oracle_solution,0.0,False,0.7588030678522094,0.8755295136153882,1.1674382533539729,0.601755866814456,0.8705304857647,136.40725027485112,False
stress,17,10072,truth_consistent_slack_oracle,11.0,0.10773412268982908,0.02364703625401328,0.344503004014116,0.13006258573388202,-0.0006241967773437523,0.076482255859375,0.06006258573388201,0.20006258573388203,-0.08,0.08,-0.022328463044052935,0.02427123303135703,0.268020748154741,20.7755818231183,81472.33837890625,6130.2097602705635,89.32416721585969,-0.3499989068167526,-0.3500000099982188,0.0,False,False,oracle_solution,0.0,False,0.7588030678522094,0.8755295136153882,1.1674382533539729,0.601755866814456,0.8705304857647,136.40725027485112,False
stress,17,10072,truth_consistent_slack_oracle,12.0,0.10768757010178993,0.02365206846610043,0.36815255621937115,0.13185185185185186,-0.0006763745117187442,0.075831875,0.06185185185185185,0.20185185185185187,-0.08,0.08,-0.024164281750061925,0.024328442977819175,0.29232068121937116,20.735907258102767,81374.78125,6118.5030649893715,90.36281796028725,-0.34999968485765165,-0.35000000999824116,0.0,False,False,oracle_solution,0.0,False,0.7588030678522094,0.8755295136153882,1.1674382533539729,0.601755866814456,0.8705304857647,136.40725027485112,False
stress,17,10072,truth_consistent_slack_oracle,13.0,0.10765472869031353,0.023657102910062962,0.391807141797187,0.13376457475994513,-0.000727790527343744,0.075129697265625,0.06376457475994513,0.20376457475994514,-0.08,0.08,-0.026109846069631598,0.024384893437406706,0.316677444531562,20.693684147169208,81269.45458984375,6106.044375314271,91.50240293315193,-0.34999991416958653,-0.3500000099982644,0.0,False,False,oracle_solution,0.0,False,0.7588030678522094,0.8755295136153882,1.1674382533539729,0.601755866814456,0.8705304857647,136.40725027485112,False
stress,17,10072,truth_consistent_slack_oracle,14.0,0.10763289260528328,0.023662139149821595,0.41546676275289246,0.13579561042524005,-0.0007784448242187519,0.074376484375,0.06579561042524004,0.20579561042524006,-0.08,0.08,-0.028162717819956773,0.024440583974040347,0.34109027837789246,20.64899104951369,81156.47265625,6092.856871551574,92.74531639797068,-0.3499999817546874,-0.35000000999828845,0.0,False,False,oracle_solution,0.0,False,0.7588030678522094,0.8755295136153882,1.1674382533539729,0.601755866814456,0.8705304857647,136.40725027485112,False
stress,17,10072,truth_consistent_slack_oracle,15.0,0.1076198899956199,0.023667176847036245,0.4391314207064295,0.13793981481481482,-0.000828337402343754,0.073572998046875,0.06793981481481481,0.20793981481481483,-0.08,0.08,-0.03031992481919492,0.02449551424938,0.3655584226595545,20.60190237372883,81035.94970703125,6078.962509297259,94.094199372564,-0.35000000167405465,-0.350000009998313,0.0,False,False,oracle_solution,0.0,False,0.7588030678522094,0.8755295136153882,1.1674382533539729,0.601755866814456,0.8705304857647,136.40725027485112,False
stress,17,10072,truth_consistent_slack_oracle,16.0,0.10761397763637896,0.023672215744668566,0.46280111698141124,0.1401920438957476,-0.0008774682617187501,0.07272,0.0701920438957476,0.2101920438957476,-0.08,0.08,-0.03257806625936864,0.024549684006387316,0.39008111698141124,20.552488952527018,80908.0,6064.382189019411,95.55194871306387,-0.3500000075449051,-0.3500000099983377,0.0,False,False,oracle_solution,0.0,False,0.7588030678522094,0.8755295136153882,1.1674382533539729,0.601755866814456,0.8705304857647,136.40725027485112,False
