scenario_id,tier,seed,controller,time_s,alpha_rad,q_radps,theta_rad,measured_alpha_rad,measured_q_radps,measured_theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,alpha_error_rad,q_error_rad,theta_error_rad,predicted_residual_alpha_dot,predicted_residual_q_dot,predicted_residual_theta_dot,solver_status,solve_time_s,objective_value,solver_failure,pitching_moment_nm,cm,flap_effectiveness,delta_flap_raw_rad,delta_flap_delayed_rad,delta_flap_lagged_rad,delta_flap_rad,delta_flap_rate_radps,flap_saturated,flap_rate_saturated,altitude_m,velocity_mps,mach,density_kgm3,dynamic_pressure_pa,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,actuator_lag_s,actuator_delay_s,sensor_noise_alpha_rad,sensor_noise_q_radps,sensor_noise_theta_rad,initial_alpha_error_rad,initial_q_error_radps,initial_theta_error_rad,external_disturbance_moment_nm,corridor_violation
3,stress,10058,learned_residual_nmpc,73.5,0.23192687089383227,0.050574348412809375,4.112764760460516,0.23629709831902027,0.04799177272766771,4.112512455490925,0.2798965914960556,-0.002421376953125026,-0.03419111450195311,0.2098965914960556,0.3498965914960556,-0.08,0.08,-0.04796972060222335,0.0529957253659344,4.146955874962469,8.067437273773237e-10,4.878436084254645e-05,1.0547163836749363e-10,not_applicable,0.0,,False,-2912.5601691499655,-0.025254187854228713,0.5919173776928992,-0.35000000635789824,-0.35000000635789824,-0.22475604507183697,-0.08561607956339991,-0.18,False,True,64871.33282470703,4556.750292123559,15.44305044096124,6.251396915362381e-05,649.0191908399132,0.8400348122237011,0.7368166561589482,1.098880145389692,0.9663426523519489,0.4807149936858969,1.5,0.007381684733804169,0.0039628751550082695,0.0015802535717956004,-0.027669301938465292,0.05848110963791403,0.030446402496627712,-2492.964583448316,False
3,stress,10058,learned_residual_nmpc,74.0,0.23169996947456928,0.05051610674943144,4.138037373453794,0.22459577325486918,0.04748386685282418,4.13673329719179,0.27981686701728026,-0.0024237573242187754,-0.03540242187500002,0.20981686701728025,0.34981686701728026,-0.08,0.08,-0.04811689754271098,0.052939864073650214,4.173439795328794,7.825754488877124e-10,4.6641871449537575e-05,1.5997977942383557e-10,Solve_Succeeded,0.030357042036484927,2667.6026935228056,False,-2639.1162880875186,-0.008606779206957182,0.5942407045472012,-0.3500000077589256,-0.35000000635789824,-0.30573713591535556,-0.17561607956339992,-0.18000000000000002,False,True,64689.63671875,4541.156373909807,15.390201886594888,6.433100549098059e-05,663.3202531620681,0.8400348122237011,0.7368166561589482,1.098880145389692,0.9663426523519489,0.4807149936858969,1.5,0.007381684733804169,0.0039628751550082695,0.0015802535717956004,-0.027669301938465292,0.05848110963791403,0.030446402496627712,-2492.964583448316,False
3,stress,10058,learned_residual_nmpc,74.5,0.23147044563155772,0.050463334293682195,4.1632822328914365,0.23234722541192926,0.05173846997665874,4.166303781418377,0.27971495527329077,-0.002425947265624978,-0.03661487182617189,0.20971495527329076,0.3497149552732908,-0.08,0.08,-0.04824450964173305,0.05288928155930717,4.199897104717609,7.825754488877124e-10,4.6641871449537575e-05,1.5997977942383557e-10,not_applicable,0.0,,False,-2351.168270213416,0.008170214814164224,0.5965693411216009,-0.3500000077589256,-0.35000000635789824,-0.33435692321284793,-0.26561607956339994,-0.18000000000000005,False,True,64507.76922607422,4525.567804156212,15.337371458422572,6.620264512863786e-05,677.9403738731306,0.8400348122237011,0.7368166561589482,1.098880145389692,0.9663426523519489,0.4807149936858969,1.5,0.007381684733804169,0.0039628751550082695,0.0015802535717956004,-0.027669301938465292,0.05848110963791403,0.030446402496627712,-2492.964583448316,False
3,stress,10058,learned_residual_nmpc,75.0,0.23124123201040409,0.05041632100794886,4.188502145877852,0.2377612587344711,0.05706364760638712,4.187255300186629,0.2795911203981969,-0.0024279467773437313,-0.037828369140625,0.20959112039819688,0.3495911203981969,-0.08,0.08,-0.048349888387792805,0.05284426778529259,4.226330515018477,7.825754488877124e-10,4.6641871449537575e-05,1.5997977942383557e-10,not_applicable,0.0,,False,-2084.588958047953,0.02302281433139209,0.598903116341161,-0.3500000077589256,-0.35000000635789824,-0.3444715341228992,-0.3444715341228992,-0.15771090911899854,False,False,64325.74462890625,4509.985691545775,15.284562913825413,6.81304258870631e-05,692.8854412664288,0.8400348122237011,0.7368166561589482,1.098880145389692,0.9663426523519489,0.4807149936858969,1.5,0.007381684733804169,0.0039628751550082695,0.0015802535717956004,-0.027669301938465292,0.05848110963791403,0.030446402496627712,-2492.964583448316,False
3,stress,10058,learned_residual_nmpc,75.5,0.23101492009941457,0.050374639403103945,4.213699885135126,0.23596575706115844,0.043775910755334636,4.212869577136467,0.2794456265261082,-0.0024297558593749935,-0.03904281860351562,0.2094456265261082,0.3494456265261082,-0.08,0.08,-0.04843070642669364,0.05280439526247894,4.252742703738642,7.825754488877124e-10,4.6641871449537575e-05,1.5997977942383557e-10,not_applicable,0.0,,False,-2056.7483331568606,0.024061883908616487,0.6012418579761649,-0.3500000077589256,-0.3500000077589256,-0.3480461721425518,-0.3480461721425518,-0.007149276039305152,False,False,64143.577209472656,4494.411141824394,15.231780000230545,7.011592155758881e-05,708.161395081293,0.8400348122237011,0.7368166561589482,1.098880145389692,0.9663426523519489,0.4807149936858969,1.5,0.007381684733804169,0.0039628751550082695,0.0015802535717956004,-0.027669301938465292,0.05848110963791403,0.030446402496627712,-2492.964583448316,False
3,stress,10058,learned_residual_nmpc,76.0,0.23079258094700075,0.050333514639205774,4.2388769227977985,0.2288115010219951,0.04923283350214057,4.239855212917455,0.2792787377911345,-0.0024313745117187785,-0.04025812499999999,0.20927873779113448,0.3492787377911345,-0.08,0.08,-0.04848615684413374,0.05276488915092455,4.279135047797799,7.726567718968624e-10,5.263279672362842e-05,1.4295636896477504e-10,Solve_Succeeded,0.0296258750022389,2745.0417154807405,False,-2035.7489466114623,0.02467618383674891,0.6035853926413581,-0.350000006643155,-0.3500000077589256,-0.34930949644113,-0.34930949644113,-0.0025266485971564556,False,False,63961.28125,4478.845257833978,15.179026455223338,7.216074232040279e-05,723.7742242518746,0.8400348122237011,0.7368166561589482,1.098880145389692,0.9663426523519489,0.4807149936858969,1.5,0.007381684733804169,0.0039628751550082695,0.0015802535717956004,-0.027669301938465292,0.05848110963791403,0.030446402496627712,-2492.964583448316,False
3,stress,10058,learned_residual_nmpc,76.5,0.2305740313955701,0.05029280989650122,4.264033503080954,0.22965863263014932,0.04637095112098793,4.265338062174159,0.27909071832738547,-0.002432802734375031,-0.0414741931152344,0.20909071832738546,0.3490907183273855,-0.08,0.08,-0.04851668693181538,0.05272561263087625,4.305507696196188,7.726567718968624e-10,5.263279672362842e-05,1.4295636896477504e-10,not_applicable,0.0,,False,-2016.898133280607,0.025139370583568327,0.6059335457954627,-0.350000006643155,-0.3500000077589256,-0.3497559719372792,-0.3497559719372792,-0.0008929509922983581,False,False,63778.871032714844,4463.289139544943,15.126306006657531,7.426653514249814e-05,739.7299645135558,0.8400348122237011,0.7368166561589482,1.098880145389692,0.9663426523519489,0.4807149936858969,1.5,0.007381684733804169,0.0039628751550082695,0.0015802535717956004,-0.027669301938465292,0.05848110963791403,0.030446402496627712,-2492.964583448316,False
3,stress,10058,learned_residual_nmpc,77.0,0.23035906521175423,0.05025248221033383,4.289169825253455,0.2397710539303687,0.05337734916653418,4.290355561313327,0.27888183226897073,-0.0024340405273437365,-0.04269092773437502,0.20888183226897072,0.34888183226897074,-0.08,0.08,-0.048522767057216504,0.052686522737677564,4.33186075298783,7.726567718968624e-10,5.263279672362842e-05,1.4295636896477504e-10,not_applicable,0.0,,False,-1998.4853001710176,0.02554855895993153,0.6082861417409636,-0.350000006643155,-0.3500000077589256,-0.34991376227574256,-0.34991376227574256,-0.00031558067692671887,False,False,63596.36083984375,4447.743884088104,15.073622372763316,7.643498415379656e-05,756.0346958633799,0.8400348122237011,0.7368166561589482,1.098880145389692,0.9663426523519489,0.4807149936858969,1.5,0.007381684733804169,0.0039628751550082695,0.0015802535717956004,-0.027669301938465292,0.05848110963791403,0.030446402496627712,-2492.964583448316,False
3,stress,10058,learned_residual_nmpc,77.5,0.23014748554971085,0.05021252282801916,4.314286075654828,0.22036667940628188,0.05014313440524703,4.314284131643383,0.27865234375000003,-0.002435087890624979,-0.043908233642578134,0.20865234375000002,0.34865234375000004,-0.08,0.08,-0.048504858200289186,0.05264761071864414,4.3581943092974065,7.726567718968624e-10,5.263279672362842e-05,1.4295636896477504e-10,not_applicable,0.0,,False,-1979.881122531247,0.025938222231283795,0.610643003624165,-0.350000006643155,-0.350000006643155,-0.349969526744388,-0.349969526744388,-0.00011152893729093893,False,False,63413.76495361328,4432.210585785984,15.020979262253448,7.866781099958571e-05,772.6945398709776,0.8400348122237011,0.7368166561589482,1.098880145389692,0.9663426523519489,0.4807149936858969,1.5,0.007381684733804169,0.0039628751550082695,0.0015802535717956004,-0.027669301938465292,0.05848110963791403,0.030446402496627712,-2492.964583448316,False
3,stress,10058,learned_residual_nmpc,78.0,0.2299391149583082,0.050172935582888205,4.339382439394806,0.23785396889622465,0.046382908067506196,4.339906786586457,0.27840251690458306,-0.0024359448242187165,-0.045126015625,0.20840251690458306,0.34840251690458307,-0.08,0.08,-0.04846340194627485,0.05260888040710692,4.384508455019806,7.507587884703071e-10,5.38279527972918e-05,1.7635157223416797e-10,Solve_Succeeded,0.02955125004518777,2849.056692254032,False,-1960.8482638475957,0.026320604833475522,0.6130039534355131,-0.3500000084991212,-0.350000006643155,-0.3499892346442788,-0.3499892346442788,-3.941579978150589e-05,False,False,63231.09765625,4416.690336183554,14.968380374427417,8.096677516733653e-05,789.7156568365397,0.8400348122237011,0.7368166561589482,1.098880145389692,0.9663426523519489,0.4807149936858969,1.5,0.007381684733804169,0.0039628751550082695,0.0015802535717956004,-0.027669301938465292,0.05848110963791403,0.030446402496627712,-2492.964583448316,False
