scenario_id,tier,seed,controller,time_s,alpha_rad,q_radps,theta_rad,measured_alpha_rad,measured_q_radps,measured_theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,alpha_error_rad,q_error_rad,theta_error_rad,solver_status,solve_time_s,solver_failure,actuator_tau_prediction_s,predicted_min_alpha_margin_rad,predicted_max_alpha_slack_rad,pitching_moment_nm,cm,flap_effectiveness,delta_flap_raw_rad,delta_flap_delayed_rad,delta_flap_lagged_rad,delta_flap_rad,delta_flap_rate_radps,flap_saturated,flap_rate_saturated,altitude_m,velocity_mps,mach,density_kgm3,dynamic_pressure_pa,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,actuator_lag_s,actuator_delay_s,sensor_noise_alpha_rad,sensor_noise_q_radps,sensor_noise_theta_rad,initial_alpha_error_rad,initial_q_error_radps,initial_theta_error_rad,external_disturbance_moment_nm,corridor_violation
0,moderate,55,governed_safety_nmpc,0.0,0.08473285649220952,0.04330265002520312,0.08407667571118842,0.08406732940104751,0.04229209473350958,0.08413772409460255,0.12,-1.5202636718752993e-05,0.08,0.04999999999999999,0.19,-0.08,0.08,-0.03526714350779048,0.043317852661921875,0.0040766757111884155,Solve_Succeeded,0.020426625036634505,False,0.422460084735908,0.03406732940104752,1.2189124778768076e-08,-2334.9170886718766,-0.017143868921495758,0.4015798869488264,0.03828284694407503,0.0,0.0,0.0,0.0,False,False,82000.0,6200.0,21.012104371718653,5.494216566284761e-06,105.59884240399309,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,0.17246008473590804,0.5,0.002112697278039903,0.001420628984150504,0.00020335583094168374,-0.03526714350779047,0.043317852661921875,0.00407667571118842,-2288.5715472335214,False
0,moderate,55,governed_safety_nmpc,0.5,0.09639828128253661,0.04325581872774016,0.10571630378822393,0.0990714085390868,0.04092821955805555,0.10575324180748531,0.12002304098079561,-3.0341796874999716e-05,0.07999239868164063,0.0500230409807956,0.19002304098079562,-0.08,0.08,-0.023624759698259,0.04328616052461516,0.025723905106583303,Solve_Succeeded,0.01977216702653095,False,0.422460084735908,0.0490483675582912,7.486960450431695e-09,-2357.7318282116657,-0.025580824906262033,0.40159248685423254,0.08238522214215221,0.03828284694407503,0.03617476110250171,0.03617476110250171,0.07234952220500342,False,False,81998.8598022461,6199.7501458924335,21.01125760388222,5.4952045036909835e-06,105.60931813607905,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,0.17246008473590804,0.5,0.002112697278039903,0.001420628984150504,0.00020335583094168374,-0.03526714350779047,0.043317852661921875,0.00407667571118842,-2288.5715472335214,False
0,moderate,55,governed_safety_nmpc,1.0,0.10682628713367884,0.043208545223734914,0.12733240451070538,0.10932795818021301,0.04365123592201964,0.12748322828745376,0.12009173525377229,-6.052490234374763e-05,0.079969658203125,0.05009173525377228,0.1900917352537723,-0.08,0.08,-0.013265448120093448,0.04326907012607866,0.047362746307580375,Solve_Succeeded,0.018882000003941357,False,0.422460084735908,0.039072869668653976,4.725034211563981e-09,-2381.20793507083,-0.034252774415829065,0.40162486243193063,0.14503785524175195,0.08238522214215221,0.07984059376609201,0.07984059376609201,0.0873316653271806,False,False,81995.44873046875,6199.108143368448,21.00908182581111,5.498161126721407e-06,105.64425689916109,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,0.17246008473590804,0.5,0.002112697278039903,0.001420628984150504,0.00020335583094168374,-0.03526714350779047,0.043317852661921875,0.00407667571118842,-2288.5715472335214,False
0,moderate,55,governed_safety_nmpc,1.5,0.1161455578884243,0.04316081479925953,0.14892475321866344,0.1182939526363334,0.04243083485968803,0.14880260351860025,0.12020543981481481,-9.05175781250045e-05,0.07993187377929688,0.0502054398148148,0.1902054398148148,-0.08,0.08,-0.004059881926390507,0.04325133237738454,0.06899287943936656,Solve_Succeeded,0.019406249979510903,False,0.422460084735908,0.03749202080556002,4.620362681387752e-09,-2408.3320816034407,-0.04425654701560086,0.4016744554206741,0.2024973057673487,0.14503785524175195,0.141447698427475,0.141447698427475,0.123214209322766,False,False,81989.78106689453,6198.124722339112,21.005748963664374,5.503077219194574e-06,105.70517108295599,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,0.17246008473590804,0.5,0.002112697278039903,0.001420628984150504,0.00020335583094168374,-0.03526714350779047,0.043317852661921875,0.00407667571118842,-2288.5715472335214,False
0,moderate,55,governed_safety_nmpc,2.0,0.12447135160097345,0.04311255316513497,0.1704931029883878,0.1264302408690428,0.04226747321324505,0.17053910462313046,0.12036351165980795,-0.00012031982421875642,0.079879140625,0.050363511659807944,0.19036351165980797,-0.08,0.08,0.004107839941165495,0.04323287298935373,0.0906139623633878,Solve_Succeeded,0.01917737501207739,False,0.422460084735908,0.03405940771612331,4.6634223525422965e-09,-2433.3546228483037,-0.05345915053631799,0.4017399997587981,0.2596065564779389,0.2024973057673487,0.19913554395650937,0.19913554395650937,0.11537569105806872,False,False,81981.87109375,6196.824988604601,21.00134410223131,5.509945624707058e-06,105.79271901000865,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,0.17246008473590804,0.5,0.002112697278039903,0.001420628984150504,0.00020335583094168374,-0.03526714350779047,0.043317852661921875,0.00407667571118842,-2288.5715472335214,False
0,moderate,55,governed_safety_nmpc,2.5,0.13190691295770723,0.04306380116736283,0.1920371985237258,0.13015554618205183,0.0439069119578985,0.19201949905815388,0.12056530778463648,-0.00014993164062498954,0.07981155395507812,0.05056530778463647,0.19056530778463648,-0.08,0.08,0.011341605173070757,0.04321373280798782,0.11222564456864768,Solve_Succeeded,0.019459749979432672,False,0.422460084735908,0.028987164344887295,5.753331748016028e-09,-2457.3194210650204,-0.06224040563578623,0.4018206300465545,0.3195018826317923,0.2596065564779389,0.2562766556085429,0.2562766556085429,0.11428222330406707,False,False,81971.73309326172,6195.226102903411,20.995925400097143,5.518761211856883e-06,105.90730819004975,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,0.17246008473590804,0.5,0.002112697278039903,0.001420628984150504,0.00020335583094168374,-0.03526714350779047,0.043317852661921875,0.00407667571118842,-2288.5715472335214,False
0,moderate,55,governed_safety_nmpc,3.0,0.1385447464138834,0.04301457890153072,0.2135567997535302,0.13518878058126357,0.04334662156897086,0.2138398665276839,0.12081018518518519,-0.00017935302734374547,0.07972920898437501,0.05081018518518518,0.1908101851851852,-0.08,0.08,0.01773456122869821,0.04319393192887447,0.13382759076915518,Solve_Succeeded,0.020270999986678362,False,0.422460084735908,0.02810760525405695,4.3300427606485286e-09,-2481.200697009894,-0.07095361463564188,0.40191568368588926,0.3499995991979178,0.3195018826317923,0.31602031800017866,0.31602031800017866,0.11948732478327151,False,False,81959.38134765625,6193.341204448907,20.98953738670099,5.5295208431516185e-06,106.04922951113139,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,0.17246008473590804,0.5,0.002112697278039903,0.001420628984150504,0.00020335583094168374,-0.03526714350779047,0.043317852661921875,0.00407667571118842,-2288.5715472335214,False
0,moderate,55,governed_safety_nmpc,3.5,0.14446772546634895,0.042964887092131254,0.23505167180238878,0.14690853856192163,0.04065120204055027,0.2352584665512992,0.12109750085733882,-0.00020858398437501036,0.07963220092773438,0.051097500857338815,0.19109750085733884,-0.08,0.08,0.02337022460901013,0.043173471076506265,0.1554194708746544,Solve_Succeeded,0.019918458012398332,False,0.422460084735908,0.028499710243932136,1.4494254737036192e-08,-2496.8989000052125,-0.07661349955497533,0.40202462079258067,0.349999586728063,0.3499995991979178,0.34812849379908384,0.34812849379908384,0.06421635159781036,False,False,81944.83013916016,6191.180999058791,20.98221634458463,5.5422233474719415e-06,106.21871164891482,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,0.17246008473590804,0.5,0.002112697278039903,0.001420628984150504,0.00020335583094168374,-0.03526714350779047,0.043317852661921875,0.00407667571118842,-2288.5715472335214,False
0,moderate,55,governed_safety_nmpc,4.0,0.1497501304466,0.04291488855553212,0.2565216206718532,0.14849254204513232,0.041370343219895085,0.2563355672283415,0.12142661179698216,-0.00023762451171874255,0.079520625,0.05142661179698216,0.19142661179698217,-0.08,0.08,0.028323518649617824,0.04315251306725086,0.17700099567185318,Solve_Succeeded,0.019683999998960644,False,0.422460084735908,0.02666872319877997,1.4841781080111342e-08,-2503.7289206605947,-0.078978621235879,0.40214698367832524,0.34999959125530605,0.349999586728063,0.3498965529981627,0.3498965529981627,0.003536118398157706,False,False,81928.09375,6188.754562618874,20.973993032370615,5.556869495971184e-06,106.41594861973807,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,0.17246008473590804,0.5,0.002112697278039903,0.001420628984150504,0.00020335583094168374,-0.03526714350779047,0.043317852661921875,0.00407667571118842,-2288.5715472335214,False
0,moderate,55,governed_safety_nmpc,4.5,0.1544585846293487,0.04286475989966282,0.2779665372122286,0.1530956912755893,0.04353391618237308,0.27792965913921874,0.121796875,-0.00026647460937499756,0.07939457641601563,0.05179687499999999,0.191796875,-0.08,0.08,0.032661709629348695,0.043131234509037816,0.19857196079621295,Solve_Succeeded,0.02079333399888128,False,0.422460084735908,0.020142676948812888,1.5782080408007126e-08,-2509.5368176925194,-0.08093928710799828,0.40228237351219553,0.3499996036356701,0.34999959125530605,0.3499939173436625,0.3499939173436625,0.00019472869099956824,False,False,81909.18646240234,6186.0698038826085,20.964894253212666,5.573461981301462e-06,106.64111565237224,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,0.17246008473590804,0.5,0.002112697278039903,0.001420628984150504,0.00020335583094168374,-0.03526714350779047,0.043317852661921875,0.00407667571118842,-2288.5715472335214,False
