tier,scenario_id,seed,controller,time_s,alpha_rad,q_radps,theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,alpha_error_rad,q_error_rad,theta_error_rad,delta_flap_rad,delta_flap_raw_rad,delta_flap_rate_radps,flap_saturated,flap_rate_saturated,solver_status,solve_time_s,solver_failure,actuator_tau_prediction_s,corridor_violation
stress,2,10057,slack_oracle,0.0,0.07839380400208648,0.04667776517874292,0.05715996535184981,0.12,-1.5202636718752993e-05,0.08,0.04999999999999999,0.19,-0.08,0.08,-0.041606195997913514,0.04669296781546167,-0.02284003464815019,0.0,0.18000000989817524,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False
stress,2,10057,slack_oracle,1.0,0.10481090161111924,0.04667519550706832,0.10383669700941324,0.12009173525377229,-6.052490234374763e-05,0.079969658203125,0.05009173525377228,0.1900917352537723,-0.08,0.08,-0.01528083364265305,0.04673572040941207,0.023867038806288238,0.12695878450032363,0.35000000989502383,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False
stress,2,10057,slack_oracle,2.0,0.12600778065022006,0.04667012174354333,0.15050963145187346,0.12036351165980795,-0.00012031982421875642,0.079879140625,0.050363511659807944,0.19036351165980797,-0.08,0.08,0.005644268990412107,0.04679044156776209,0.07063049082687346,0.284275680680455,0.35000000989289876,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False
stress,2,10057,slack_oracle,3.0,0.1430132897666023,0.046663403183110436,0.19717650869842931,0.12081018518518519,-0.00017935302734374547,0.07972920898437501,0.05081018518518518,0.1908101851851852,-0.08,0.08,0.02220310458141711,0.04684275621045418,0.1174472997140543,0.3306327945141224,0.3500000098890285,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False
stress,2,10057,slack_oracle,4.0,0.15665411940614093,0.046655825526956365,0.24383618379526298,0.12142661179698216,-0.00023762451171874255,0.079520625,0.05142661179698216,0.19142661179698217,-0.08,0.08,0.03522750760915877,0.04689345003867511,0.164315558795263,0.34429300555824965,0.35000000988378477,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False
stress,2,10057,slack_oracle,5.0,0.16759411375298577,0.04664768342866294,0.2904879778196156,0.1222076474622771,-0.0002951342773437615,0.079254150390625,0.05220764746227709,0.1922076474622771,-0.08,0.08,0.04538646629070868,0.0469428177060067,0.2112338274289906,0.34831830718305457,0.3500000098764342,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False
stress,2,10057,slack_oracle,6.0,0.17636619244302626,0.04663911254848801,0.33713140489059273,0.12314814814814815,-0.0003518823242187469,0.07893054687500001,0.05314814814814814,0.19314814814814815,-0.08,0.08,0.053218044294878114,0.046990994872706755,0.2582008580155927,0.3495044567280639,0.3500000098656851,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False
stress,2,10057,slack_oracle,7.0,0.18339812396248478,0.04663019027151903,0.3837660789165238,0.12424296982167352,-0.00040786865234375413,0.078550576171875,0.05424296982167351,0.19424296982167352,-0.08,0.08,0.05915515414081127,0.047038058923862786,0.3052155027446488,0.3498539835088863,0.3500000098490395,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False
stress,2,10057,slack_oracle,8.0,0.18903325752737793,0.04662096770358403,0.43039167589667227,0.1254869684499314,-0.00046309326171874166,0.078115,0.055486968449931395,0.1954869684499314,-0.08,0.08,0.06354628907744653,0.04708406096530277,0.3522766758966723,0.34995697976239415,0.350000009821014,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False
stress,2,10057,slack_oracle,9.0,0.19354717692112935,0.04661148093047018,0.4770079146572283,0.126875,-0.0005175561523437511,0.077624580078125,0.05687499999999998,0.196875,-0.08,0.08,0.06667217692112937,0.04712903708281393,0.3993833345791033,0.3499873300048327,0.35000000976716067,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False
stress,2,10057,slack_oracle,10.0,0.19716107176001876,0.046601755779189555,0.5236145446481778,0.12840192043895748,-0.0005712573242187546,0.077080078125,0.05840192043895748,0.1984019204389575,-0.08,0.08,0.06875915132106128,0.04717301310340831,0.4465344665231778,0.34999627337774597,0.350000009636745,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False
stress,2,10057,slack_oracle,11.0,0.20005247120964897,0.04659181036040237,0.5702113371060246,0.13006258573388202,-0.0006241967773437523,0.076482255859375,0.06006258573388201,0.20006258573388203,-0.08,0.08,0.06998988547576696,0.047216007137746124,0.49372908124664955,0.3499989086603849,0.3500000091331361,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False
stress,2,10057,slack_oracle,12.0,0.2023638598208458,0.04658165671792725,0.6167980782235457,0.13185185185185186,-0.0006763745117187442,0.075831875,0.06185185185185185,0.20185185185185187,-0.08,0.08,0.07051200796899393,0.047258031229645996,0.5409662032235457,0.34999968485302485,0.3500000058646564,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,True
stress,2,10057,slack_oracle,13.0,0.20420959317787893,0.04657130202642609,0.6633745637133712,0.13376457475994513,-0.000727790527343744,0.075129697265625,0.06376457475994513,0.20376457475994514,-0.08,0.08,0.0704450184179338,0.047299092553769836,0.5882448664477462,0.3499999112710488,0.3499999969300052,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,True
stress,2,10057,slack_oracle,14.0,0.2056814487975741,0.04656074950651044,0.7099405944164147,0.13579561042524005,-0.0007784448242187519,0.074376484375,0.06579561042524004,0.20579561042524006,-0.08,0.08,0.06988583837233406,0.047339194330729195,0.6355641100414147,0.3499999716885843,0.3499999957629446,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False
stress,2,10057,slack_oracle,15.0,0.20685308157547164,0.04654999913787686,0.7564959727188564,0.13793981481481482,-0.000828337402343754,0.073572998046875,0.06793981481481481,0.20793981481481483,-0.08,0.08,0.06891326676065682,0.04737833654022061,0.6829229746719814,0.3499999886688696,0.3499999943974595,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False
stress,2,10057,slack_oracle,16.0,0.2077835999490587,0.04653904821878354,0.8030404996020062,0.1401920438957476,-0.0008774682617187501,0.07272,0.0701920438957476,0.2101920438957476,-0.08,0.08,0.0675915560533111,0.04741651648050229,0.7303204996020062,0.349999992709396,0.3499999927825912,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False
stress,2,10057,slack_oracle,17.0,0.208520436294847,0.04652789180508292,0.8495739721891099,0.1425471536351166,-0.0009258374023437543,0.071818251953125,0.0725471536351166,0.21254715363511661,-0.08,0.08,0.0659732826597304,0.04745372920742667,0.7777557202359849,0.3499999927610225,0.3499999908486223,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False
stress,2,10057,slack_oracle,18.0,0.2091016508358894,0.04651652305378994,0.8960961816816447,0.145,-0.0009734448242187527,0.070868515625,0.07499999999999998,0.215,-0.08,0.08,0.06410165083588942,0.047489967878008695,0.8252276660566448,0.3499999914121559,0.34999998849790004,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False
stress,2,10057,slack_oracle,19.0,0.20955778085216856,0.04650493349063467,0.9426069115997819,0.147545438957476,-0.0010202905273437451,0.069871552734375,0.07754543895747598,0.217545438957476,-0.08,0.08,0.06201234189469257,0.047525224017978415,0.872735358865407,0.3499999893566539,0.349999985589876,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False
stress,2,10057,slack_oracle,20.0,0.20991332492523018,0.04649311321683486,0.9891059362589073,0.1501783264746228,-0.0010663745117187456,0.068828125,0.08017832647462278,0.2201783264746228,-0.08,0.08,0.059734998450607396,0.047559487728553604,0.9202778112589073,0.3499999866998455,0.34999998191618414,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False
stress,2,10057,slack_oracle,21.0,0.21018793424067791,0.046481051067133745,1.0355930194276688,0.1528935185185185,-0.0011116967773437542,0.06773899414062501,0.0828935185185185,0.22289351851851852,-0.08,0.08,0.0572944157221594,0.0475927478444775,0.9678540252870438,0.34999998332580223,0.34999997715972003,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False
stress,2,10057,slack_oracle,22.0,0.21039736875873868,0.046468734728647265,1.082067913123766,0.15568587105624143,-0.001156257324218743,0.066604921875,0.08568587105624142,0.22568587105624144,-0.08,0.08,0.05471149770249725,0.04762499205286601,1.015462991248766,0.34999997897670077,0.3499999708307827,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False
stress,2,10057,slack_oracle,23.0,0.21055426435745023,0.046456150189684624,1.1285303561930116,0.15855024005486967,-0.0012000561523437536,0.065426669921875,0.08855024005486967,0.22855024005486968,-0.08,0.08,0.052004024302580554,0.04765620634202838,1.0631036862711365,0.34999997323116855,0.3499999620551504,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False
stress,2,10057,slack_oracle,24.0,0.21066874335091404,0.04644327122493309,1.1749800673549289,0.16148148148148148,-0.0012430932617187584,0.064205,0.09148148148148147,0.23148148148148148,-0.08,0.08,0.049187261869432564,0.047686364486651846,1.1107750673549288,0.3499999653484263,0.34999994901586834,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False
