time_s,altitude_m,velocity_mps,mach,density_kgm3,dynamic_pressure_pa,heating_proxy,alpha_ref_rad,theta_ref_rad,q_ref_radps,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,flap_min_rad,flap_max_rad,flap_rate_min_radps,flap_rate_max_radps,dynamic_pressure_limit_pa,heating_proxy_limit,dynamic_pressure_limit_exceeded,heating_proxy_limit_exceeded
0.0,82000.0,6200.0,21.012104371718653,4.996215512384398e-06,96.02726214802813,532715888.7548494,0.12,0.08,-1.5202636718752993e-05,0.04999999999999999,0.19,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
0.5,81998.8598022461,6199.7501458924335,21.01125760388222,4.99711390219752e-06,96.0367883497204,532699374.47973925,0.12002304098079561,0.07999239868164063,-3.0341796874999716e-05,0.0500230409807956,0.19002304098079562,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
1.0,81995.44873046875,6199.108143368448,21.00908182581111,4.999802534083551e-06,96.0685602298398,532677146.0051449,0.12009173525377229,0.079969658203125,-6.052490234374763e-05,0.05009173525377228,0.1900917352537723,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
1.5,81989.78106689453,6198.124722339112,21.005748963664374,5.004273027224553e-06,96.12395309365006,532661651.7826512,0.12020543981481481,0.07993187377929688,-9.05175781250045e-05,0.0502054398148148,0.1902054398148148,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
2.0,81981.87109375,6196.824988604601,21.00134410223131,5.010518873880362e-06,96.20356559270985,532658723.51752466,0.12036351165980795,0.079879140625,-0.00012031982421875642,0.050363511659807944,0.19036351165980797,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
2.5,81971.73309326172,6195.226102903411,20.995925400097143,5.018535407764194e-06,96.30776829967738,532672136.31094635,0.12056530778463648,0.07981155395507812,-0.00014993164062498954,0.05056530778463647,0.19056530778463648,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
3.0,81959.38134765625,6193.341204448907,20.98953738670099,5.028319775768938e-06,96.436825736233,532704622.1428331,0.12081018518518519,0.07972920898437501,-0.00017935302734374547,0.05081018518518518,0.1908101851851852,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
3.5,81944.83013916016,6191.180999058791,20.98221634458463,5.03987091292665e-06,96.59094585065694,532758280.8522225,0.12109750085733882,0.07963220092773438,-0.00020858398437501036,0.051097500857338815,0.19109750085733884,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
4.0,81928.09375,6188.754562618874,20.973993032370615,5.053189520492585e-06,96.77030507346042,532834788.52861345,0.12142661179698216,0.079520625,-0.00023762451171874255,0.05142661179698216,0.19142661179698217,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
4.5,81909.18646240234,6186.0698038826085,20.964894253212666,5.068278047054289e-06,96.97506275051083,532935517.86039495,0.121796875,0.07939457641601563,-0.00026647460937499756,0.05179687499999999,0.191796875,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
5.0,81888.12255859375,6183.133755185188,20.95494384003998,5.08514067257363e-06,97.20537020188468,533061613.9527717,0.1222076474622771,0.079254150390625,-0.0002951342773437615,0.05220764746227709,0.1922076474622771,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
5.5,81864.91632080078,6179.952766846162,20.944163314397265,5.1037832952778685e-06,97.46137677008852,533214045.1853147,0.12265828617969822,0.07909944213867187,-0.0003236035156249928,0.05265828617969821,0.1926582861796982,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
6.0,81839.58203125,6176.532643486048,20.932572348428415,5.124213521322995e-06,97.74323405265748,533393638.9887972,0.12314814814814815,0.07893054687500001,-0.0003518823242187469,0.05314814814814814,0.19314814814814815,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
6.5,81812.13397216797,6172.878743248417,20.920189101145034,5.1464406571593675e-06,98.05109897695385,533601107.9713522,0.12367659036351165,0.07874755981445312,-0.0003799707031250099,0.05367659036351165,0.19367659036351165,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
7.0,81782.58642578125,6168.996052234287,20.907030470688255,5.1704757045365825e-06,98.38513610383856,533837069.5806222,0.12424296982167352,0.078550576171875,-0.00040786865234375413,0.05424296982167351,0.19424296982167352,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
7.5,81750.9536743164,6164.88924175046,20.893112288346153,5.196331358090337e-06,98.74551939969545,534102061.2724425,0.12484664351851851,0.07833969116210937,-0.0004355761718749934,0.054846643518518506,0.19484664351851852,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
8.0,81717.25,6160.562713271744,20.878449470932924,5.224022005460469e-06,99.13243363161222,534396552.45789456,0.1254869684499314,0.078115,-0.00046309326171874166,0.055486968449931395,0.1954869684499314,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
8.5,81681.4896850586,6156.020634389981,20.86305614262193,5.253563729894771e-06,99.54607548940484,534720954.0794595,0.12616330161179698,0.07787659790039063,-0.0004904199218749988,0.05616330161179697,0.196163301611797,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
9.0,81643.68701171875,6151.266968002932,20.84694573386822,5.2849743152987175e-06,99.98665450606008,535075626.4028453,0.126875,0.077624580078125,-0.0005175561523437511,0.05687499999999998,0.196875,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
