scenario_id,tier,seed,controller,time_s,alpha_rad,q_radps,theta_rad,measured_alpha_rad,measured_q_radps,measured_theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,alpha_error_rad,q_error_rad,theta_error_rad,solver_status,solve_time_s,solver_failure,policy_inference_time_s,policy_delta_flap_raw_rad,optimized_delta_flap_raw_rad,policy_mpc_command_gap_rad,actuator_tau_prediction_s,objective_value,predicted_min_alpha_margin_rad,predicted_max_alpha_slack_rad,predicted_max_q_slack_radps,pitching_moment_nm,cm,flap_effectiveness,delta_flap_raw_rad,delta_flap_delayed_rad,delta_flap_lagged_rad,delta_flap_rad,delta_flap_rate_radps,flap_saturated,flap_rate_saturated,altitude_m,velocity_mps,mach,density_kgm3,dynamic_pressure_pa,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,actuator_lag_s,actuator_delay_s,sensor_noise_alpha_rad,sensor_noise_q_radps,sensor_noise_theta_rad,initial_alpha_error_rad,initial_q_error_radps,initial_theta_error_rad,external_disturbance_moment_nm,corridor_violation
17,stress,10072,hybrid_blended_slack_mpc,0.0,0.1110788181405597,0.02359468697061247,0.08468626758900423,0.11300493747530095,0.020778728916015517,0.0864059887104795,0.12,-1.5202636718752993e-05,0.08,0.04999999999999999,0.19,-0.08,0.08,-0.008921181859440297,0.023609889607331222,0.004686267589004228,Solve_Succeeded,0.02488379192072898,False,3.587489482015371e-05,-0.35,-0.11379280268974001,0.11810359865512998,0.7588030678522094,4.863701672015488,0.04625042318499879,1.3429841686587721e-09,9.068232541955048e-09,71.5428740479254,-0.030137064210814715,0.4015798869488264,-0.23189640134487,0.0,0.0,0.0,0.0,False,False,82000.0,6200.0,21.012104371718653,4.3743341374755694e-06,84.07470212228044,0.8755295136153882,1.1674382533539729,0.601755866814456,0.8705304857647,0.5088030678522094,0.5,0.00316924769798907,0.0030747975409321235,0.004035004019839749,-0.008921181859440304,0.023609889607331222,0.004686267589004223,136.40725027485112,False
17,stress,10072,hybrid_blended_slack_mpc,0.5,0.11068018385642106,0.023596121612434507,0.09648396942482619,0.10952814139198834,0.01514149067775977,0.09996509312365871,0.12002304098079561,-3.0341796874999716e-05,0.07999239868164063,0.0500230409807956,0.19002304098079562,-0.08,0.08,-0.009342857124374548,0.023626463409309507,0.016491570743185566,held,0.0,False,3.812497016042471e-05,-0.35,-0.11379280268974001,0.11810359865512998,0.7588030678522094,4.863701672015488,0.04625042318499879,1.3429841686587721e-09,9.068232541955048e-09,85.01774253539324,-0.023874048609170355,0.40159248685423254,-0.23189640134487,-0.23189640134487,-0.14509764890462795,-0.09,-0.18,False,True,81998.8598022461,6199.7501458924335,21.01125760388222,4.37512070427169e-06,84.08304259301468,0.8755295136153882,1.1674382533539729,0.601755866814456,0.8705304857647,0.5088030678522094,0.5,0.00316924769798907,0.0030747975409321235,0.004035004019839749,-0.008921181859440304,0.023609889607331222,0.004686267589004223,136.40725027485112,False
17,stress,10072,hybrid_blended_slack_mpc,1.0,0.11032381778619535,0.023597825350971078,0.10828245588857688,0.11288511047972155,0.01858746442232159,0.11180908103512029,0.12009173525377229,-6.052490234374763e-05,0.079969658203125,0.05009173525377228,0.1900917352537723,-0.08,0.08,-0.009767917467576936,0.023658350253314826,0.028312797685451876,Solve_Succeeded,0.024000167031772435,False,2.7582980692386627e-05,-0.35,-0.25544460095093974,0.04727769952453009,0.7588030678522094,7.739503071792515,0.037837149957103994,2.1244334009230944e-09,1.1354985900556094e-08,98.45108992732376,-0.01762748017192363,0.40162486243193063,-0.3027223004754699,-0.23189640134487,-0.19940765472573627,-0.18,-0.18,False,True,81995.44873046875,6199.108143368448,21.00908182581111,4.377474680839157e-06,84.11085981176227,0.8755295136153882,1.1674382533539729,0.601755866814456,0.8705304857647,0.5088030678522094,0.5,0.00316924769798907,0.0030747975409321235,0.004035004019839749,-0.008921181859440304,0.023609889607331222,0.004686267589004223,136.40725027485112,False
17,stress,10072,hybrid_blended_slack_mpc,1.5,0.11000544424899596,0.023599797396959995,0.12008186132792606,0.11168434601732456,0.030797133580691007,0.12190378932684295,0.12020543981481481,-9.05175781250045e-05,0.07993187377929688,0.0502054398148148,0.1902054398148148,-0.08,0.08,-0.010199995565818853,0.023690314975085,0.04014998754862918,held,0.0,False,0.00011945900041610003,-0.17301164789377033,-0.25544460095093974,-0.12971065258169956,0.7588030678522094,7.739503071792515,0.037837149957103994,2.1244334009230944e-09,1.1354985900556094e-08,110.98994808073006,-0.011797420889913458,0.4016744554206741,-0.3027223004754699,-0.3027223004754699,-0.2640516600175954,-0.2640516600175954,-0.1681033200351908,False,False,81989.78106689453,6198.124722339112,21.005748963664374,4.381388729524519e-06,84.15935789887183,0.8755295136153882,1.1674382533539729,0.601755866814456,0.8705304857647,0.5088030678522094,0.5,0.00316924769798907,0.0030747975409321235,0.004035004019839749,-0.008921181859440304,0.023609889607331222,0.004686267589004223,136.40725027485112,False
17,stress,10072,hybrid_blended_slack_mpc,2.0,0.10972122845619432,0.02360201989742651,0.1318823154303396,0.1115226129584001,0.025246341573731568,0.13434873178862072,0.12036351165980795,-0.00012031982421875642,0.079879140625,0.050363511659807944,0.19036351165980797,-0.08,0.08,-0.010642283203613628,0.023722339721645266,0.0520031748053396,Solve_Succeeded,0.02367979194968939,False,3.616698086261749e-05,-0.34635093033104586,-0.2781295954849866,0.03411066742302965,0.7588030678522094,2.6276371914744625,0.05841156294992611,1.0291854122721256e-09,7.83201258295169e-09,114.77836351349944,-0.010030723115873857,0.4017399997587981,-0.3122402629080162,-0.3027223004754699,-0.28824789152240954,-0.28824789152240954,-0.048392463009628295,False,False,81981.87109375,6196.824988604601,21.00134410223131,4.386857152609196e-06,84.22906099145135,0.8755295136153882,1.1674382533539729,0.601755866814456,0.8705304857647,0.5088030678522094,0.5,0.00316924769798907,0.0030747975409321235,0.004035004019839749,-0.008921181859440304,0.023609889607331222,0.004686267589004223,136.40725027485112,False
17,stress,10072,hybrid_blended_slack_mpc,2.5,0.10946768873997656,0.023604317876704785,0.1436838996764105,0.11207387586511912,0.024820580819819006,0.13881615845893294,0.12056530778463648,-0.00014993164062498954,0.07981155395507812,0.05056530778463647,0.19056530778463648,-0.08,0.08,-0.011097619044659918,0.023754249517329774,0.06387234572133237,held,0.0,False,4.070799332112074e-05,-0.35,-0.2781295954849866,0.03775973709198377,0.7588030678522094,2.6276371914744625,0.05841156294992611,1.0291854122721256e-09,7.83201258295169e-09,117.20191093877708,-0.00889712946134346,0.4018206300465545,-0.3122402629080162,-0.3122402629080162,-0.3032599256010281,-0.3032599256010281,-0.030024068157237127,False,False,81971.73309326172,6195.226102903411,20.995925400097143,4.3938758646213885e-06,84.32029353680004,0.8755295136153882,1.1674382533539729,0.601755866814456,0.8705304857647,0.5088030678522094,0.5,0.00316924769798907,0.0030747975409321235,0.004035004019839749,-0.008921181859440304,0.023609889607331222,0.004686267589004223,136.40725027485112,False
17,stress,10072,hybrid_blended_slack_mpc,3.0,0.10924165886602717,0.023606664067609796,0.1554866449862747,0.11117896705639718,0.02793173603673408,0.15027538425062914,0.12081018518518519,-0.00017935302734374547,0.07972920898437501,0.05081018518518518,0.1908101851851852,-0.08,0.08,-0.011568526319158015,0.02378601709495354,0.0757574360018997,Solve_Succeeded,0.02363224991131574,False,2.574990503489971e-05,-0.27893761410711837,-0.2611973301825885,0.008870141962264932,0.7588030678522094,2.1648647161635592,0.060368781871212,1.0161070532581226e-09,7.802706110157802e-09,118.22967034699217,-0.00840973672890977,0.40191568368588926,-0.27006747214485344,-0.3122402629080162,-0.30887892538738815,-0.30887892538738815,-0.011237999572720092,False,False,81959.38134765625,6193.341204448907,20.98953738670099,4.4024423675816165e-06,84.43328713145604,0.8755295136153882,1.1674382533539729,0.601755866814456,0.8705304857647,0.5088030678522094,0.5,0.00316924769798907,0.0030747975409321235,0.004035004019839749,-0.008921181859440304,0.023609889607331222,0.004686267589004223,136.40725027485112,False
17,stress,10072,hybrid_blended_slack_mpc,3.5,0.10904028935307013,0.023609030581445648,0.16729056849135282,0.11335190090346342,0.022224829912267922,0.16818086850733877,0.12109750085733882,-0.00020858398437501036,0.07963220092773438,0.051097500857338815,0.19109750085733884,-0.08,0.08,-0.012057211504268694,0.02381761456582066,0.08765836756361844,held,0.0,False,3.245903644710779e-05,-0.35,-0.2611973301825885,0.07993252785514654,0.7588030678522094,2.1648647161635592,0.060368781871212,1.0161070532581226e-09,7.802706110157802e-09,114.85066828664205,-0.009957096716431042,0.40202462079258067,-0.27006747214485344,-0.27006747214485344,-0.28459458728035236,-0.28459458728035236,0.04856867621407157,False,False,81944.83013916016,6191.180999058791,20.98221634458463,4.412555729079013e-06,84.56822384027596,0.8755295136153882,1.1674382533539729,0.601755866814456,0.8705304857647,0.5088030678522094,0.5,0.00316924769798907,0.0030747975409321235,0.004035004019839749,-0.008921181859440304,0.023609889607331222,0.004686267589004223,136.40725027485112,False
17,stress,10072,hybrid_blended_slack_mpc,4.0,0.10886099981490191,0.023611329307368728,0.1790956583233963,0.10872161601055012,0.023154629906539357,0.1781680200023715,0.12142661179698216,-0.00023762451171874255,0.079520625,0.05142661179698216,0.19142661179698217,-0.08,0.08,-0.012565611982080255,0.02384895381908747,0.0995750333233963,Solve_Succeeded,0.02255379199050367,False,2.645899076014757e-05,-0.35,-0.27050829725705805,0.039745851371470964,0.7588030678522094,5.290465040455294,0.047783588555362466,1.0327401053532494e-09,7.8317234382536e-09,113.6674243946151,-0.010484175180066672,0.40214698367832524,-0.310254148628529,-0.27006747214485344,-0.2755049669184003,-0.2755049669184003,0.01817924072390409,False,False,81928.09375,6188.754562618874,20.973993032370615,4.42421656308325e-06,84.72525813337954,0.8755295136153882,1.1674382533539729,0.601755866814456,0.8705304857647,0.5088030678522094,0.5,0.00316924769798907,0.0030747975409321235,0.004035004019839749,-0.008921181859440304,0.023609889607331222,0.004686267589004223,136.40725027485112,False
17,stress,10072,hybrid_blended_slack_mpc,4.5,0.1087014687693995,0.023613604182509462,0.19090189157093446,0.10969097481763182,0.0214304636562852,0.18883182624093625,0.121796875,-0.00026647460937499756,0.07939457641601563,0.05179687499999999,0.191796875,-0.08,0.08,-0.013095406230600501,0.02388007879188446,0.11150731515491882,held,0.0,False,3.0249939300119877e-05,-0.35,-0.27050829725705805,0.039745851371470964,0.7588030678522094,5.290465040455294,0.047783588555362466,1.0327401053532494e-09,7.8317234382536e-09,116.99913804548103,-0.008929198338663347,0.40228237351219553,-0.310254148628529,-0.310254148628529,-0.2972475404911614,-0.2972475404911614,-0.04348514714552221,False,False,81909.18646240234,6186.0698038826085,20.964894253212666,4.4374270134049916e-06,84.9045295227765,0.8755295136153882,1.1674382533539729,0.601755866814456,0.8705304857647,0.5088030678522094,0.5,0.00316924769798907,0.0030747975409321235,0.004035004019839749,-0.008921181859440304,0.023609889607331222,0.004686267589004223,136.40725027485112,False
17,stress,10072,hybrid_blended_slack_mpc,5.0,0.10855964853878494,0.023615945525375954,0.2027092788866228,0.11010923300189313,0.022062963067739312,0.20600748966309537,0.1222076474622771,-0.0002951342773437615,0.079254150390625,0.05220764746227709,0.1922076474622771,-0.08,0.08,-0.013647998923492152,0.023911079802719715,0.1234551284959978,Solve_Succeeded,0.023319458006881177,False,3.483390901237726e-05,-0.35,-0.29777118393841456,0.02611440803079268,0.7588030678522094,6.769629912661678,0.042859876613106834,1.016299062751614e-09,7.814264927420724e-09,118.31924293815209,-0.008302133470362683,0.4024304356602051,-0.3238855919692073,-0.310254148628529,-0.3053857791615805,-0.3053857791615805,-0.016276477340838147,False,False,81888.12255859375,6183.133755185188,20.95494384003998,4.452190739724218e-06,85.10617049365985,0.8755295136153882,1.1674382533539729,0.601755866814456,0.8705304857647,0.5088030678522094,0.5,0.00316924769798907,0.0030747975409321235,0.004035004019839749,-0.008921181859440304,0.023609889607331222,0.004686267589004223,136.40725027485112,False
17,stress,10072,hybrid_blended_slack_mpc,5.5,0.1084337160376232,0.023618313120888912,0.21451784344915145,0.10781677129314428,0.017654570319281877,0.21653334301895386,0.12265828617969822,-0.0003236035156249928,0.07909944213867187,0.05265828617969821,0.1926582861796982,-0.08,0.08,-0.014224570142075024,0.023941916636513905,0.13541840131047958,held,0.0,False,3.0499999411404133e-05,-0.35,-0.29777118393841456,0.02611440803079268,0.7588030678522094,6.769629912661678,0.042859876613106834,1.016299062751614e-09,7.814264927420724e-09,120.13914324828161,-0.0074472121022631545,0.40259084988176863,-0.3238855919692073,-0.3238855919692073,-0.31696111766616725,-0.31696111766616725,-0.023150677009173504,False,False,81864.91632080078,6179.952766846162,20.944163314397265,4.468512906112975e-06,85.3303117998017,0.8755295136153882,1.1674382533539729,0.601755866814456,0.8705304857647,0.5088030678522094,0.5,0.00316924769798907,0.0030747975409321235,0.004035004019839749,-0.008921181859440304,0.023609889607331222,0.004686267589004223,136.40725027485112,False
