tier,scenario_id,seed,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,actuator_lag_s,actuator_delay_s,sensor_noise_alpha_rad,sensor_noise_q_radps,sensor_noise_theta_rad,initial_alpha_error_rad,initial_q_error_radps,initial_theta_error_rad,external_disturbance_moment_nm,controller,rms_alpha_error_rad,max_alpha_error_rad,rms_pitch_rate_error_radps,control_effort_abs_rad_s,flap_saturation_fraction,flap_rate_saturation_fraction,alpha_violation_count,pitch_rate_violation_count,solver_failure,unstable_response,failure_label,trajectory_csv,metrics_json,residual_checkpoint,residual_gain
moderate,0,55,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,0.17246008473590804,0.5,0.002112697278039903,0.001420628984150504,0.00020335583094168374,-0.03526714350779047,0.043317852661921875,0.00407667571118842,-2288.5715472335214,learned_residual_nmpc,0.0713677243056359,0.11385083987893854,0.03728087748613331,48.82333183407482,0.0,0.14018691588785046,123,0,False,False,alpha_corridor_violation,outputs/phase10_learned_residual_mpc/moderate/scenario_000/trajectory.csv,outputs/phase10_learned_residual_mpc/moderate/scenario_000/metrics.json,outputs/phase9_residual_model/residual_model_checkpoint.pt,1.0
moderate,1,56,1.067837814989062,0.8550708443435929,1.1923204271077104,1.08984168484952,0.19047425565328424,0.0,0.001819893511792798,0.0005389072581292835,0.0017670007129131713,-0.042169232542380676,0.037161912636399425,0.003739433990046943,1888.1114567916945,learned_residual_nmpc,0.05164121178744453,0.08805235659773036,0.04023133614239382,47.852266052738685,0.0,0.09345794392523364,65,0,False,False,alpha_corridor_violation,outputs/phase10_learned_residual_mpc/moderate/scenario_001/trajectory.csv,outputs/phase10_learned_residual_mpc/moderate/scenario_001/metrics.json,outputs/phase9_residual_model/residual_model_checkpoint.pt,1.0
moderate,2,57,1.0552500109466625,0.9904935904652705,1.1364934679007512,0.9361279231434767,0.13783755517640428,0.5,0.0012876544132459234,0.0010895091536253408,0.0008726206962965641,-0.03988767505303118,0.0403012765601704,-0.0006989770439637954,2243.631407086245,learned_residual_nmpc,0.04367694682668845,0.0709590059290896,0.042899331473067695,49.56244899726351,0.0,0.08411214953271028,0,0,False,False,success,outputs/phase10_learned_residual_mpc/moderate/scenario_002/trajectory.csv,outputs/phase10_learned_residual_mpc/moderate/scenario_002/metrics.json,outputs/phase9_residual_model/residual_model_checkpoint.pt,1.0
moderate,3,58,0.9427035401698733,1.1139500827692312,0.8972365808628847,0.8833681862461437,0.2960345266189571,1.0,0.0009159976169144701,0.00020772178158287347,0.001579716448980541,-0.02224949176908563,0.04723591983330609,-0.009198019703474421,2252.732574594433,learned_residual_nmpc,0.036806626067219725,0.07746894545255864,0.048240434824263996,51.24320267663826,0.0,0.0529595015576324,21,0,False,False,alpha_corridor_violation,outputs/phase10_learned_residual_mpc/moderate/scenario_003/trajectory.csv,outputs/phase10_learned_residual_mpc/moderate/scenario_003/metrics.json,outputs/phase9_residual_model/residual_model_checkpoint.pt,1.0
moderate,4,59,1.0263241475999092,1.0978198504596506,0.8467775120989001,0.9509718434702744,0.06519182255015281,0.0,1.745874008911086e-05,0.0014589760408944903,0.00031099084968804126,-0.02196446416086214,0.04507563176598882,0.008256747261127528,-1953.0550355784214,learned_residual_nmpc,0.06479531363067381,0.10183093922914374,0.03921921591352631,49.46803087122345,0.0,0.12461059190031153,103,0,False,False,alpha_corridor_violation,outputs/phase10_learned_residual_mpc/moderate/scenario_004/trajectory.csv,outputs/phase10_learned_residual_mpc/moderate/scenario_004/metrics.json,outputs/phase9_residual_model/residual_model_checkpoint.pt,1.0
moderate,5,60,0.9472851438103829,0.8581439175685014,0.8218883549768894,1.1961966085206186,0.3021514856561525,1.0,0.002904553797721493,0.0014873038666191403,0.0011797634968893586,-0.040412614765709766,0.050130858041308214,-0.01917497838311747,339.20421081160555,learned_residual_nmpc,0.042502574723153386,0.08584403491522419,0.04727024483706211,50.46811853711088,0.0,0.08722741433021806,31,0,False,False,alpha_corridor_violation,outputs/phase10_learned_residual_mpc/moderate/scenario_005/trajectory.csv,outputs/phase10_learned_residual_mpc/moderate/scenario_005/metrics.json,outputs/phase9_residual_model/residual_model_checkpoint.pt,1.0
moderate,6,61,0.9623122848632923,1.08158068545768,1.068457241400226,1.0836619346162633,0.15181347760620825,1.0,0.002994278568569675,0.0014215992020767117,0.0005768931239277049,-0.029436407225376708,0.04991251707174247,0.004186027688699627,365.6368989117598,learned_residual_nmpc,0.045925011138886584,0.0855452132844729,0.04632401512471846,50.91655051005775,0.0,0.09968847352024922,30,0,False,False,alpha_corridor_violation,outputs/phase10_learned_residual_mpc/moderate/scenario_006/trajectory.csv,outputs/phase10_learned_residual_mpc/moderate/scenario_006/metrics.json,outputs/phase9_residual_model/residual_model_checkpoint.pt,1.0
moderate,7,62,1.0327960500573494,1.0743319912045537,1.112278953735189,0.9151421317114131,0.24263274437772925,0.5,0.0015409049665688031,0.001310924831518817,0.0024801614615146002,-0.042927603471438924,0.053090159356097025,-0.0191536012615999,-1423.905416998581,learned_residual_nmpc,0.05354369071075895,0.0954819010909316,0.04547850274961607,45.70134251677261,0.0,0.12461059190031153,38,0,False,False,alpha_corridor_violation,outputs/phase10_learned_residual_mpc/moderate/scenario_007/trajectory.csv,outputs/phase10_learned_residual_mpc/moderate/scenario_007/metrics.json,outputs/phase9_residual_model/residual_model_checkpoint.pt,1.0
stress,0,10055,0.8378955015168319,0.8134079790400522,0.7897704751772718,0.6506121034875804,0.25618239868043924,1.5,0.00549036831476468,0.0016894853408081832,0.007680079439061039,-0.004471479429947158,0.06201083925618894,0.04666073176012917,-2194.1579157675574,learned_residual_nmpc,0.058321351566637876,0.13486154472275538,0.05157504550843318,51.749966420751136,0.0,0.04984423676012461,65,0,False,False,alpha_corridor_violation,outputs/phase10_learned_residual_mpc/stress/scenario_000/trajectory.csv,outputs/phase10_learned_residual_mpc/stress/scenario_000/metrics.json,outputs/phase9_residual_model/residual_model_checkpoint.pt,1.0
stress,1,10056,0.9303608946512464,0.8454174308359381,1.2293875720674339,0.6485713174581409,0.6573352173100183,1.0,0.003974919790454923,0.001090421166685319,0.006246505115645126,-0.06077663813443997,0.04369178412569492,0.011423261993863554,-68.50071747811049,learned_residual_nmpc,0.051603347509134,0.08260456889436713,0.04187855604968974,47.86636547210223,0.0,0.08411214953271028,55,0,False,False,alpha_corridor_violation,outputs/phase10_learned_residual_mpc/stress/scenario_001/trajectory.csv,outputs/phase10_learned_residual_mpc/stress/scenario_001/metrics.json,outputs/phase9_residual_model/residual_model_checkpoint.pt,1.0
stress,2,10057,0.8866800433930975,0.9276352786236607,0.7499245797839396,0.7309926130233437,0.2586107576985939,1.0,0.004478437066488493,0.0012923100994562892,0.005160534056958272,-0.041606195997913514,0.04669296781546167,-0.02284003464815019,6107.333239994104,learned_residual_nmpc,0.053873141267418864,0.08140724188903722,0.059216826830929686,55.482410417952195,0.0,0.009345794392523364,90,0,False,True,unstable_response,outputs/phase10_learned_residual_mpc/stress/scenario_002/trajectory.csv,outputs/phase10_learned_residual_mpc/stress/scenario_002/metrics.json,outputs/phase9_residual_model/residual_model_checkpoint.pt,1.0
stress,3,10058,0.8400348122237011,0.7368166561589482,1.098880145389692,0.9663426523519489,0.4807149936858969,1.5,0.007381684733804169,0.0039628751550082695,0.0015802535717956004,-0.027669301938465292,0.05848110963791403,0.030446402496627712,-2492.964583448316,learned_residual_nmpc,0.056681243154062824,0.11791709584898655,0.04824725185262578,45.70034319679095,0.0,0.22118380062305296,55,0,False,False,alpha_corridor_violation,outputs/phase10_learned_residual_mpc/stress/scenario_003/trajectory.csv,outputs/phase10_learned_residual_mpc/stress/scenario_003/metrics.json,outputs/phase9_residual_model/residual_model_checkpoint.pt,1.0
stress,4,10059,0.8509073964985324,1.2873305783786486,0.9606049484890203,1.0118767760127751,0.5166991460718621,0.5,0.006164815211880045,0.0011326046514041968,0.004759177439206194,-0.01840710398592175,0.042661375658847187,-0.003392551809463007,821.4320826283194,learned_residual_nmpc,0.049968494005035245,0.07849289740072579,0.04201888539239116,49.172572864743174,0.0,0.09034267912772585,45,0,False,False,alpha_corridor_violation,outputs/phase10_learned_residual_mpc/stress/scenario_004/trajectory.csv,outputs/phase10_learned_residual_mpc/stress/scenario_004/metrics.json,outputs/phase9_residual_model/residual_model_checkpoint.pt,1.0
stress,5,10060,0.9630926665140382,1.1606808963757862,1.2216221031121512,0.9657950551141605,0.3224799759664272,1.0,0.006069995815700608,0.0016087017017584922,0.0017684969281546899,-0.05160326416450517,0.051596152396489146,0.014929206449208754,-769.1851361540372,learned_residual_nmpc,0.051126106386054464,0.08960830603120565,0.045423762360689166,47.07892942056307,0.0,0.1526479750778816,33,0,False,False,alpha_corridor_violation,outputs/phase10_learned_residual_mpc/stress/scenario_005/trajectory.csv,outputs/phase10_learned_residual_mpc/stress/scenario_005/metrics.json,outputs/phase9_residual_model/residual_model_checkpoint.pt,1.0
stress,6,10061,1.0369246295704622,0.9031157990996579,1.1733945453004238,1.0846015290208744,0.26976703989394807,0.5,0.0021652652844114015,0.0020134855485208114,0.0073158945485747315,-0.020709418677945006,0.03373279835109744,0.021556087188663975,-4575.918643044272,learned_residual_nmpc,0.11863406378979165,0.1831957604110421,0.026553097440883695,51.012967079093755,0.0,0.08722741433021806,200,0,False,False,alpha_corridor_violation,outputs/phase10_learned_residual_mpc/stress/scenario_006/trajectory.csv,outputs/phase10_learned_residual_mpc/stress/scenario_006/metrics.json,outputs/phase9_residual_model/residual_model_checkpoint.pt,1.0
stress,7,10062,1.2089415706681728,1.0388272811690047,1.3554360679161346,1.3044208428948538,0.5192310882170614,0.5,0.0026701265000948606,0.0005495050286051618,0.003951881981624145,-0.02856479410371991,0.06863168780382735,0.03341671052271779,3459.989578338532,learned_residual_nmpc,0.09215910105028619,0.17179059261818147,0.06614594131258325,53.813650949790016,0.0,0.03426791277258567,147,0,False,True,unstable_response,outputs/phase10_learned_residual_mpc/stress/scenario_007/trajectory.csv,outputs/phase10_learned_residual_mpc/stress/scenario_007/metrics.json,outputs/phase9_residual_model/residual_model_checkpoint.pt,1.0
