tier,scenario_id,seed,controller,time_s,alpha_rad,q_radps,theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,alpha_error_rad,q_error_rad,theta_error_rad,mach,altitude_m,velocity_mps,dynamic_pressure_pa,delta_flap_rad,delta_flap_raw_rad,delta_flap_rate_radps,flap_saturated,flap_rate_saturated,solver_status,solve_time_s,solver_failure,actuator_tau_prediction_s,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,external_disturbance_moment_nm,corridor_violation
moderate,27,82,truth_consistent_slack_oracle,0.0,0.07434415353623311,0.04689784075873361,0.0743818325151864,0.12,-1.5202636718752993e-05,0.08,0.04999999999999999,0.19,-0.08,0.08,-0.045655846463766886,0.04691304339545236,-0.005618167484813599,21.012104371718653,82000.0,6200.0,110.36332822712338,0.0,0.18000000998601884,0.0,False,False,oracle_solution,0.0,False,0.6430061431699842,1.1492916257155794,1.1064363846779492,0.8870745597343758,1.1920581651836084,1813.3132180288903,False
moderate,27,82,truth_consistent_slack_oracle,1.0,0.10179204754851046,0.04696719098919088,0.12131467296541926,0.12009173525377229,-6.052490234374763e-05,0.079969658203125,0.05009173525377228,0.1900917352537723,-0.08,0.08,-0.01829968770526183,0.04702771589153463,0.041345014762294255,21.00908182581111,81995.44873046875,6199.108143368448,110.41079176670765,0.13122824467310476,0.35000000998575026,0.0,False,False,oracle_solution,0.0,False,0.6430061431699842,1.1492916257155794,1.1064363846779492,0.8870745597343758,1.1920581651836084,1813.3132180288903,False
moderate,27,82,truth_consistent_slack_oracle,2.0,0.12388055620770469,0.047033677728179756,0.1683154580108741,0.12036351165980795,-0.00012031982421875642,0.079879140625,0.050363511659807944,0.19036351165980797,-0.08,0.08,0.003517044547896739,0.04715399755239851,0.08843631738587411,21.00134410223131,81981.87109375,6196.824988604601,110.56595229968089,0.29072287330254104,0.3500000099854232,0.0,False,False,oracle_solution,0.0,False,0.6430061431699842,1.1492916257155794,1.1064363846779492,0.8870745597343758,1.1920581651836084,1813.3132180288903,False
moderate,27,82,truth_consistent_slack_oracle,3.0,0.1416657423580099,0.0470983843109977,0.21538163031922147,0.12081018518518519,-0.00017935302734374547,0.07972920898437501,0.05081018518518518,0.1908101851851852,-0.08,0.08,0.020855557172824724,0.047277737338341445,0.13565242133484645,20.98953738670099,81959.38134765625,6193.341204448907,110.83403622924526,0.33393861866136926,0.35000000998499214,0.0,False,False,oracle_solution,0.0,False,0.6430061431699842,1.1492916257155794,1.1064363846779492,0.8870745597343758,1.1920581651836084,1813.3132180288903,False
moderate,27,82,truth_consistent_slack_oracle,4.0,0.15599631793061464,0.04716209372417195,0.2625119449738168,0.12142661179698216,-0.00023762451171874255,0.079520625,0.05142661179698216,0.19142661179698217,-0.08,0.08,0.03456970613363247,0.04739971823589069,0.1829913199738168,20.973993032370615,81928.09375,6188.754562618874,111.21730123886991,0.3456481079584564,0.35000000998441644,0.0,False,False,oracle_solution,0.0,False,0.6430061431699842,1.1492916257155794,1.1064363846779492,0.8870745597343758,1.1920581651836084,1813.3132180288903,False
moderate,27,82,truth_consistent_slack_oracle,5.0,0.16755377212050307,0.047225104498686866,0.3097055948068764,0.1222076474622771,-0.0002951342773437615,0.079254150390625,0.05220764746227709,0.1922076474622771,-0.08,0.08,0.045346124658225975,0.04752023877603063,0.23045144441625143,20.95494384003998,81888.12255859375,6183.133755185188,111.71731794760878,0.3488208436927512,0.350000009983624,0.0,False,False,oracle_solution,0.0,False,0.6430061431699842,1.1492916257155794,1.1064363846779492,0.8870745597343758,1.1920581651836084,1813.3132180288903,False
moderate,27,82,truth_consistent_slack_oracle,6.0,0.1768851863464861,0.04728756450434546,0.35696196757555015,0.12314814814814815,-0.0003518823242187469,0.07893054687500001,0.05314814814814814,0.19314814814814815,-0.08,0.08,0.053737038198337944,0.047639446828564205,0.27803142070055015,20.932572348428415,81839.58203125,6176.532643486048,112.3354803670771,0.34968050988133065,0.3500000099824948,0.0,False,False,oracle_solution,0.0,False,0.6430061431699842,1.1492916257155794,1.1064363846779492,0.8870745597343758,1.1920581651836084,1813.3132180288903,False
moderate,27,82,truth_consistent_slack_oracle,7.0,0.18442970490707092,0.047349565313586264,0.4042805628035992,0.12424296982167352,-0.00040786865234375413,0.078550576171875,0.05424296982167351,0.19424296982167352,-0.08,0.08,0.0601867350853974,0.04775743396593002,0.3257299866317242,20.907030470688255,81782.58642578125,6168.996052234287,113.07321301902917,0.34991344007645625,0.350000009980815,0.0,False,False,oracle_solution,0.0,False,0.6430061431699842,1.1492916257155794,1.1064363846779492,0.8870745597343758,1.1920581651836084,1813.3132180288903,False
moderate,27,82,truth_consistent_slack_oracle,8.0,0.1905398182571296,0.047411170902827184,0.4516609554041911,0.1254869684499314,-0.00046309326171874166,0.078115,0.055486968449931395,0.1954869684499314,-0.08,0.08,0.0650528498071982,0.047874264164545925,0.3735459554041911,20.878449470932924,81717.25,6160.562713271744,113.93207580961739,0.34997655349845774,0.35000000997817254,0.0,False,False,oracle_solution,0.0,False,0.6430061431699842,1.1492916257155794,1.1064363846779492,0.8870745597343758,1.1920581651836084,1813.3132180288903,False
moderate,27,82,truth_consistent_slack_oracle,9.0,0.19549845664733087,0.04747242790289398,0.49910277476708487,0.126875,-0.0005175561523437511,0.077624580078125,0.05687499999999998,0.196875,-0.08,0.08,0.06862345664733088,0.04798998405523773,0.42147819468895986,20.84694573386822,81643.68701171875,6151.266968002932,114.91382470713175,0.3499936543456156,0.35000000997372244,0.0,False,False,oracle_solution,0.0,False,0.6430061431699842,1.1492916257155794,1.1064363846779492,0.8870745597343758,1.1920581651836084,1813.3132180288903,False
