controller,horizon_steps,control_frequency_hz,warm_start,sample_count,mean_solve_time_ms,median_solve_time_ms,p95_solve_time_ms,max_solve_time_ms,mean_nn_inference_time_ms,mean_total_loop_time_ms,median_total_loop_time_ms,p95_total_loop_time_ms,max_total_loop_time_ms,solver_failure_rate,budget_10hz_ms,budget_20hz_ms,budget_50hz_ms,meets_10hz_budget_p95,meets_20hz_budget_p95,meets_50hz_budget_p95,success_rate,performance_source
gain_scheduled_lqr,5,10.0,False,5,0.005641626194119453,0.004083034582436085,0.011042028199881313,0.01266703475266695,0.0,0.38939983351156116,0.3802500432357192,0.4150664433836937,0.4219580441713333,0.0,100.0,50.0,20.0,True,True,True,0.0,phase5_monte_carlo
gain_scheduled_lqr,5,20.0,False,5,0.005691801197826862,0.004582980182021856,0.009984010830521582,0.011334021110087633,0.0,0.36747498670592904,0.3625829704105854,0.3834081697277725,0.38845796370878816,0.0,100.0,50.0,20.0,True,True,True,0.0,phase5_monte_carlo
gain_scheduled_lqr,5,50.0,False,5,0.009624799713492393,0.011000025551766157,0.015058193821460009,0.01575000351294875,0.0,0.43503340566530824,0.4021250060759485,0.5617254180833697,0.5995840183459222,0.0,100.0,50.0,20.0,True,True,True,0.0,phase5_monte_carlo
gain_scheduled_lqr,10,10.0,False,5,0.007908185943961143,0.00462500611320138,0.014924397692084312,0.015666009858250618,0.0,0.38443361409008503,0.3696670173667371,0.4317506216466427,0.44470903230831027,0.0,100.0,50.0,20.0,True,True,True,0.0,phase5_monte_carlo
gain_scheduled_lqr,10,20.0,False,5,0.005058408714830875,0.0038750004023313522,0.00923342304304242,0.010500021744519472,0.0,0.3674415987916291,0.36641600308939815,0.37321678828448057,0.3736669896170497,0.0,100.0,50.0,20.0,True,True,True,0.0,phase5_monte_carlo
gain_scheduled_lqr,10,50.0,False,5,0.006641587242484093,0.006999995093792677,0.010075012687593699,0.010750023648142815,0.0,0.38010861026123166,0.3658340428955853,0.4167918348684907,0.4255000385455787,0.0,100.0,50.0,20.0,True,True,True,0.0,phase5_monte_carlo
gain_scheduled_lqr,15,10.0,False,5,0.006825022865086794,0.004458008334040642,0.011125626042485237,0.011584023013710976,0.0,0.37300800904631615,0.372458016499877,0.38304959889501333,0.3849579952657223,0.0,100.0,50.0,20.0,True,True,True,0.0,phase5_monte_carlo
gain_scheduled_lqr,15,20.0,False,5,0.009874801617115736,0.009665964171290398,0.014883431140333414,0.01587503356859088,0.0,0.4001583787612617,0.39070798084139824,0.42515837121754885,0.4309999640099704,0.0,100.0,50.0,20.0,True,True,True,0.0,phase5_monte_carlo
gain_scheduled_lqr,15,50.0,False,5,0.005333195440471172,0.0036249984987080097,0.01022517681121826,0.011666968930512667,0.0,0.36826678551733494,0.36987499333918095,0.37274998612701893,0.37299998803064227,0.0,100.0,50.0,20.0,True,True,True,0.0,phase5_monte_carlo
nominal_nmpc,5,10.0,False,5,21.077991800848395,16.653958009555936,33.74005821533501,37.70795802120119,0.0,40.56765821296722,32.968125015031546,55.736650025937706,57.985750027000904,0.0,100.0,50.0,20.0,True,False,False,0.1,phase12_learning_augmented_mpc
nominal_nmpc,5,20.0,False,5,16.475333424750715,16.950667020864785,17.055874620564282,17.075041017960757,0.0,32.28877461515367,32.523166039027274,33.25082460651174,33.34920800989494,0.0,100.0,50.0,20.0,True,True,False,0.1,phase12_learning_augmented_mpc
nominal_nmpc,5,50.0,False,5,16.55452500563115,16.17729099234566,18.497883598320186,18.846541992388666,0.0,32.672649796586484,32.30704099405557,34.42315838765353,34.70562497386709,0.0,100.0,50.0,20.0,True,True,False,0.1,phase12_learning_augmented_mpc
nominal_nmpc,10,10.0,False,5,29.074333410244435,29.23037501750514,29.50799179961905,29.544749995693564,0.0,58.52656642673537,58.55504103237763,60.129066405352205,60.30170799931511,0.0,100.0,50.0,20.0,True,False,False,0.1,phase12_learning_augmented_mpc
nominal_nmpc,10,20.0,False,5,28.21934139356017,28.91487500164658,29.540491569787264,29.56324996193871,0.0,57.12556679500267,57.552959013264626,58.87251638341695,59.06920798588544,0.0,100.0,50.0,20.0,True,False,False,0.1,phase12_learning_augmented_mpc
nominal_nmpc,10,50.0,False,5,28.72527480358258,28.678458009380847,29.98853321187198,30.216625018510967,0.0,58.749599813017994,58.903333032503724,60.174149624072015,60.297958028968424,0.0,100.0,50.0,20.0,True,False,False,0.1,phase12_learning_augmented_mpc
