scenario_id,tier,seed,controller,time_s,alpha_rad,q_radps,theta_rad,measured_alpha_rad,measured_q_radps,measured_theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,alpha_error_rad,q_error_rad,theta_error_rad,solver_status,solve_time_s,solver_failure,objective_value,max_predicted_alpha_violation_rad,max_predicted_q_violation_radps,predicted_alpha_constraint_active,predicted_q_constraint_active,control_dt_s,horizon_steps,planning_alpha_buffer_rad,pitching_moment_nm,cm,flap_effectiveness,delta_flap_raw_rad,delta_flap_delayed_rad,delta_flap_lagged_rad,delta_flap_rad,delta_flap_rate_radps,flap_saturated,flap_rate_saturated,altitude_m,velocity_mps,mach,density_kgm3,dynamic_pressure_pa,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,actuator_lag_s,actuator_delay_s,sensor_noise_alpha_rad,sensor_noise_q_radps,sensor_noise_theta_rad,initial_alpha_error_rad,initial_q_error_radps,initial_theta_error_rad,external_disturbance_moment_nm,corridor_violation
11,moderate,66,success_recovery_nmpc,0.0,0.09726367930063026,0.05237034123419307,0.08118891616634445,0.09743057985265398,0.05201600022115371,0.08050890310645166,0.12,-1.5202636718752993e-05,0.08,0.04999999999999999,0.19,-0.08,0.08,-0.022736320699369733,0.05238554387091182,0.0011889161663444503,Solve_Succeeded,0.032057917036581784,False,4728.977740786198,0.009900362868757284,0.0,False,False,0.5,10,0.012,-1866.8762812365558,-0.020597535594071036,0.4015798869488264,0.09000000986295827,0.0,0.0,0.0,0.0,False,False,82000.0,6200.0,21.012104371718653,5.631335244604286e-06,108.23426340129438,1.1271201633807792,1.057845439337298,0.8291739104917131,1.0497015221724948,0.165381683907133,1.0,0.00030848479803221776,0.0006562873235056894,0.001380134036191736,-0.02273632069936974,0.05238554387091182,0.0011889161663444536,-1809.8046884581565,False
11,moderate,66,success_recovery_nmpc,0.5,0.1119194493992448,0.05233284002406308,0.10736472488783545,0.11159258340067996,0.05146259365845764,0.10522309627360388,0.12002304098079561,-3.0341796874999716e-05,0.07999239868164063,0.0500230409807956,0.19002304098079562,-0.08,0.08,-0.008103591581550815,0.05236318182093808,0.027372326206194827,Solve_Succeeded,0.031491875008214265,False,8703.664215686782,0.01248263288486115,0.0,False,False,0.5,10,0.012,-1882.9520408485546,-0.026396770636646562,0.40159248685423254,0.09000000995526664,0.0,0.0,0.0,0.0,False,False,81998.8598022461,6199.7501458924335,21.01125760388222,5.632347837877232e-06,108.24500057530217,1.1271201633807792,1.057845439337298,0.8291739104917131,1.0497015221724948,0.165381683907133,1.0,0.00030848479803221776,0.0006562873235056894,0.001380134036191736,-0.02273632069936974,0.05238554387091182,0.0011889161663444536,-1809.8046884581565,False
11,moderate,66,success_recovery_nmpc,1.0,0.12503075967039443,0.05229503453190158,0.13352170552193554,0.12518556599403982,0.05302982449661957,0.1341304081736836,0.12009173525377229,-6.052490234374763e-05,0.079969658203125,0.05009173525377228,0.1900917352537723,-0.08,0.08,0.00493902441662214,0.05235555943424533,0.05355204731881054,Solve_Succeeded,0.034754374995827675,False,34739.358092460854,0.021266024847424597,0.0,False,False,0.5,10,0.012,-1919.4853946939984,-0.03956751464844183,0.40162486243193063,0.09000000998064578,0.09000000986295827,0.08562241096542612,0.08562241096542612,0.17124482193085225,False,False,81995.44873046875,6199.108143368448,21.00908182581111,5.635378249087887e-06,108.28081130201328,1.1271201633807792,1.057845439337298,0.8291739104917131,1.0497015221724948,0.165381683907133,1.0,0.00030848479803221776,0.0006562873235056894,0.001380134036191736,-0.02273632069936974,0.05238554387091182,0.0011889161663444536,-1809.8046884581565,False
11,moderate,66,success_recovery_nmpc,1.5,0.13675824689464244,0.05225651378670149,0.15965960333387608,0.1368463146804706,0.05244877099383123,0.15948624517977658,0.12020543981481481,-9.05175781250045e-05,0.07993187377929688,0.0502054398148148,0.1902054398148148,-0.08,0.08,0.016552807079827633,0.0523470313648265,0.0797277295545792,Solve_Succeeded,0.03527320799184963,False,46411.527922015724,0.022850766479873635,0.0,False,False,0.5,10,0.012,-1933.4925550817584,-0.04459490998323822,0.4016744554206741,0.17562242093372926,0.09000000995526664,0.08978708361735908,0.08978708361735908,0.00832934530386592,False,False,81989.78106689453,6198.124722339112,21.005748963664374,5.640417032047365e-06,108.34324571572121,1.1271201633807792,1.057845439337298,0.8291739104917131,1.0497015221724948,0.165381683907133,1.0,0.00030848479803221776,0.0006562873235056894,0.001380134036191736,-0.02273632069936974,0.05238554387091182,0.0011889161663444536,-1809.8046884581565,False
11,moderate,66,success_recovery_nmpc,2.0,0.14724582770476863,0.05221772668704171,0.18577817305496253,0.1475459537845978,0.05170829143047267,0.1872573801412051,0.12036351165980795,-0.00012031982421875642,0.079879140625,0.050363511659807944,0.19036351165980797,-0.08,0.08,0.026882316044960677,0.052338046511260464,0.10589903242996253,Solve_Succeeded,0.034527292009443045,False,56920.385382915905,0.02359817523842772,0.0,False,False,0.5,10,0.012,-1945.1600751554645,-0.04876117821955088,0.4017399997587981,0.17978709357266015,0.09000000998064578,0.08998965324607876,0.08998965324607876,0.0004051392574393464,False,False,81981.87109375,6196.824988604601,21.00134410223131,5.647456851750512e-06,108.43297856866864,1.1271201633807792,1.057845439337298,0.8291739104917131,1.0497015221724948,0.165381683907133,1.0,0.00030848479803221776,0.0006562873235056894,0.001380134036191736,-0.02273632069936974,0.05238554387091182,0.0011889161663444536,-1809.8046884581565,False
11,moderate,66,success_recovery_nmpc,2.5,0.15662254279121993,0.05217871857264691,0.21187729296193986,0.1565741637719392,0.05214245819339704,0.2101866084742642,0.12056530778463648,-0.00014993164062498954,0.07981155395507812,0.05056530778463647,0.19056530778463648,-0.08,0.08,0.03605723500658345,0.0523286502132719,0.13206573900686175,Solve_Succeeded,0.035200542013626546,False,89918.86411335402,0.02731385925273838,0.0,False,False,0.5,10,0.012,-1976.7270565570293,-0.06006798085998516,0.4018206300465545,0.1799896632008399,0.17562242093372926,0.1714572446188279,0.1714572446188279,0.16293518274549826,False,False,81971.73309326172,6195.226102903411,20.995925400097143,5.656492448731403e-06,108.5504275407706,1.1271201633807792,1.057845439337298,0.8291739104917131,1.0497015221724948,0.165381683907133,1.0,0.00030848479803221776,0.0006562873235056894,0.001380134036191736,-0.02273632069936974,0.05238554387091182,0.0011889161663444536,-1809.8046884581565,False
11,moderate,66,success_recovery_nmpc,3.0,0.16500390548883573,0.05213909015732804,0.23795675283211584,0.16502856054842455,0.05376102815349226,0.2378566825232178,0.12081018518518519,-0.00017935302734374547,0.07972920898437501,0.05081018518518518,0.1908101851851852,-0.08,0.08,0.04419372030365054,0.052318443184671784,0.15822754384774085,Solve_Succeeded,0.03695779200643301,False,168037.24771387744,0.03439046946021662,0.0,False,False,0.5,10,0.012,-1988.228425362962,-0.0641208896936758,0.40191568368588926,0.26145725441229944,0.17978709357266015,0.17938192986598467,0.17938192986598467,0.015849370494313564,False,False,81959.38134765625,6193.341204448907,20.98953738670099,5.667520607195489e-06,108.69589077974668,1.1271201633807792,1.057845439337298,0.8291739104917131,1.0497015221724948,0.165381683907133,1.0,0.00030848479803221776,0.0006562873235056894,0.001380134036191736,-0.02273632069936974,0.05238554387091182,0.0011889161663444536,-1809.8046884581565,False
11,moderate,66,success_recovery_nmpc,3.5,0.17249340026975024,0.05209924159576913,0.26401634264855867,0.172370000978865,0.05235698512609657,0.2653833148735725,0.12109750085733882,-0.00020858398437501036,0.07963220092773438,0.051097500857338815,0.19109750085733884,-0.08,0.08,0.05139589941241142,0.05230782558014414,0.1843841417208243,Solve_Succeeded,0.03462733299238607,False,161011.7720555141,0.031898888107196544,0.0,False,False,0.5,10,0.012,-1996.9131086009475,-0.06713464991781565,0.40202462079258067,0.2693819397780611,0.1799896632008399,0.1799601030621165,0.1799601030621165,0.0011563463922636408,False,False,81944.83013916016,6191.180999058791,20.98221634458463,5.680540126795923e-06,108.86960266829645,1.1271201633807792,1.057845439337298,0.8291739104917131,1.0497015221724948,0.165381683907133,1.0,0.00030848479803221776,0.0006562873235056894,0.001380134036191736,-0.02273632069936974,0.05238554387091182,0.0011889161663444536,-1809.8046884581565,False
11,moderate,66,success_recovery_nmpc,4.0,0.17918383838635188,0.052059228186414064,0.2900559662475749,0.17950473924763494,0.05160010831206489,0.28842728062087636,0.12142661179698216,-0.00023762451171874255,0.079520625,0.05142661179698216,0.19142661179698217,-0.08,0.08,0.057757226589369715,0.052296852698132806,0.2105353412475749,Solve_Succeeded,0.03635108401067555,False,176889.50889543464,0.031265443584480024,0.0,True,False,0.5,10,0.012,-2024.8524872371668,-0.07701631000344454,0.40214698367832524,0.26996011296718736,0.26145725441229944,0.25749323440334826,0.25749323440334826,0.15506626268246354,False,False,81928.09375,6188.754562618874,20.973993032370615,5.695551797931644e-06,109.07176206480656,1.1271201633807792,1.057845439337298,0.8291739104917131,1.0497015221724948,0.165381683907133,1.0,0.00030848479803221776,0.0006562873235056894,0.001380134036191736,-0.02273632069936974,0.05238554387091182,0.0011889161663444536,-1809.8046884581565,False
11,moderate,66,success_recovery_nmpc,4.5,0.18515828311799104,0.05201866391114505,0.3160754447764232,0.1848319880978951,0.05197976484449441,0.31329854050514033,0.121796875,-0.00026647460937499756,0.07939457641601563,0.05179687499999999,0.191796875,-0.08,0.08,0.06336140811799104,0.052285138520520046,0.23668086836040755,Solve_Succeeded,0.04288337496109307,False,224081.1215346405,0.03344063284438692,0.0,False,False,0.5,10,0.012,-2034.869542578489,-0.08043358530059562,0.40228237351219553,0.34749324431112566,0.2693819397780611,0.2688036733576387,0.2688036733576387,0.022620877908580916,False,False,81909.18646240234,6186.0698038826085,20.964894253212666,5.712558380455047e-06,109.30254857121709,1.1271201633807792,1.057845439337298,0.8291739104917131,1.0497015221724948,0.165381683907133,1.0,0.00030848479803221776,0.0006562873235056894,0.001380134036191736,-0.02273632069936974,0.05238554387091182,0.0011889161663444536,-1809.8046884581565,False
11,moderate,66,success_recovery_nmpc,5.0,0.19049114189754077,0.05197790639140216,0.3420745922751199,0.19096911111538134,0.05153872630032965,0.34176136051956674,0.1222076474622771,-0.0002951342773437615,0.079254150390625,0.05220764746227709,0.1922076474622771,-0.08,0.08,0.06828349443526367,0.05227304066874592,0.2628204418844949,Solve_Succeeded,0.03364974999567494,False,255834.54228132986,0.033364048297188476,0.0,False,False,0.5,10,0.012,-2041.6013570673645,-0.08264312806643075,0.4024304356602051,0.3500000099041505,0.26996011296718736,0.26990386376490916,0.26990386376490916,0.002200380814540881,False,False,81888.12255859375,6183.133755185188,20.95494384003998,5.731564585685436e-06,109.56213274343739,1.1271201633807792,1.057845439337298,0.8291739104917131,1.0497015221724948,0.165381683907133,1.0,0.00030848479803221776,0.0006562873235056894,0.001380134036191736,-0.02273632069936974,0.05238554387091182,0.0011889161663444536,-1809.8046884581565,False
11,moderate,66,success_recovery_nmpc,5.5,0.19524917021827534,0.0519370205934672,0.3680533284235056,0.1957494404112567,0.05126696060378705,0.3680559612872852,0.12265828617969822,-0.0003236035156249928,0.07909944213867187,0.05265828617969821,0.1926582861796982,-0.08,0.08,0.07259088403857712,0.05226062410909219,0.2889538862848337,Solve_Succeeded,0.03514608403202146,False,284702.26365238335,0.033315941967163115,0.0,False,False,0.5,10,0.012,-2066.897572898755,-0.09142128690117864,0.40259084988176863,0.3500000099017806,0.34749324431112566,0.3437192982053807,0.3437192982053807,0.14763086888094312,False,False,81864.91632080078,6179.952766846162,20.944163314397265,5.7525770616336835e-06,109.85068290841785,1.1271201633807792,1.057845439337298,0.8291739104917131,1.0497015221724948,0.165381683907133,1.0,0.00030848479803221776,0.0006562873235056894,0.001380134036191736,-0.02273632069936974,0.05238554387091182,0.0011889161663444536,-1809.8046884581565,True
11,moderate,66,success_recovery_nmpc,6.0,0.19949209535912524,0.05189563456972683,0.394011496149589,0.19928209105489694,0.05227890624829487,0.39307812945541676,0.12314814814814815,-0.0003518823242187469,0.07893054687500001,0.05314814814814814,0.19314814814814815,-0.08,0.08,0.07634394721097709,0.05224751689394558,0.315080949274589,Solve_Succeeded,0.032973250024951994,False,356208.98647494137,0.036712108574326996,0.0,False,False,0.5,10,0.012,-2073.9472026570475,-0.09365725359284986,0.4027633234553852,0.35000000990826174,0.3500000099041505,0.3496945161975374,0.3496945161975374,0.011950435984313335,False,False,81839.58203125,6176.532643486048,20.932572348428415,5.775604381351572e-06,110.16836993479706,1.1271201633807792,1.057845439337298,0.8291739104917131,1.0497015221724948,0.165381683907133,1.0,0.00030848479803221776,0.0006562873235056894,0.001380134036191736,-0.02273632069936974,0.05238554387091182,0.0011889161663444536,-1809.8046884581565,True
11,moderate,66,success_recovery_nmpc,6.5,0.20327342445667124,0.05185411266288134,0.4199489364744223,0.2033547289320696,0.051317332357495846,0.42130998052364493,0.12367659036351165,-0.0003799707031250099,0.07874755981445312,0.05367659036351165,0.19367659036351165,-0.08,0.08,0.07959683409315958,0.05223408336600635,0.34120137665996914,Solve_Succeeded,0.03299387497827411,False,351116.1459892225,0.034272145841856505,0.0,False,False,0.5,10,0.012,-2079.084203575547,-0.09517889677050359,0.40294758617496185,0.3500000099012798,0.3500000099017806,0.34998515069337677,0.34998515069337677,0.0005812689916787628,False,False,81812.13397216797,6172.878743248417,20.920189101145034,5.800657034326951e-06,110.51537069856919,1.1271201633807792,1.057845439337298,0.8291739104917131,1.0497015221724948,0.165381683907133,1.0,0.00030848479803221776,0.0006562873235056894,0.001380134036191736,-0.02273632069936974,0.05238554387091182,0.0011889161663444536,-1809.8046884581565,True
11,moderate,66,success_recovery_nmpc,7.0,0.20664118479897262,0.05181249259754881,0.4458655909308613,0.206477781300452,0.05097056987865376,0.4462261209627145,0.12424296982167352,-0.00040786865234375413,0.078550576171875,0.05424296982167351,0.19424296982167352,-0.08,0.08,0.0823982149772991,0.052220361249892565,0.3673150147589863,Solve_Succeeded,0.033477584016509354,False,361170.4623062841,0.033348844039874814,0.0,False,False,0.5,10,0.012,-2083.78233319559,-0.09651069715000252,0.4031433865961587,0.35000000989820895,0.35000000990826174,0.34999928715631096,0.34999928715631096,2.827292586837782e-05,False,False,81782.58642578125,6168.996052234287,20.907030470688255,5.827747420853623e-06,110.89187067959872,1.1271201633807792,1.057845439337298,0.8291739104917131,1.0497015221724948,0.165381683907133,1.0,0.00030848479803221776,0.0006562873235056894,0.001380134036191736,-0.02273632069936974,0.05238554387091182,0.0011889161663444536,-1809.8046884581565,True
11,moderate,66,success_recovery_nmpc,7.5,0.20963841164136218,0.051770782678853884,0.471761412554636,0.20898806622372954,0.05281448806457703,0.4723911492554655,0.12484664351851851,-0.0004355761718749934,0.07833969116210937,0.054846643518518506,0.19484664351851852,-0.08,0.08,0.08479176812284367,0.05220635885072888,0.3934217213925266,Solve_Succeeded,0.03390941699035466,False,464396.11027727125,0.038832792173024766,0.0,False,False,0.5,10,0.012,-2088.1582728301446,-0.09769430219520231,0.40335048914940924,0.3500000099094513,0.3500000099012798,0.3499999747469772,0.3499999747469772,1.3751813324747175e-06,False,False,81750.9536743164,6164.88924175046,20.893112288346153,5.856889849311447e-06,111.29806595890464,1.1271201633807792,1.057845439337298,0.8291739104917131,1.0497015221724948,0.165381683907133,1.0,0.00030848479803221776,0.0006562873235056894,0.001380134036191736,-0.02273632069936974,0.05238554387091182,0.0011889161663444536,-1809.8046884581565,True
11,moderate,66,success_recovery_nmpc,8.0,0.2123036608181033,0.05172898892808232,0.49763635795899985,0.2124060475355092,0.05180563940294174,0.4993302589721973,0.1254869684499314,-0.00046309326171874166,0.078115,0.055486968449931395,0.1954869684499314,-0.08,0.08,0.08681669236817191,0.052192082189801065,0.41952135795899986,Solve_Succeeded,0.03278841695282608,False,447022.59882075526,0.03603353822796643,0.0,False,False,0.5,10,0.012,-2092.2577530657245,-0.09874618794396167,0.4035686718725181,0.35000000990276425,0.35000000989820895,0.35000000818845367,0.35,5.0506045567999536e-08,False,False,81717.25,6160.562713271744,20.878449470932924,5.8881005362993896e-06,111.73416479119702,1.1271201633807792,1.057845439337298,0.8291739104917131,1.0497015221724948,0.165381683907133,1.0,0.00030848479803221776,0.0006562873235056894,0.001380134036191736,-0.02273632069936974,0.05238554387091182,0.0011889161663444536,-1809.8046884581565,True
11,moderate,66,success_recovery_nmpc,8.5,0.2146714746044492,0.05168711649637013,0.5234903865466695,0.21468685262993395,0.05155876280849202,0.5227016953296093,0.12616330161179698,-0.0004904199218749988,0.07787659790039063,0.05616330161179697,0.196163301611797,-0.08,0.08,0.0885081729926522,0.05217753641824513,0.4456137886462788,Solve_Succeeded,0.032362750032916665,False,448962.20661322924,0.03534667839622571,0.0,False,False,0.5,10,0.012,-2096.1188424036222,-0.09968010584615425,0.4037977245977856,0.35000000990039565,0.3500000099094513,0.350000009825742,0.35,0.0,False,False,81681.4896850586,6156.020634389981,20.86305614262193,5.92139760957033e-06,112.20038886953337,1.1271201633807792,1.057845439337298,0.8291739104917131,1.0497015221724948,0.165381683907133,1.0,0.00030848479803221776,0.0006562873235056894,0.001380134036191736,-0.02273632069936974,0.05238554387091182,0.0011889161663444536,-1809.8046884581565,True
