tier,scenario_id,seed,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,actuator_lag_s,actuator_delay_s,sensor_noise_alpha_rad,sensor_noise_q_radps,sensor_noise_theta_rad,initial_alpha_error_rad,initial_q_error_radps,initial_theta_error_rad,external_disturbance_moment_nm,controller,rms_alpha_error_rad,max_alpha_error_rad,rms_pitch_rate_error_radps,control_effort_abs_rad_s,flap_saturation_fraction,flap_rate_saturation_fraction,alpha_violation_count,pitch_rate_violation_count,solver_failure,unstable_response,failure_label,trajectory_csv,metrics_json
moderate,22,77,1.0857796925627479,1.0153515867400944,0.8975552787813753,0.9337812825911712,0.1115415692187238,0.5,0.0024039020389270815,0.00013620245998751984,0.0011208731782933932,-0.026260312992074958,0.05172342929136724,0.004159001575210968,-1846.2608359159615,nominal_nmpc,0.05581387291101848,0.09019012973140564,0.043981195235735765,44.8780619603299,0.0,0.07476635514018691,43,0,False,False,alpha_corridor_violation,outputs/phase5_monte_carlo/moderate/scenario_022/nominal_nmpc/trajectory.csv,outputs/phase5_monte_carlo/moderate/scenario_022/nominal_nmpc/metrics.json
moderate,23,78,0.9756589263490966,1.1245405911368507,1.007246608108957,1.134851281548517,0.13031717770780502,0.5,0.0011392070187764415,0.00048621161205069274,0.0017426124876274104,-0.029804071435873502,0.05355477431251187,-0.010069598855220723,1069.821977190234,pid,0.04577518407341993,0.10216154225416407,0.049777162467983055,50.21215122504885,0.7507788161993769,0.5825545171339563,47,0,False,False,alpha_corridor_violation,outputs/phase5_monte_carlo/moderate/scenario_023/pid/trajectory.csv,outputs/phase5_monte_carlo/moderate/scenario_023/pid/metrics.json
moderate,23,78,0.9756589263490966,1.1245405911368507,1.007246608108957,1.134851281548517,0.13031717770780502,0.5,0.0011392070187764415,0.00048621161205069274,0.0017426124876274104,-0.029804071435873502,0.05355477431251187,-0.010069598855220723,1069.821977190234,gain_scheduled_lqr,0.048877122194510875,0.10216154225416407,0.04946592827128609,55.65750000000001,0.9875389408099688,0.9968847352024922,63,0,False,False,alpha_corridor_violation,outputs/phase5_monte_carlo/moderate/scenario_023/gain_scheduled_lqr/trajectory.csv,outputs/phase5_monte_carlo/moderate/scenario_023/gain_scheduled_lqr/metrics.json
moderate,23,78,0.9756589263490966,1.1245405911368507,1.007246608108957,1.134851281548517,0.13031717770780502,0.5,0.0011392070187764415,0.00048621161205069274,0.0017426124876274104,-0.029804071435873502,0.05355477431251187,-0.010069598855220723,1069.821977190234,nominal_nmpc,0.045755028709190126,0.10216154225563559,0.050093288353294546,49.58134310708201,0.0,0.07165109034267912,47,0,False,False,alpha_corridor_violation,outputs/phase5_monte_carlo/moderate/scenario_023/nominal_nmpc/trajectory.csv,outputs/phase5_monte_carlo/moderate/scenario_023/nominal_nmpc/metrics.json
moderate,24,79,1.1258807162130564,0.8714867820419543,1.1692325416008753,0.814298624388897,0.030615126601149022,1.0,0.0014331024173763914,0.0005624939809914936,0.0003099352822662108,-0.031360551256634006,0.04678513740266193,0.0047522221300642055,-1944.0632265947372,pid,0.07365286270396237,0.10061271293984919,0.03811961677851409,32.460857856545246,0.27102803738317754,0.1806853582554517,207,0,False,False,alpha_corridor_violation,outputs/phase5_monte_carlo/moderate/scenario_024/pid/trajectory.csv,outputs/phase5_monte_carlo/moderate/scenario_024/pid/metrics.json
moderate,24,79,1.1258807162130564,0.8714867820419543,1.1692325416008753,0.814298624388897,0.030615126601149022,1.0,0.0014331024173763914,0.0005624939809914936,0.0003099352822662108,-0.031360551256634006,0.04678513740266193,0.0047522221300642055,-1944.0632265947372,gain_scheduled_lqr,0.0963542383450191,0.1963339495958692,0.036336486758780054,55.4825,0.9844236760124611,0.9937694704049844,207,0,False,False,alpha_corridor_violation,outputs/phase5_monte_carlo/moderate/scenario_024/gain_scheduled_lqr/trajectory.csv,outputs/phase5_monte_carlo/moderate/scenario_024/gain_scheduled_lqr/metrics.json
moderate,24,79,1.1258807162130564,0.8714867820419543,1.1692325416008753,0.814298624388897,0.030615126601149022,1.0,0.0014331024173763914,0.0005624939809914936,0.0003099352822662108,-0.031360551256634006,0.04678513740266193,0.0047522221300642055,-1944.0632265947372,nominal_nmpc,0.059700981871337905,0.09225695527072053,0.040790714509615904,46.33000917632761,0.0,0.1059190031152648,80,0,False,False,alpha_corridor_violation,outputs/phase5_monte_carlo/moderate/scenario_024/nominal_nmpc/trajectory.csv,outputs/phase5_monte_carlo/moderate/scenario_024/nominal_nmpc/metrics.json
moderate,25,80,1.070947399403036,0.8555256390479212,0.8146534837506187,1.0378828917129967,0.20499977511052314,0.5,0.0019144016567179732,0.0011632872232517032,0.0022357993679349695,-0.04535989636464315,0.05340989691901187,-0.007916318535278829,544.330522248232,pid,0.04417978487625688,0.099918891097217,0.04940457405443009,51.11789453267562,0.7538940809968847,0.4485981308411215,44,0,False,False,alpha_corridor_violation,outputs/phase5_monte_carlo/moderate/scenario_025/pid/trajectory.csv,outputs/phase5_monte_carlo/moderate/scenario_025/pid/metrics.json
moderate,25,80,1.070947399403036,0.8555256390479212,0.8146534837506187,1.0378828917129967,0.20499977511052314,0.5,0.0019144016567179732,0.0011632872232517032,0.0022357993679349695,-0.04535989636464315,0.05340989691901187,-0.007916318535278829,544.330522248232,gain_scheduled_lqr,0.046059860793783346,0.099918891097217,0.04914310588173824,55.65750000000001,0.9875389408099688,0.9968847352024922,49,0,False,False,alpha_corridor_violation,outputs/phase5_monte_carlo/moderate/scenario_025/gain_scheduled_lqr/trajectory.csv,outputs/phase5_monte_carlo/moderate/scenario_025/gain_scheduled_lqr/metrics.json
moderate,25,80,1.070947399403036,0.8555256390479212,0.8146534837506187,1.0378828917129967,0.20499977511052314,0.5,0.0019144016567179732,0.0011632872232517032,0.0022357993679349695,-0.04535989636464315,0.05340989691901187,-0.007916318535278829,544.330522248232,nominal_nmpc,0.04369561518062201,0.09991889154275646,0.049922049789698573,50.44726213111883,0.0,0.11214953271028037,44,0,False,False,alpha_corridor_violation,outputs/phase5_monte_carlo/moderate/scenario_025/nominal_nmpc/trajectory.csv,outputs/phase5_monte_carlo/moderate/scenario_025/nominal_nmpc/metrics.json
