tier,controller,scenario_count,strict_success_count,strict_success_rate,controlled_recovery_count,controlled_recovery_rate,mean_rms_alpha_error_rad,median_max_alpha_miss_rad,mean_max_alpha_miss_rad,mean_solve_time_s,p95_solve_time_s,mean_predicted_alpha_slack_rad
moderate,online_slack_mpc,30,15,0.5,24,0.8,0.04963285133056047,0.0006107178592340556,0.010096305170425734,0.012227176754628097,0.02744684440937514,0.004901056667901745
moderate,online_slack_mpc_centered,30,15,0.5,24,0.8,0.0496140059785877,0.0005961469375006939,0.010092463695200119,0.011863807645394494,0.026089247265675415,0.00549564328009859
moderate,online_slack_mpc_fast,30,15,0.5,24,0.8,0.04970066738452016,0.0006534048610010307,0.01012630150905925,0.01771480452773303,0.02037203753910338,0.003907604109797355
stress,online_slack_mpc,30,11,0.36666666666666664,17,0.5666666666666667,0.06440054055960645,0.019662375321426583,0.02901364085754749,0.012374049378367363,0.026746736055550478,0.018303591227296145
stress,online_slack_mpc_centered,30,11,0.36666666666666664,17,0.5666666666666667,0.06438034313753523,0.0196482486758721,0.028993378459682084,0.012146903634638575,0.02635278186838453,0.019216941635666687
stress,online_slack_mpc_fast,30,11,0.36666666666666664,17,0.5666666666666667,0.06445463190345302,0.01983831991494118,0.029075246428390527,0.017915292750323504,0.02014668610645458,0.015752463236292126
