tier,scenario_id,seed,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,actuator_lag_s,actuator_delay_s,sensor_noise_alpha_rad,sensor_noise_q_radps,sensor_noise_theta_rad,initial_alpha_error_rad,initial_q_error_radps,initial_theta_error_rad,external_disturbance_moment_nm,controller,rms_alpha_error_rad,max_alpha_error_rad,rms_pitch_rate_error_radps,control_effort_abs_rad_s,flap_saturation_fraction,flap_rate_saturation_fraction,alpha_violation_count,pitch_rate_violation_count,solver_failure,unstable_response,failure_label,first_alpha_violation_time_s,first_alpha_violation_side,max_alpha_corridor_miss_rad,max_q_corridor_miss_radps,alpha_violation_duration_s,q_violation_duration_s,first_alpha_violation_before_three_updates,mean_solve_time_s,p95_solve_time_s,controlled_recovery,controlled_recovery_max_alpha_miss_rad,controlled_recovery_max_q_miss_radps,mean_predicted_alpha_slack_rad,mean_predicted_q_slack_radps,trajectory_csv,metrics_json
moderate,0,55,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,0.17246008473590804,0.5,0.002112697278039903,0.001420628984150504,0.00020335583094168374,-0.03526714350779047,0.043317852661921875,0.00407667571118842,-2288.5715472335214,online_slack_mpc,0.034165892625333774,0.05374212823636637,0.04231283086177653,7.821401254944358,0.0,0.0,0,0,False,False,success,,none,0.0,0.0,0.0,0.0,False,0.011095707366576441,0.022281291079707444,True,0.0,0.0,1.6287246632947475e-09,1.034963416848491e-08,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_000/online_slack_mpc/trajectory.csv,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_000/online_slack_mpc/metrics.json
moderate,0,55,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,0.17246008473590804,0.5,0.002112697278039903,0.001420628984150504,0.00020335583094168374,-0.03526714350779047,0.043317852661921875,0.00407667571118842,-2288.5715472335214,online_slack_mpc_centered,0.03414170732329573,0.05370318383996728,0.04229440593081101,12.168307869356898,0.0,0.06172839506172839,0,0,False,False,success,,none,0.0,0.0,0.0,0.0,False,0.010680661529567047,0.02212891704402864,True,0.0,0.0,3.5647727442721245e-09,2.3522350445749513e-08,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_000/online_slack_mpc_centered/trajectory.csv,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_000/online_slack_mpc_centered/metrics.json
moderate,0,55,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,0.17246008473590804,0.5,0.002112697278039903,0.001420628984150504,0.00020335583094168374,-0.03526714350779047,0.043317852661921875,0.00407667571118842,-2288.5715472335214,online_slack_mpc_fast,0.03421245387735597,0.05379898374530101,0.042355629685979335,0.6396811126144404,0.0,0.0,0,0,False,False,success,,none,0.0,0.0,0.0,0.0,False,0.016377869849725637,0.01795925002079457,True,0.0,0.0,1.9404239149136146e-09,1.2316017343443507e-08,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_000/online_slack_mpc_fast/trajectory.csv,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_000/online_slack_mpc_fast/metrics.json
moderate,1,56,1.067837814989062,0.8550708443435929,1.1923204271077104,1.08984168484952,0.19047425565328424,0.0,0.001819893511792798,0.0005389072581292835,0.0017670007129131713,-0.042169232542380676,0.037161912636399425,0.003739433990046943,1888.1114567916945,online_slack_mpc,0.02263919811594218,0.04216923254238067,0.03958647025988039,5.422945378558107,0.0,0.0,0,0,False,False,success,,none,0.0,0.0,0.0,0.0,False,0.011338938284883804,0.022756416932679713,True,0.0,0.0,1.6100542052215966e-09,9.830710583501121e-09,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_001/online_slack_mpc/trajectory.csv,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_001/online_slack_mpc/metrics.json
moderate,1,56,1.067837814989062,0.8550708443435929,1.1923204271077104,1.08984168484952,0.19047425565328424,0.0,0.001819893511792798,0.0005389072581292835,0.0017670007129131713,-0.042169232542380676,0.037161912636399425,0.003739433990046943,1888.1114567916945,online_slack_mpc_centered,0.02261197857464441,0.04216923254238067,0.03954768092402561,11.810868678027596,0.0,0.024691358024691357,0,0,False,False,success,,none,0.0,0.0,0.0,0.0,False,0.010825721158956489,0.022440083092078567,True,0.0,0.0,3.118913140638893e-09,2.039008208502167e-08,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_001/online_slack_mpc_centered/trajectory.csv,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_001/online_slack_mpc_centered/metrics.json
moderate,1,56,1.067837814989062,0.8550708443435929,1.1923204271077104,1.08984168484952,0.19047425565328424,0.0,0.001819893511792798,0.0005389072581292835,0.0017670007129131713,-0.042169232542380676,0.037161912636399425,0.003739433990046943,1888.1114567916945,online_slack_mpc_fast,0.02265346808267563,0.04216923254238067,0.03961244130197667,0.5110191676581277,0.0,0.0,0,0,False,False,success,,none,0.0,0.0,0.0,0.0,False,0.01739937187327693,0.0189367919228971,True,0.0,0.0,2.0314198449999636e-09,1.0886909071880651e-08,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_001/online_slack_mpc_fast/trajectory.csv,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_001/online_slack_mpc_fast/metrics.json
moderate,2,57,1.0552500109466625,0.9904935904652705,1.1364934679007512,0.9361279231434767,0.13783755517640428,0.5,0.0012876544132459234,0.0010895091536253408,0.0008726206962965641,-0.03988767505303118,0.0403012765601704,-0.0006989770439637954,2243.631407086245,online_slack_mpc,0.030406032743772755,0.046892105084782504,0.04296037940828848,6.5494916384158355,0.0,0.0,0,0,False,False,success,,none,0.0,0.0,0.0,0.0,False,0.011311088471650433,0.023749417043291032,True,0.0,0.0,1.6867444185241187e-09,1.1404432204340129e-08,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_002/online_slack_mpc/trajectory.csv,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_002/online_slack_mpc/metrics.json
moderate,2,57,1.0552500109466625,0.9904935904652705,1.1364934679007512,0.9361279231434767,0.13783755517640428,0.5,0.0012876544132459234,0.0010895091536253408,0.0008726206962965641,-0.03988767505303118,0.0403012765601704,-0.0006989770439637954,2243.631407086245,online_slack_mpc_centered,0.03034294421203157,0.046823694198430216,0.0429257072744835,12.067094773485397,0.0,0.037037037037037035,0,0,False,False,success,,none,0.0,0.0,0.0,0.0,False,0.011342755642455116,0.024566792068071663,True,0.0,0.0,3.510329852616601e-09,2.315726691564205e-08,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_002/online_slack_mpc_centered/trajectory.csv,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_002/online_slack_mpc_centered/metrics.json
moderate,2,57,1.0552500109466625,0.9904935904652705,1.1364934679007512,0.9361279231434767,0.13783755517640428,0.5,0.0012876544132459234,0.0010895091536253408,0.0008726206962965641,-0.03988767505303118,0.0403012765601704,-0.0006989770439637954,2243.631407086245,online_slack_mpc_fast,0.030489588620010524,0.04696147884091595,0.04301018842698131,0.600043308059474,0.0,0.0,0,0,False,False,success,,none,0.0,0.0,0.0,0.0,False,0.016799947028450758,0.017879083985462785,True,0.0,0.0,2.0592164152786884e-09,1.1315870057101899e-08,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_002/online_slack_mpc_fast/trajectory.csv,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_002/online_slack_mpc_fast/metrics.json
moderate,3,58,0.9427035401698733,1.1139500827692312,0.8972365808628847,0.8833681862461437,0.2960345266189571,1.0,0.0009159976169144701,0.00020772178158287347,0.001579716448980541,-0.02224949176908563,0.04723591983330609,-0.009198019703474421,2252.732574594433,online_slack_mpc,0.05589882386767345,0.07748651982869115,0.049856966857034786,11.995591058162523,0.0,0.012345679012345678,21,0,False,False,alpha_corridor_violation,8.5,high,0.0074865198286911405,0.0,10.5,0.0,False,0.015694180545167146,0.052711499971337616,True,0.0074865198286911405,0.0,0.0023375746926327973,1.4166565158395867e-07,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_003/online_slack_mpc/trajectory.csv,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_003/online_slack_mpc/metrics.json
moderate,3,58,0.9427035401698733,1.1139500827692312,0.8972365808628847,0.8833681862461437,0.2960345266189571,1.0,0.0009159976169144701,0.00020772178158287347,0.001579716448980541,-0.02224949176908563,0.04723591983330609,-0.009198019703474421,2252.732574594433,online_slack_mpc_centered,0.05588227658065778,0.077469622749747,0.049851007216515926,13.46432839570847,0.0,0.024691358024691357,21,0,False,False,alpha_corridor_violation,8.5,high,0.007469622749746996,0.0,10.5,0.0,False,0.012567242239544422,0.030106874997727573,True,0.007469622749746996,0.0,0.003237505622411886,2.05097971927416e-07,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_003/online_slack_mpc_centered/trajectory.csv,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_003/online_slack_mpc_centered/metrics.json
moderate,3,58,0.9427035401698733,1.1139500827692312,0.8972365808628847,0.8833681862461437,0.2960345266189571,1.0,0.0009159976169144701,0.00020772178158287347,0.001579716448980541,-0.02224949176908563,0.04723591983330609,-0.009198019703474421,2252.732574594433,online_slack_mpc_fast,0.05597782767438464,0.07754407996731597,0.04988948105031657,5.340042571448848,0.0,0.0,21,0,False,False,alpha_corridor_violation,8.5,high,0.007544079967315959,0.0,10.5,0.0,False,0.018725845205344628,0.02361341693904251,True,0.007544079967315959,0.0,0.0018011456326599785,1.4550009076626058e-07,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_003/online_slack_mpc_fast/trajectory.csv,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_003/online_slack_mpc_fast/metrics.json
moderate,4,59,1.0263241475999092,1.0978198504596506,0.8467775120989001,0.9509718434702744,0.06519182255015281,0.0,1.745874008911086e-05,0.0014589760408944903,0.00031099084968804126,-0.02196446416086214,0.04507563176598882,0.008256747261127528,-1953.0550355784214,online_slack_mpc,0.040254381586124606,0.06261567594344264,0.044333748718196245,8.624119925469866,0.0,0.0,0,0,False,False,success,,none,0.0,0.0,0.0,0.0,False,0.011002190327731731,0.022746750037185848,True,0.0,0.0,1.6508265731144128e-09,1.0745587690961919e-08,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_004/online_slack_mpc/trajectory.csv,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_004/online_slack_mpc/metrics.json
moderate,4,59,1.0263241475999092,1.0978198504596506,0.8467775120989001,0.9509718434702744,0.06519182255015281,0.0,1.745874008911086e-05,0.0014589760408944903,0.00031099084968804126,-0.02196446416086214,0.04507563176598882,0.008256747261127528,-1953.0550355784214,online_slack_mpc_centered,0.04022999294082339,0.06258559922781826,0.044319511277050166,12.579453630448121,0.0,0.07407407407407407,0,0,False,False,success,,none,0.0,0.0,0.0,0.0,False,0.010971387815201817,0.02281033294275403,True,0.0,0.0,3.5987863621376854e-09,2.4519747037892584e-08,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_004/online_slack_mpc_centered/trajectory.csv,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_004/online_slack_mpc_centered/metrics.json
moderate,4,59,1.0263241475999092,1.0978198504596506,0.8467775120989001,0.9509718434702744,0.06519182255015281,0.0,1.745874008911086e-05,0.0014589760408944903,0.00031099084968804126,-0.02196446416086214,0.04507563176598882,0.008256747261127528,-1953.0550355784214,online_slack_mpc_fast,0.040332986572915445,0.06267563105063836,0.044379648543153925,0.9076721787339322,0.0,0.0,0,0,False,False,success,,none,0.0,0.0,0.0,0.0,False,0.016413404321711924,0.018452291027642787,True,0.0,0.0,1.875731117746889e-09,1.3865665939988774e-08,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_004/online_slack_mpc_fast/trajectory.csv,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_004/online_slack_mpc_fast/metrics.json
moderate,5,60,0.9472851438103829,0.8581439175685014,0.8218883549768894,1.1961966085206186,0.3021514856561525,1.0,0.002904553797721493,0.0014873038666191403,0.0011797634968893586,-0.040412614765709766,0.050130858041308214,-0.01917497838311747,339.20421081160555,online_slack_mpc,0.06149639213693625,0.08585580667680873,0.05124066797971297,12.42795095058576,0.0,0.012345679012345678,31,0,False,False,alpha_corridor_violation,7.0,high,0.01585580667680872,0.0,15.5,0.0,False,0.012482330829686956,0.02814266597852111,True,0.01585580667680872,0.0,0.006589712489620549,3.2863248867836605e-07,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_005/online_slack_mpc/trajectory.csv,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_005/online_slack_mpc/metrics.json
moderate,5,60,0.9472851438103829,0.8581439175685014,0.8218883549768894,1.1961966085206186,0.3021514856561525,1.0,0.002904553797721493,0.0014873038666191403,0.0011797634968893586,-0.040412614765709766,0.050130858041308214,-0.01917497838311747,339.20421081160555,online_slack_mpc_centered,0.061485306870638363,0.08584439910836297,0.051236708748579884,13.471935806171441,0.0,0.024691358024691357,31,0,False,False,alpha_corridor_violation,7.0,high,0.015844399108362966,0.0,15.5,0.0,False,0.012979473250366195,0.029604249983094633,True,0.015844399108362966,0.0,0.007901636619897182,3.895140872217101e-07,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_005/online_slack_mpc_centered/trajectory.csv,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_005/online_slack_mpc_centered/metrics.json
