tier,scenario_id,seed,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,actuator_lag_s,actuator_delay_s,sensor_noise_alpha_rad,sensor_noise_q_radps,sensor_noise_theta_rad,initial_alpha_error_rad,initial_q_error_radps,initial_theta_error_rad,external_disturbance_moment_nm,controller,solver_status,solve_time_s,oracle_feasible,oracle_near_feasible,oracle_max_alpha_miss_rad,oracle_max_q_miss_radps,oracle_alpha_violation_duration_s,first_alpha_violation_time_s,first_alpha_violation_side,actuator_tau_prediction_s,predicted_max_alpha_slack_rad,predicted_max_q_slack_radps,objective_value,trajectory_csv,metrics_json
moderate,10,65,0.8642174456390412,1.005466653261876,0.9499434253485177,0.8914714093255712,0.32960311763802463,0.5,0.0008365525317918986,6.46762207459785e-05,0.00043271742188083696,-0.04968044093642936,0.042852932412735696,-0.01897115270827847,2221.850917262168,truth_consistent_slack_oracle,Solve_Succeeded,0.1078849999466911,True,True,0.0,0.0,0.0,,none,0.5796031176380246,3.756188481195491e-09,2.330069066042479e-08,114.97910824047094,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_010/oracle_trajectory.csv,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_010/oracle_metrics.json
moderate,11,66,1.1271201633807792,1.057845439337298,0.8291739104917131,1.0497015221724948,0.165381683907133,1.0,0.00030848479803221776,0.0006562873235056894,0.001380134036191736,-0.02273632069936974,0.05238554387091182,0.0011889161663444536,-1809.8046884581565,truth_consistent_slack_oracle,Solve_Succeeded,0.17248033406212926,False,True,0.023269216418546845,0.0,18.0,6.0,high,0.665381683907133,0.02326920641887722,7.28428226428753e-07,617037.1376784357,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_011/oracle_trajectory.csv,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_011/oracle_metrics.json
moderate,12,67,0.9742994499706756,0.8880814906600227,1.005594014324681,0.9188970487207432,0.2093129332072963,1.0,0.0009248828062737953,0.0005329510920348585,0.00026554965141795784,-0.022633174516965053,0.04101814378974161,-0.019519453129244125,1586.2498674008762,truth_consistent_slack_oracle,Solve_Succeeded,0.11092579201795161,True,True,0.0,0.0,0.0,,none,0.7093129332072963,2.88971217818337e-09,1.8976809012771547e-08,85.67879154798472,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_012/oracle_trajectory.csv,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_012/oracle_metrics.json
moderate,13,68,0.9953100174539699,1.1044978823659257,1.0694089087940948,1.0504963097063043,0.34153615576448204,1.0,0.0003907120550084717,0.0007890702151280241,0.0018365108228233394,-0.04466830271818796,0.03982358572394496,0.009962517695321185,2230.4093558581844,truth_consistent_slack_oracle,Solve_Succeeded,0.11150458303745836,True,True,0.0,0.0,0.0,,none,0.841536155764482,1.765074648340269e-09,1.5667266718797727e-08,72.22882181861681,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_013/oracle_trajectory.csv,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_013/oracle_metrics.json
moderate,14,69,1.0241117125647023,1.0080556107458336,1.1459846635147866,1.0939041651242745,0.16680469402583797,1.0,0.0016339043283467127,0.0006561236469276164,2.535331373743066e-05,-0.02964578879090854,0.052276271674726246,0.00823710896096232,2310.546642572015,truth_consistent_slack_oracle,Solve_Succeeded,0.1968487499980256,False,False,0.028652943316154228,0.0,23.0,6.0,high,0.666804694025838,0.02865293331642252,3.4102459904746643e-07,1188814.6855309547,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_014/oracle_trajectory.csv,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_014/oracle_metrics.json
moderate,15,70,0.9642204535645428,1.0671417552736013,0.9288757304983914,1.1860895825578432,0.25912132182742664,0.5,0.0006226568047982962,4.374910828114309e-06,0.002352794545105728,-0.04300495120735941,0.03685923387217385,-0.00622084602307651,-1648.6330462802107,truth_consistent_slack_oracle,Solve_Succeeded,0.10813620802946389,True,True,0.0,0.0,0.0,,none,0.5091213218274266,1.8348167097921375e-09,1.743855987709629e-08,58.83507552786925,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_015/oracle_trajectory.csv,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_015/oracle_metrics.json
moderate,16,71,0.9260241032311908,1.0082616506939277,1.104394623500175,1.0539044250163887,0.07146035042271176,0.0,0.0015694963232778622,0.0003021177609268611,0.001776891772332004,-0.04883518855349546,0.05271283543694008,-0.004926293435419682,-930.9857138338967,truth_consistent_slack_oracle,Solve_Succeeded,0.1769842499634251,False,True,0.0243368003453098,0.0,18.0,7.0,high,0.5,0.024336790345310434,4.374304687070524e-07,701447.0509614167,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_016/oracle_trajectory.csv,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_016/oracle_metrics.json
moderate,17,72,1.10135102034214,0.8520025368035228,0.8925793022278865,0.8456942178381268,0.2504541557655864,0.5,0.0017199235130644019,7.783626385904558e-05,0.0008739507574789569,-0.021392285076914555,0.05470143151601368,-0.0060694507951638025,917.2819730219906,truth_consistent_slack_oracle,Solve_Succeeded,0.20777845894917846,False,False,0.03734676130414866,0.0,26.0,5.0,high,0.5004541557655864,0.03734675130414896,1.4620629374740878e-07,2209815.422181904,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_017/oracle_trajectory.csv,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_017/oracle_metrics.json
moderate,18,73,0.9977908567864578,0.941010261358429,0.9074271124815184,1.194062858536881,0.07696193703320789,0.5,0.0025640913291227873,0.00025623689872175366,0.0025300887416886,-0.02830285004668156,0.03813411794899975,-0.015854169044594447,-235.45704685535296,truth_consistent_slack_oracle,Solve_Succeeded,0.11592108302284032,True,True,0.0,0.0,0.0,,none,0.5,2.5791260449504296e-09,1.366202312913401e-08,55.65852376886932,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_018/oracle_trajectory.csv,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_018/oracle_metrics.json
moderate,19,74,1.1183134805316721,1.006216285054576,1.0705616557853193,1.0676795752504191,0.19769333141785744,0.5,1.1917964336129016e-05,0.0011225632749167018,0.0029069938956347873,-0.02665816704073959,0.046839919690817626,0.018480748419728115,583.4377275653063,truth_consistent_slack_oracle,Solve_Succeeded,0.13476016698405147,False,True,0.002967408717490988,0.0,6.0,10.0,high,0.5,0.0029673987174922587,9.67169248696725e-08,4015.7844339987173,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_019/oracle_trajectory.csv,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_019/oracle_metrics.json
moderate,20,75,0.9139875044578593,0.8959387140489857,1.0657001810096507,1.0737327034910578,0.32660754081032123,0.5,0.002780587108406105,0.0014209251648662179,0.0026003339509684193,-0.04962194048796585,0.04481641846756807,0.012921811856248388,-2386.6701131490518,truth_consistent_slack_oracle,Solve_Succeeded,0.1120455419877544,True,True,0.0,0.0,0.0,,none,0.5766075408103213,2.0763988961792524e-09,1.7337237763914863e-08,109.23110082438062,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_020/oracle_trajectory.csv,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_020/oracle_metrics.json
moderate,21,76,1.0918994527472485,1.1456569918527775,1.0729598965872842,1.0883542027304094,0.027339897603273426,0.0,0.001685194547250858,0.0014501173465736876,0.0006696134183233629,-0.0395062865374655,0.04033680011171257,-0.017731595044067232,-875.2161367207173,truth_consistent_slack_oracle,Solve_Succeeded,0.10945708304643631,True,True,0.0,0.0,0.0,,none,0.5,9.629299381670412e-10,1.1187109341495513e-08,67.53787897538344,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_021/oracle_trajectory.csv,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_021/oracle_metrics.json
moderate,22,77,1.0857796925627479,1.0153515867400944,0.8975552787813753,0.9337812825911712,0.1115415692187238,0.5,0.0024039020389270815,0.00013620245998751984,0.0011208731782933932,-0.026260312992074958,0.05172342929136724,0.004159001575210968,-1846.2608359159615,truth_consistent_slack_oracle,Solve_Succeeded,0.17413620906881988,False,True,0.02018610287289163,0.0,17.0,6.0,high,0.5,0.020186092872892154,6.185360471247773e-07,430826.8563642224,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_022/oracle_trajectory.csv,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_022/oracle_metrics.json
moderate,23,78,0.9756589263490966,1.1245405911368507,1.007246608108957,1.134851281548517,0.13031717770780502,0.5,0.0011392070187764415,0.00048621161205069274,0.0017426124876274104,-0.029804071435873502,0.05355477431251187,-0.010069598855220723,1069.821977190234,truth_consistent_slack_oracle,Solve_Succeeded,0.20448079204652458,False,False,0.03215757957518586,0.0,23.0,6.0,high,0.5,0.03215756957518621,2.4469213469457227e-07,1516777.13116266,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_023/oracle_trajectory.csv,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_023/oracle_metrics.json
moderate,24,79,1.1258807162130564,0.8714867820419543,1.1692325416008753,0.814298624388897,0.030615126601149022,1.0,0.0014331024173763914,0.0005624939809914936,0.0003099352822662108,-0.031360551256634006,0.04678513740266193,0.0047522221300642055,-1944.0632265947372,truth_consistent_slack_oracle,Solve_Succeeded,0.1193638340337202,True,True,0.0,0.0,0.0,,none,0.5306151266011491,3.1206347658452572e-09,1.6044383418554294e-08,148.4286205766213,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_024/oracle_trajectory.csv,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_024/oracle_metrics.json
moderate,25,80,1.070947399403036,0.8555256390479212,0.8146534837506187,1.0378828917129967,0.20499977511052314,0.5,0.0019144016567179732,0.0011632872232517032,0.0022357993679349695,-0.04535989636464315,0.05340989691901187,-0.007916318535278829,544.330522248232,truth_consistent_slack_oracle,Solve_Succeeded,0.1858914999756962,False,False,0.0298868472489216,0.0,22.0,6.0,high,0.5,0.029886837248922066,5.174302084741147e-07,1237021.6556507829,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_025/oracle_trajectory.csv,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_025/oracle_metrics.json
moderate,26,81,0.9802339873316895,0.9134884968893588,1.1648149276757236,1.04418569509029,0.15559087089782156,0.5,0.0013961163455871609,0.00014605960068973345,0.0008346915058060365,-0.04864821677376013,0.05486981482024496,0.008688344072817334,-455.64376166496834,truth_consistent_slack_oracle,Solve_Succeeded,0.18631045799702406,False,False,0.03433002833170762,0.0,23.0,6.0,high,0.5,0.03433001833170809,5.346006615370177e-07,1693829.1110953223,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_026/oracle_trajectory.csv,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_026/oracle_metrics.json
moderate,27,82,1.1492916257155794,1.1064363846779492,0.8870745597343758,1.1920581651836084,0.14300614316998417,1.0,0.0006719056401975203,0.00045800719272121265,0.0028565153805100423,-0.04565584646376688,0.04691304339545236,-0.005618167484813594,1813.3132180288903,truth_consistent_slack_oracle,Solve_Succeeded,0.14430700009688735,False,True,0.0039745728919048096,0.0,7.0,10.0,high,0.6430061431699842,0.00397456289190841,1.2265546130267128e-07,8355.492114410681,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_027/oracle_trajectory.csv,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_027/oracle_metrics.json
moderate,28,83,0.9449242959553005,0.8633814579028736,1.0516372919364707,0.9229924153907075,0.11996233528314156,0.5,0.0026639599709632816,0.0006104370627121915,0.001115212476995282,-0.03212549070948847,0.04635240003745487,0.002587753645178541,972.8012383179068,truth_consistent_slack_oracle,Solve_Succeeded,0.12354649999178946,False,True,0.0011514643215775333,0.0,2.0,12.0,high,0.5,0.0011514543215808233,4.8500906466063265e-08,570.9106240879585,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_028/oracle_trajectory.csv,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_028/oracle_metrics.json
