tier,scenario_id,seed,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,actuator_lag_s,actuator_delay_s,sensor_noise_alpha_rad,sensor_noise_q_radps,sensor_noise_theta_rad,initial_alpha_error_rad,initial_q_error_radps,initial_theta_error_rad,external_disturbance_moment_nm,controller,rms_alpha_error_rad,max_alpha_error_rad,rms_pitch_rate_error_radps,control_effort_abs_rad_s,flap_saturation_fraction,flap_rate_saturation_fraction,alpha_violation_count,pitch_rate_violation_count,solver_failure,unstable_response,failure_label,residual_gain,use_residual_model,use_tightened_corridor,trajectory_csv,metrics_json
moderate,0,55,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,0.17246008473590804,0.5,0.002112697278039903,0.001420628984150504,0.00020335583094168374,-0.03526714350779047,0.043317852661921875,0.00407667571118842,-2288.5715472335214,nominal_nmpc,0.07106338585816915,0.1138106458000683,0.03739051394753709,48.574935376234855,0.0,0.1526479750778816,123,0,False,False,alpha_corridor_violation,0.0,False,False,outputs/phase12_learning_augmented_mpc/moderate/scenario_000/nominal_nmpc/trajectory.csv,outputs/phase12_learning_augmented_mpc/moderate/scenario_000/nominal_nmpc/metrics.json
moderate,0,55,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,0.17246008473590804,0.5,0.002112697278039903,0.001420628984150504,0.00020335583094168374,-0.03526714350779047,0.043317852661921875,0.00407667571118842,-2288.5715472335214,residual_corrected_nmpc,0.07113299089226553,0.11384472794682277,0.03737201743021389,48.86002923977009,0.0,0.1526479750778816,123,0,False,False,alpha_corridor_violation,1.0,True,False,outputs/phase12_learning_augmented_mpc/moderate/scenario_000/residual_corrected_nmpc/trajectory.csv,outputs/phase12_learning_augmented_mpc/moderate/scenario_000/residual_corrected_nmpc/metrics.json
moderate,0,55,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,0.17246008473590804,0.5,0.002112697278039903,0.001420628984150504,0.00020335583094168374,-0.03526714350779047,0.043317852661921875,0.00407667571118842,-2288.5715472335214,residual_corrected_tightened_nmpc,0.06959955281136042,0.11384472797880937,0.03788346266213338,52.30058620200687,0.0,0.08411214953271028,123,0,False,False,alpha_corridor_violation,1.0,True,True,outputs/phase12_learning_augmented_mpc/moderate/scenario_000/residual_corrected_tightened_nmpc/trajectory.csv,outputs/phase12_learning_augmented_mpc/moderate/scenario_000/residual_corrected_tightened_nmpc/metrics.json
moderate,1,56,1.067837814989062,0.8550708443435929,1.1923204271077104,1.08984168484952,0.19047425565328424,0.0,0.001819893511792798,0.0005389072581292835,0.0017670007129131713,-0.042169232542380676,0.037161912636399425,0.003739433990046943,1888.1114567916945,nominal_nmpc,0.051334673603402506,0.08796379781732447,0.040329243734711466,47.17383852639118,0.0,0.08099688473520249,65,0,False,False,alpha_corridor_violation,0.0,False,False,outputs/phase12_learning_augmented_mpc/moderate/scenario_001/nominal_nmpc/trajectory.csv,outputs/phase12_learning_augmented_mpc/moderate/scenario_001/nominal_nmpc/metrics.json
moderate,1,56,1.067837814989062,0.8550708443435929,1.1923204271077104,1.08984168484952,0.19047425565328424,0.0,0.001819893511792798,0.0005389072581292835,0.0017670007129131713,-0.042169232542380676,0.037161912636399425,0.003739433990046943,1888.1114567916945,residual_corrected_nmpc,0.05151001981840072,0.08800242376944048,0.0402874937675945,47.40183854389829,0.0,0.09345794392523364,65,0,False,False,alpha_corridor_violation,1.0,True,False,outputs/phase12_learning_augmented_mpc/moderate/scenario_001/residual_corrected_nmpc/trajectory.csv,outputs/phase12_learning_augmented_mpc/moderate/scenario_001/residual_corrected_nmpc/metrics.json
moderate,1,56,1.067837814989062,0.8550708443435929,1.1923204271077104,1.08984168484952,0.19047425565328424,0.0,0.001819893511792798,0.0005389072581292835,0.0017670007129131713,-0.042169232542380676,0.037161912636399425,0.003739433990046943,1888.1114567916945,residual_corrected_tightened_nmpc,0.04856970379132354,0.0879972448899107,0.04107394485033765,49.96733733324944,0.0,0.1308411214953271,65,0,False,False,alpha_corridor_violation,1.0,True,True,outputs/phase12_learning_augmented_mpc/moderate/scenario_001/residual_corrected_tightened_nmpc/trajectory.csv,outputs/phase12_learning_augmented_mpc/moderate/scenario_001/residual_corrected_tightened_nmpc/metrics.json
moderate,2,57,1.0552500109466625,0.9904935904652705,1.1364934679007512,0.9361279231434767,0.13783755517640428,0.5,0.0012876544132459234,0.0010895091536253408,0.0008726206962965641,-0.03988767505303118,0.0403012765601704,-0.0006989770439637954,2243.631407086245,nominal_nmpc,0.04389948414149257,0.07092895074242478,0.042837431645270034,47.751200497205524,0.0,0.11526479750778816,0,0,False,False,success,0.0,False,False,outputs/phase12_learning_augmented_mpc/moderate/scenario_002/nominal_nmpc/trajectory.csv,outputs/phase12_learning_augmented_mpc/moderate/scenario_002/nominal_nmpc/metrics.json
moderate,2,57,1.0552500109466625,0.9904935904652705,1.1364934679007512,0.9361279231434767,0.13783755517640428,0.5,0.0012876544132459234,0.0010895091536253408,0.0008726206962965641,-0.03988767505303118,0.0403012765601704,-0.0006989770439637954,2243.631407086245,residual_corrected_nmpc,0.04414036485998156,0.07095279625576939,0.042786657223787446,48.15619694629833,0.0,0.11214953271028037,0,0,False,False,success,1.0,True,False,outputs/phase12_learning_augmented_mpc/moderate/scenario_002/residual_corrected_nmpc/trajectory.csv,outputs/phase12_learning_augmented_mpc/moderate/scenario_002/residual_corrected_nmpc/metrics.json
moderate,2,57,1.0552500109466625,0.9904935904652705,1.1364934679007512,0.9361279231434767,0.13783755517640428,0.5,0.0012876544132459234,0.0010895091536253408,0.0008726206962965641,-0.03988767505303118,0.0403012765601704,-0.0006989770439637954,2243.631407086245,residual_corrected_tightened_nmpc,0.04073703142513624,0.07095279627242063,0.04351073027632385,50.68908610087412,0.0,0.11838006230529595,0,0,False,False,success,1.0,True,True,outputs/phase12_learning_augmented_mpc/moderate/scenario_002/residual_corrected_tightened_nmpc/trajectory.csv,outputs/phase12_learning_augmented_mpc/moderate/scenario_002/residual_corrected_tightened_nmpc/metrics.json
moderate,3,58,0.9427035401698733,1.1139500827692312,0.8972365808628847,0.8833681862461437,0.2960345266189571,1.0,0.0009159976169144701,0.00020772178158287347,0.001579716448980541,-0.02224949176908563,0.04723591983330609,-0.009198019703474421,2252.732574594433,nominal_nmpc,0.03672211706006309,0.07746894545257221,0.04825628979515177,51.39421465635446,0.0,0.04984423676012461,21,0,False,False,alpha_corridor_violation,0.0,False,False,outputs/phase12_learning_augmented_mpc/moderate/scenario_003/nominal_nmpc/trajectory.csv,outputs/phase12_learning_augmented_mpc/moderate/scenario_003/nominal_nmpc/metrics.json
