time_s,alpha_rad,q_radps,theta_rad,delta_flap_rad,pitching_moment_nm,cm,flap_effectiveness,altitude_m,velocity_mps,mach,density_kgm3,dynamic_pressure_pa
0.0,0.11,0.0,0.08,0.0,-103.48820027554068,-0.023144311645248276,0.41769925514923995,78000.0,6100.0,20.673199462497386,9.388083120263568e-06,174.6652864525037
0.05,0.1087964262672114,-2.0552713423817144e-07,0.0799999948497473,0.0,-102.03930047000613,-0.02268537047319353,0.41815826790595517,77954.16666666667,6096.041666666667,20.65978447650738,9.456180934034349e-06,175.70399299053184
0.1,0.10760602217527393,-4.081586541020006e-07,0.07999997949554641,0.0,-100.59257919827179,-0.022231546899253087,0.41861752988329914,77908.33333333333,6092.083333333333,20.64636949051737,9.524772705110479e-06,176.7487275059797
0.15000000000000002,0.10642864364769496,-6.078988764558135e-07,0.07999995408206978,0.0,-99.1479962631138,-0.02178278388789321,0.4190770410812716,77862.5,6088.125,20.632954504527362,9.593862016482408e-06,177.79952387906047
0.2,0.10526414818421839,-8.047520378054535e-07,0.07999991875377604,0.0,-97.70551150310843,-0.02133902503903393,0.4195368014998727,77816.66666666667,6084.166666666667,20.61953951853735,9.66345247713042e-06,178.85641617218707
0.25,0.10411239484358108,-9.987222943688905e-07,0.07999987365491401,0.0,-96.26508479164235,-0.020900214580971816,0.41999681113910253,77770.83333333333,6080.208333333333,20.60612453254734,9.733547722213004e-06,179.91943863088702
0.30000000000000004,0.10297324422645777,-1.1898137221448564e-06,0.07999981892952669,0.0,-94.82667603592522,-0.020466297363381555,0.4204570699989608,77725.0,6076.25,20.592709546557334,9.804151413256747e-06,180.9886256847245
0.35000000000000003,0.10184655845859271,-1.3780303169795034e-06,0.07999975472145529,0.0,-93.39024517600419,-0.020037218850395437,0.42091757807944774,77679.16666666667,6072.291666666667,20.579294560567327,9.875267238347753e-06,182.06401194822845
0.4,0.10073220117411569,-1.5633759946310932e-06,0.07999968117434322,0.0,-91.9557521837766,-0.019612925113759932,0.4213783353805634,77633.33333333333,6068.333333333333,20.565879574577316,9.946898912324128e-06,183.14563222181997
0.45,0.09963003749904069,-1.7458545908327112e-06,0.07999959843164013,0.0,-90.5231570620047,-0.0191933628260684,0.42183934190230754,77587.5,6064.375,20.55246458858731,1.001905017697005e-05,184.23352149274672
0.5,0.09853993403494503,-1.9254698613530127e-06,0.07999950663660585,0.0,-89.09241984333245,-0.01877847925406921,0.4223005976446803,77541.66666666667,6060.416666666667,20.539049602597302,1.0091724801211366e-05,185.3277149360237
0.55,0.09746175884282707,-2.102225482055001e-06,0.07999940593231444,0.0,-87.6635005893001,-0.018368222252048295,0.4227621026076818,77495.83333333333,6056.458333333333,20.52563461660729,1.0164926581312318e-05,186.42824791537325
0.6000000000000001,0.09639538142714045,-2.2761250489528387e-06,0.07999929646165817,0.0,-86.2363593893616,-0.017962540255285486,0.4232238567913118,77450.0,6052.5,20.512219630617285,1.0238659341073866e-05,187.53515598417226
0.65,0.09534067272000309,-2.4471720782666894e-06,0.07999917836735147,0.0,-84.81095635990228,-0.017561382273583576,0.4236858601955704,77404.16666666667,6048.541666666667,20.498804644627278,1.0312926932033512e-05,188.64847488640464
0.7000000000000001,0.09429750506557884,-2.6153700064756016e-06,0.07999905179193499,0.0,-83.38725164325686,-0.017164697884869556,0.4241481128204577,77358.33333333333,6044.583333333333,20.485389658637267,1.038773323366644e-05,189.76824055761557
0.75,0.09326575220463007,-2.7807221903684243e-06,0.07999891687777952,0.0,-81.9652054067276,-0.016772437228866996,0.42461061466597366,77312.5,6040.625,20.471974672647256,1.046308215358811e-05,190.89448912587054
0.8,0.09224528925923922,-2.943231907092762e-06,0.07999877376709003,0.0,-80.54477784160453,-0.016384551000838982,0.42507336573211807,77266.66666666667,6036.666666666667,20.45855968665725,1.0538977627758478e-05,192.02725691272036
0.8500000000000001,0.0912359927176975,-3.1029023542019693e-06,0.0799986226019096,0.0,-79.12592916218517,-0.016000990445400595,0.4255363660188913,77220.83333333333,6032.708333333333,20.44514470066724,1.0615423620687598e-05,193.1665804341699
0.9,0.0902377404195589,-3.2597366497001877e-06,0.07999846352412343,0.0,-77.70861960479411,-0.015621707350400391,0.42599961552629295,77175.0,6028.75,20.431729714677232,1.0692424125642566e-05,194.3124964016477
0.9500000000000001,0.08925041154085767,-3.413737832085419e-06,0.07999829667546281,0.0,-76.29280942680506,-0.015246654040869966,0.42646311425432315,77129.16666666667,6024.791666666667,20.418314728687225,1.0769983164856266e-05,195.46504172298546
1.0,0.08827388657948762,-3.564908860390646e-06,0.07999812219750908,0.0,-74.87845890566247,-0.014875783373040852,0.4269268622029822,77083.33333333333,6020.833333333333,20.404899742697214,1.0848104789737492e-05,196.62425350339953
1.05,0.08730804734074128,-3.7132526142229958e-06,0.07999794023169764,0.0,-73.46552833790253,-0.01450904872842814,0.4273908593722698,77037.5,6016.875,20.391484756707207,1.0926793081082389e-05,197.7901690464731
1.1,0.08635277692300729,-3.858771893800946e-06,0.07999775091932186,0.0,-72.05397803817674,-0.014146404007979826,0.4278551057621859,76991.66666666667,6012.916666666667,20.3780697707172,1.1006052149287817e-05,198.96282585514945
1.1500000000000001,0.0854079597036242,-4.0014694199895774e-06,0.07999755440153712,0.0,-70.64376833827494,-0.01378780362629142,0.4283196013727308,76945.83333333333,6008.958333333333,20.36465478472719,1.1085886134566039e-05,200.1422616327259
1.2000000000000002,0.08447348132488919,-4.141347834333876e-06,0.07999735081936471,0.0,-69.2348595861479,-0.013433202505884928,0.4287843462039042,76900.0,6005.0,20.35123979873718,1.1166299207160836e-05,201.32851428384996
1.25,0.08354922868021963,-4.278409699090076e-06,0.07999714031369583,0.0,-67.82721214493246,-0.013082556071551569,0.4292493402557061,76854.16666666667,6001.041666666667,20.337824812747172,1.1247295567565522e-05,202.5216219155251
1.3,0.08263508990046625,-4.412657497255059e-06,0.07999692302529555,0.0,-66.42078639197506,-0.012735820244757388,0.4297145835281368,76808.33333333333,5997.083333333333,20.32440982675716,1.1328879446742302e-05,203.72162283811747
1.35,0.08173095434037585,-4.5440936325937955e-06,0.07999669909480679,0.0,-65.01554271785677,-0.012392951438111303,0.430180076021196,76762.5,5993.125,20.310994840767155,1.1411055106343218e-05,204.928555566367
1.4000000000000001,0.08083671256520221,-4.672720429664842e-06,0.07999646866275424,0.0,-63.61144152541862,-0.012053906549894616,0.4306458177348839,76716.66666666667,5989.166666666667,20.297579854777148,1.1493826838932864e-05,206.1424588204053
1.4500000000000002,0.07995225633746351,-4.7985401338438825e-06,0.07999623186954835,0.0,-62.20844322878707,-0.011718642958651519,0.43111180866920046,76670.83333333333,5985.208333333333,20.284164868787137,1.1577198968212589e-05,207.36337152677618
1.5,0.07907747860384455,-4.9215549113453295e-06,0.07999598885548928,0.0,-60.806508252399496,-0.011387118517839823,0.4315780488241454,76625.0,5981.25,20.27074988279713,1.1661175849246239e-05,208.59133281945935
1.55,0.0782122734822422,-5.0417668492419694e-06,0.07999573976077086,0.0,-59.40559703003115,-0.011059291550541177,0.4320445381997191,76579.16666666667,5977.291666666667,20.257334896807123,1.174576186868785e-05,209.82638204090372
1.6,0.07735653624895276,-5.159177955482666e-06,0.07999548472548454,0.0,-58.005670003821415,-0.010735120844230318,0.4325112767959215,76533.33333333333,5973.333333333333,20.243919910817112,1.1830961445010686e-05,211.06855874305992
1.6500000000000001,0.07651016332599932,-5.273790158908113e-06,0.07999522388962335,0.0,-56.60668762330002,-0.010414565645602435,0.4329782646127524,76487.5,5969.375,20.230504924827105,1.1916779028737932e-05,212.3179026884178
1.7000000000000002,0.0756730522685978,-5.3856053092646455e-06,0.07999495739308586,0.0,-55.20861034441521,-0.01009758565545823,0.43344550165021195,76441.66666666667,5965.416666666667,20.217089938837095,1.2003219102675385e-05,213.57445385105305
1.75,0.07484510175276018,-5.494625177216102e-06,0.07999468537568012,0.0,-53.8113986285604,-0.009784141023645838,0.4339129879083002,76395.83333333333,5961.458333333333,20.203674952847084,1.2090286182145498e-05,214.83825241767366
1.8,0.07402621156303325,-5.600851454353743e-06,0.07999440797712765,0.0,-52.415012941602036,-0.00947419234405919,0.43438072338701694,76350.0,5957.5,20.190259966857077,1.21779848152232e-05,216.10933878867192
1.85,0.07321628258037155,-5.704285753204226e-06,0.07999412533706732,0.0,-51.019413752907795,-0.009167700649691933,0.4348487080863623,76304.16666666667,5953.541666666667,20.17684498086707,1.2266319582973652e-05,217.38775357918462
1.9000000000000001,0.07241521677014295,-5.8049296072356315e-06,0.0799938375950594,0.0,-49.62456153437421,-0.008864627407746526,0.43531694200633636,76258.33333333333,5949.583333333333,20.16342999487706,1.2355295099691375e-05,218.67353762015222
1.9500000000000002,0.07162291717026553,-5.9027844708615564e-06,0.07999354489058944,0.0,-48.23041675945507,-0.00856493451479778,0.43578542514693897,76212.5,5945.625,20.150015008887053,1.2444916013141297e-05,219.96673195938558
2.0,0.07083928787947409,-5.99785171944325e-06,0.07999324736307223,0.0,-46.836939902190025,-0.008268584292010179,0.43625415750817015,76166.66666666667,5941.666666666667,20.136600022897046,1.2535187004801634e-05,221.267377862639
2.0500000000000003,0.07006423404571518,-6.09013264928982e-06,0.0799929451518558,0.0,-45.4440914362333,-0.007975539480408574,0.4367231390900301,76120.83333333333,5937.708333333333,20.123185036907035,1.262611279010839e-05,222.57551681468505
2.1,0.06929766185466901,-6.1796284776564835e-06,0.07999263839622532,0.0,-44.051831833882154,-0.007685763236201451,0.4371923698925185,76075.0,5933.75,20.109770050917028,1.2717698118701594e-05,223.89119052039436
2.15,0.06853947851839688,-6.26634034274089e-06,0.07999232723540708,0.0,-42.66012156510598,-0.007399219126156297,0.4376618499156355,76029.16666666667,5929.791666666667,20.09635506492702,1.2809947774673488e-05,225.2144409058216
2.2,0.06778959226411292,-6.350269303677489e-06,0.07999201180857245,0.0,-41.268921096575774,-0.007115871123026474,0.4381315791593813,75983.33333333333,5925.833333333333,20.08294007893701,1.2902866576818568e-05,226.5453101192982
2.25,0.0670479123230786,-6.431416340529965e-06,0.07999169225484179,0.0,-39.878190890692295,-0.006835683601029031,0.43860155762375563,75937.5,5921.875,20.069525092947,1.2996459378884933e-05,227.88384053252085
2.3000000000000003,0.06631434891961872,-6.509782354281724e-06,0.07999136871328845,0.0,-38.48789140461595,-0.006558621331372814,0.43907178530875846,75891.66666666667,5917.916666666667,20.056110106956993,1.3090731069828157e-05,229.23007474165613
2.35,0.0655888132602576,-6.585368166824445e-06,0.07999104132294271,0.0,-37.097983089296065,-0.0062846494778364455,0.43954226221439013,75845.83333333333,5913.958333333333,20.042695120966982,1.3185686574066565e-05,230.58405556844332
2.4000000000000004,0.06487121752297412,-6.658174520944683e-06,0.07999071022279575,0.0,-35.70842638849984,-0.006013733592395503,0.4400129883406502,75800.0,5910.0,20.029280134976975,1.3281330851738386e-05,231.94582606130177
2.45,0.06416147484657424,-6.7282020803085395e-06,0.07999037555180355,0.0,-34.319181737841944,-0.005745839610898376,0.4404839636875389,75754.16666666667,5906.041666666667,20.01586514898697,1.3377668898960976e-05,233.31542949644668
2.5,0.06345949932017989,-6.795451429444383e-06,0.07999003744889091,0.0,-32.930209563813975,-0.005480933848790319,0.4409551882550564,75708.33333333333,5902.083333333333,20.002450162996958,1.3474705748091815e-05,234.69290937900792
2.5500000000000003,0.06276520597283278,-6.859923073723631e-06,0.07998969605295538,0.0,-31.541470282813435,-0.005218982996885101,0.44142666204320236,75662.5,5898.125,19.98903517700695,1.3572446467991175e-05,236.0783094441503
2.6,0.06207851076321197,-6.921617439339596e-06,0.0799893515028712,0.0,-30.152924300173424,-0.004959954117183727,0.44189838505197687,75616.66666666667,5894.166666666667,19.975620191016944,1.367089616428713e-05,237.471673658205
2.6500000000000004,0.061399330569463895,-6.980534873284383e-06,0.07998900393749332,0.0,-28.764532009191736,-0.004703814638739724,0.4423703572813802,75570.83333333333,5890.208333333333,19.962205205026933,1.3770059979642159e-05,238.8730462198013
2.7,0.060727583179143695,-7.036675643323847e-06,0.0799886534956613,0.0,-27.37625379016017,-0.0044505323535705054,0.442842578731412,75525.0,5886.25,19.948790219036926,1.3869943094021721e-05,240.28247156100366
2.75,0.06006318727926655,-7.090039937970611e-06,0.07998830031620327,0.0,-25.988050009393692,-0.004200075412614198,0.44331504940207245,75479.16666666667,5882.291666666667,19.935375233046916,1.3970550724964964e-05,241.6999943484561
2.8000000000000003,0.05940606244646788,-7.140627866455145e-06,0.07998794453793996,0.0,-24.599881018259573,-0.003952412321731563,0.4437877692933616,75433.33333333333,5878.333333333333,19.921960247056905,1.4071888127857195e-05,243.12565948452894
2.85,0.05875612913727117,-7.188439458694893e-06,0.07998758629968859,0.0,-23.211707152206294,-0.0037075119377524006,0.44426073840527924,75387.5,5874.375,19.908545261066898,1.4173960596204375e-05,244.5595121084708
2.9000000000000004,0.058113308678462275,-7.2334746652614725e-06,0.07998722574026688,0.0,-21.823488729792604,-0.0034653434645659834,0.4447339567378255,75341.66666666667,5870.416666666667,19.89513027507689,1.4276773461909761e-05,246.00159759756812
2.95,0.05747752325756902,-7.275733357345915e-06,0.079986862998497,0.0,-20.435186051715963,-0.003225876449255025,0.44520742429100046,75295.83333333333,5866.458333333333,19.88171528908688,1.4380332095552289e-05,247.45196156830505
