tier,controller,scenario_count,strict_success_count,strict_success_rate,controlled_recovery_count,controlled_recovery_rate,oracle_feasible_count,oracle_feasible_rate,mean_rms_alpha_error_rad,median_alpha_miss_rad
moderate,oracle_imitation_policy,6,4,0.6666666666666666,6,1.0,4,0.6666666666666666,0.04083295207409732,0.0
stress,oracle_imitation_policy,6,2,0.3333333333333333,4,0.6666666666666666,3,0.5,0.06540768135715591,0.015229044720303342
