tier,scenario_id,seed,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,actuator_lag_s,actuator_delay_s,sensor_noise_alpha_rad,sensor_noise_q_radps,sensor_noise_theta_rad,initial_alpha_error_rad,initial_q_error_radps,initial_theta_error_rad,external_disturbance_moment_nm,controller,rms_alpha_error_rad,max_alpha_error_rad,rms_pitch_rate_error_radps,control_effort_abs_rad_s,flap_saturation_fraction,flap_rate_saturation_fraction,alpha_violation_count,pitch_rate_violation_count,solver_failure,unstable_response,failure_label,first_alpha_violation_time_s,first_alpha_violation_side,max_alpha_corridor_miss_rad,max_q_corridor_miss_radps,alpha_violation_duration_s,q_violation_duration_s,first_alpha_violation_before_three_updates,mean_solve_time_s,p95_solve_time_s,controlled_recovery,controlled_recovery_max_alpha_miss_rad,controlled_recovery_max_q_miss_radps,oracle_feasible,oracle_near_feasible,oracle_max_alpha_miss_rad,trajectory_csv,metrics_json
moderate,0,55,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,0.17246008473590804,0.5,0.002112697278039903,0.001420628984150504,0.00020335583094168374,-0.03526714350779047,0.043317852661921875,0.00407667571118842,-2288.5715472335214,oracle_imitation_policy,0.03419033276172514,0.053777658220452274,0.04233907755584581,4.023298078565041,0.0,0.037037037037037035,0,0,False,False,success,,none,0.0,0.0,0.0,0.0,False,0.0,0.0,True,0.0,0.0,True,True,0.0,outputs/phase19_oracle_imitation/moderate/scenario_000/trajectory.csv,outputs/phase19_oracle_imitation/moderate/scenario_000/metrics.json
moderate,1,56,1.067837814989062,0.8550708443435929,1.1923204271077104,1.08984168484952,0.19047425565328424,0.0,0.001819893511792798,0.0005389072581292835,0.0017670007129131713,-0.042169232542380676,0.037161912636399425,0.003739433990046943,1888.1114567916945,oracle_imitation_policy,0.022648527970348904,0.04216923254238067,0.03963951028398616,3.154816498395028,0.0,0.024691358024691357,0,0,False,False,success,,none,0.0,0.0,0.0,0.0,False,0.0,0.0,True,0.0,0.0,True,True,0.0,outputs/phase19_oracle_imitation/moderate/scenario_001/trajectory.csv,outputs/phase19_oracle_imitation/moderate/scenario_001/metrics.json
moderate,2,57,1.0552500109466625,0.9904935904652705,1.1364934679007512,0.9361279231434767,0.13783755517640428,0.5,0.0012876544132459234,0.0010895091536253408,0.0008726206962965641,-0.03988767505303118,0.0403012765601704,-0.0006989770439637954,2243.631407086245,oracle_imitation_policy,0.03047995940655422,0.04696499381579766,0.042997093366207766,2.9599789622557635,0.0,0.012345679012345678,0,0,False,False,success,,none,0.0,0.0,0.0,0.0,False,0.0,0.0,True,0.0,0.0,True,True,0.0,outputs/phase19_oracle_imitation/moderate/scenario_002/trajectory.csv,outputs/phase19_oracle_imitation/moderate/scenario_002/metrics.json
moderate,3,58,0.9427035401698733,1.1139500827692312,0.8972365808628847,0.8833681862461437,0.2960345266189571,1.0,0.0009159976169144701,0.00020772178158287347,0.001579716448980541,-0.02224949176908563,0.04723591983330609,-0.009198019703474421,2252.732574594433,oracle_imitation_policy,0.055898994901692096,0.07748764343627304,0.04985615458583031,12.472370538774907,0.0,0.0,21,0,False,False,alpha_corridor_violation,8.5,high,0.007487643436273034,0.0,10.5,0.0,False,0.0,0.0,True,0.007487643436273034,0.0,False,True,0.0041729589779938,outputs/phase19_oracle_imitation/moderate/scenario_003/trajectory.csv,outputs/phase19_oracle_imitation/moderate/scenario_003/metrics.json
moderate,4,59,1.0263241475999092,1.0978198504596506,0.8467775120989001,0.9509718434702744,0.06519182255015281,0.0,1.745874008911086e-05,0.0014589760408944903,0.00031099084968804126,-0.02196446416086214,0.04507563176598882,0.008256747261127528,-1953.0550355784214,oracle_imitation_policy,0.04028379586568547,0.06264061530649354,0.04435408833429189,5.20683595622509,0.0,0.037037037037037035,0,0,False,False,success,,none,0.0,0.0,0.0,0.0,False,0.0,0.0,True,0.0,0.0,True,True,0.0,outputs/phase19_oracle_imitation/moderate/scenario_004/trajectory.csv,outputs/phase19_oracle_imitation/moderate/scenario_004/metrics.json
moderate,5,60,0.9472851438103829,0.8581439175685014,0.8218883549768894,1.1961966085206186,0.3021514856561525,1.0,0.002904553797721493,0.0014873038666191403,0.0011797634968893586,-0.040412614765709766,0.050130858041308214,-0.01917497838311747,339.20421081160555,oracle_imitation_policy,0.06149610153857806,0.08585639322034902,0.051239860775328286,12.848768836877088,0.0,0.0,31,0,False,False,alpha_corridor_violation,7.0,high,0.015856393220349013,0.0,15.5,0.0,False,0.0,0.0,True,0.015856393220349013,0.0,False,True,0.0152312459490095,outputs/phase19_oracle_imitation/moderate/scenario_005/trajectory.csv,outputs/phase19_oracle_imitation/moderate/scenario_005/metrics.json
stress,0,10055,0.8378955015168319,0.8134079790400522,0.7897704751772718,0.6506121034875804,0.25618239868043924,1.5,0.00549036831476468,0.0016894853408081832,0.007680079439061039,-0.004471479429947158,0.06201083925618894,0.04666073176012917,-2194.1579157675574,oracle_imitation_policy,0.10413074476812642,0.13486154472357972,0.06109175081432971,13.307417004456251,0.0,0.037037037037037035,65,0,False,False,alpha_corridor_violation,3.0,high,0.06486154472357972,0.0,32.5,0.0,False,0.0,0.0,False,0.06486154472357972,0.0,False,False,0.0681305725160415,outputs/phase19_oracle_imitation/stress/scenario_000/trajectory.csv,outputs/phase19_oracle_imitation/stress/scenario_000/metrics.json
stress,1,10056,0.9303608946512464,0.8454174308359381,1.2293875720674339,0.6485713174581409,0.6573352173100183,1.0,0.003974919790454923,0.001090421166685319,0.006246505115645126,-0.06077663813443997,0.04369178412569492,0.011423261993863554,-68.50071747811049,oracle_imitation_policy,0.037186723443860654,0.06077663813443997,0.04450450876379698,7.156854576742078,0.0,0.0,0,0,False,False,success,,none,0.0,0.0,0.0,0.0,False,0.0,0.0,True,0.0,0.0,True,True,0.0,outputs/phase19_oracle_imitation/stress/scenario_001/trajectory.csv,outputs/phase19_oracle_imitation/stress/scenario_001/metrics.json
stress,2,10057,0.8866800433930975,0.9276352786236607,0.7499245797839396,0.7309926130233437,0.2586107576985939,1.0,0.004478437066488493,0.0012923100994562892,0.005160534056958272,-0.041606195997913514,0.04669296781546167,-0.02284003464815019,6107.333239994104,oracle_imitation_policy,0.06284850395362611,0.08083098572950767,0.05252495353737877,12.709622519897414,0.0,0.0,31,0,False,False,alpha_corridor_violation,9.0,high,0.010830985729507664,0.0,15.5,0.0,False,0.0,0.0,True,0.010830985729507664,0.0,True,True,0.0005120079689939,outputs/phase19_oracle_imitation/stress/scenario_002/trajectory.csv,outputs/phase19_oracle_imitation/stress/scenario_002/metrics.json
stress,3,10058,0.8400348122237011,0.7368166561589482,1.098880145389692,0.9663426523519489,0.4807149936858969,1.5,0.007381684733804169,0.0039628751550082695,0.0015802535717956004,-0.027669301938465292,0.05848110963791403,0.030446402496627712,-2492.964583448316,oracle_imitation_policy,0.08770821888693445,0.1179173499279911,0.057324866220459694,13.274449527447032,0.0,0.04938271604938271,53,0,False,False,alpha_corridor_violation,4.0,high,0.0479173499279911,0.0,26.5,0.0,False,0.0,0.0,False,0.0479173499279911,0.0,False,False,0.0517083170955011,outputs/phase19_oracle_imitation/stress/scenario_003/trajectory.csv,outputs/phase19_oracle_imitation/stress/scenario_003/metrics.json
stress,4,10059,0.8509073964985324,1.2873305783786486,0.9606049484890203,1.0118767760127751,0.5166991460718621,0.5,0.006164815211880045,0.0011326046514041968,0.004759177439206194,-0.01840710398592175,0.042661375658847187,-0.003392551809463007,821.4320826283194,oracle_imitation_policy,0.036857574713163054,0.056461482693781845,0.04416490158681218,5.787264335345723,0.0,0.0,0,0,False,False,success,,none,0.0,0.0,0.0,0.0,False,0.0,0.0,True,0.0,0.0,True,True,0.0,outputs/phase19_oracle_imitation/stress/scenario_004/trajectory.csv,outputs/phase19_oracle_imitation/stress/scenario_004/metrics.json
stress,5,10060,0.9630926665140382,1.1606808963757862,1.2216221031121512,0.9657950551141605,0.3224799759664272,1.0,0.006069995815700608,0.0016087017017584922,0.0017684969281546899,-0.05160326416450517,0.051596152396489146,0.014929206449208754,-769.1851361540372,oracle_imitation_policy,0.06371432237722478,0.08962710371109903,0.05173546811457859,12.718745433134046,0.0,0.024691358024691357,33,0,False,False,alpha_corridor_violation,7.0,high,0.01962710371109902,0.0,16.5,0.0,False,0.0,0.0,True,0.01962710371109902,0.0,False,True,0.0208703962298794,outputs/phase19_oracle_imitation/stress/scenario_005/trajectory.csv,outputs/phase19_oracle_imitation/stress/scenario_005/metrics.json
