tier,scenario_id,seed,controller,time_s,alpha_rad,q_radps,theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,alpha_error_rad,q_error_rad,theta_error_rad,delta_flap_rad,delta_flap_raw_rad,delta_flap_rate_radps,flap_saturated,flap_rate_saturated,solver_status,solve_time_s,solver_failure,actuator_tau_prediction_s,corridor_violation,oracle_near_feasible,alpha_error_to_center_rad,alpha_margin_low_rad,alpha_margin_high_rad,dynamic_pressure_scaled,mach_scaled,actuator_tau_s
moderate,0,55,slack_oracle,0.0,0.0847328564922095,0.0433026500252031,0.0840766757111884,0.12,-1.5202636718752991e-05,0.08,0.0499999999999999,0.19,-0.08,0.08,-0.0352671435077904,0.0433178526619218,0.0040766757111884,0.0,0.1799999840483884,0.0,False,False,oracle_solution,0.0,False,0.5,False,True,-0.03526714350779045,0.034732856492209606,0.1052671435077905,0.0,0.0,0.5
moderate,0,55,slack_oracle,1.0,0.1068684469299311,0.0432995271683248,0.1273781645603934,0.1200917352537722,-6.052490234374763e-05,0.079969658203125,0.0500917352537722,0.1900917352537723,-0.08,0.08,-0.0132232883238411,0.0433600520706686,0.0474085063572684,0.1199999893655923,0.3499998987904713,0.0,False,False,oracle_solution,0.0,False,0.5,False,True,-0.013223288323841148,0.05677671167615889,0.0832232883238412,0.0,0.0,0.5
moderate,0,55,slack_oracle,2.0,0.1246289083480891,0.043293971733329,0.1706753931028982,0.1203635116598079,-0.0001203198242187,0.079879140625,0.0503635116598079,0.1903635116598079,-0.08,0.08,0.0042653966882812,0.0434142915575478,0.0907962524778982,0.2733332623155116,0.3499999811012286,0.0,False,False,oracle_solution,0.0,False,0.5,False,True,0.0042653966882812006,0.0742653966882812,0.06573460331171879,0.0,0.0,0.5
moderate,0,55,slack_oracle,3.0,0.1388762730488541,0.0432872513512448,0.2139661904379948,0.1208101851851851,-0.0001793530273437,0.079729208984375,0.0508101851851851,0.1908101851851852,-0.08,0.08,0.0180660878636689,0.0434666043785886,0.1342369814536197,0.3244444081726562,0.349999979610284,0.0,False,False,oracle_solution,0.0,False,0.5,False,True,0.018066087863668964,0.08806608786366901,0.051933912136331084,0.0,0.0,0.5
moderate,0,55,slack_oracle,4.0,0.150303661379834,0.0432798500309767,0.2572498239918328,0.1214266117969821,-0.0002376245117187,0.079520625,0.0514266117969821,0.1914266117969821,-0.08,0.08,0.0288770495828518,0.0435174745426955,0.1777291989918328,0.3414814557977414,0.3499999778294005,0.0,False,False,oracle_solution,0.0,False,0.5,False,True,0.028877049582851907,0.0988770495828519,0.041122950417148085,0.0,0.0,0.5
moderate,0,55,slack_oracle,5.0,0.159467502659427,0.0432719770000535,0.3005257819320208,0.1222076474622771,-0.0002951342773437,0.079254150390625,0.052207647462277,0.1922076474622771,-0.08,0.08,0.0372598551971499,0.0435671112773973,0.2212716315413958,0.3471604704855142,0.3499999757268698,0.0,False,False,oracle_solution,0.0,False,0.5,False,True,0.03725985519714996,0.10725985519715,0.03274014480285009,0.0,0.0,0.5
moderate,0,55,slack_oracle,6.0,0.1668144432999687,0.0432637388598319,0.343793668182124,0.1231481481481481,-0.0003518823242187,0.078930546875,0.0531481481481481,0.1931481481481481,-0.08,0.08,0.0436662951518205,0.0436156211840507,0.264863121307124,0.3490534739797513,0.3499999732560779,0.0,False,False,oracle_solution,0.0,False,0.5,False,True,0.043666295151820606,0.1136662951518206,0.0263337048481794,0.0,0.0,0.5
moderate,0,55,slack_oracle,7.0,0.1727029891483095,0.0432551991715813,0.3870531575181388,0.1242429698216735,-0.0004078686523437,0.078550576171875,0.0542429698216735,0.1942429698216735,-0.08,0.08,0.048460019326636,0.0436630678239251,0.3085025813462638,0.3496844734973024,0.3499999703522032,0.0,False,False,oracle_solution,0.0,False,0.5,False,True,0.048460019326636,0.118460019326636,0.02153998067336399,0.0,0.0,0.5
moderate,0,55,slack_oracle,8.0,0.1774208917389647,0.0432464000978045,0.4303039726964016,0.1254869684499314,-0.0004630932617187,0.078115,0.0554869684499313,0.1954869684499314,-0.08,0.08,0.0519339232890332,0.0437094933595233,0.3521889726964016,0.3498948047339029,0.3499999669266991,0.0,False,False,oracle_solution,0.0,False,0.5,False,True,0.051933923289033346,0.1219339232890334,0.018066076710966716,0.0,0.0,0.5
moderate,0,55,slack_oracle,9.0,0.1811991085071215,0.0432373710266078,0.4735458705139744,0.126875,-0.0005175561523437,0.077624580078125,0.0568749999999999,0.196875,-0.08,0.08,0.0543241085071215,0.0437549271789515,0.3959212904358494,0.3499649128624337,0.3499999628585954,0.0,False,False,oracle_solution,0.0,False,0.5,False,True,0.05432410850712155,0.12432410850712161,0.015675891492878485,0.0,0.0,0.5
