tier,scenario_id,seed,initial_alpha_rad,initial_q_radps,initial_alpha_dot_radps,earliest_linear_boundary_time_s,actuator_delay_plus_lag_s,delay_limited_initial_condition,early_open_loop_alpha_miss_rad,early_best_emergency_alpha_miss_rad,early_feasible_under_emergency
moderate,0,55,0.08473285649220952,0.04330265002520312,0.02466142159691703,4.309043705780333,0.672460084735908,False,0.0,0.0,True
moderate,1,56,0.07783076745761933,0.03714670999968067,0.02002394115900442,5.651696219227573,0.19047425565328424,False,0.0,0.0,True
moderate,2,57,0.08011232494696882,0.04028607392345165,0.022661362435118505,4.893248381270652,0.6378375551764043,False,0.0,0.0,True
stress,0,10055,0.11552852057005283,0.06199563661947019,0.03657936209405857,2.0632256854529913,1.7561823986804392,False,0.06383756081227818,0.0637690223337529,False
stress,1,10056,0.05922336186556003,0.043676581488976164,0.030647441878552957,4.299759786041298,1.6573352173100182,False,0.0,0.0,True
stress,2,10057,0.07839380400208648,0.04667776517874292,0.029431128298283895,3.8260917099967076,1.2586107576985939,False,0.008294703267155284,0.00822063103738399,False
