scenario_id,tier,seed,controller,residual_gain,time_s,alpha_rad,q_radps,theta_rad,measured_alpha_rad,measured_q_radps,measured_theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,alpha_error_rad,q_error_rad,theta_error_rad,predicted_residual_q_dot,applied_residual_q_dot,solver_status,solve_time_s,objective_value,solver_failure,pitching_moment_nm,cm,flap_effectiveness,delta_flap_raw_rad,delta_flap_delayed_rad,delta_flap_lagged_rad,delta_flap_rad,delta_flap_rate_radps,flap_saturated,flap_rate_saturated,altitude_m,velocity_mps,mach,density_kgm3,dynamic_pressure_pa,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,actuator_lag_s,actuator_delay_s,sensor_noise_alpha_rad,sensor_noise_q_radps,sensor_noise_theta_rad,initial_alpha_error_rad,initial_q_error_radps,initial_theta_error_rad,external_disturbance_moment_nm,corridor_violation
2,moderate,57,residual_horizon_nmpc_gain_1,1.0,0.0,0.08011232494696882,0.04028607392345165,0.07930102295603621,0.08053937142463052,0.04078780484998233,0.08066047593754032,0.12,-1.5202636718752993e-05,0.08,0.04999999999999999,0.19,-0.08,0.08,-0.039887675053031174,0.0403012765601704,-0.0006989770439637943,5.0450993243133634e-05,5.0450993243133634e-05,Solve_Succeeded,0.044378000020515174,96.77055862646172,False,2212.652159596557,-0.011942107788413356,0.4015798869488264,-0.04471112408812147,0.0,0.0,0.0,0.0,False,False,82000.0,6200.0,21.012104371718653,5.272256474135521e-06,101.33276943288472,1.0552500109466625,0.9904935904652705,1.1364934679007512,0.9361279231434767,0.13783755517640428,0.5,0.0012876544132459234,0.0010895091536253408,0.0008726206962965641,-0.03988767505303118,0.0403012765601704,-0.0006989770439637954,2243.631407086245,False
2,moderate,57,residual_horizon_nmpc_gain_1,1.0,0.5,0.09085269201774643,0.04033022121356714,0.09945510540666651,0.09257027456765415,0.040502571772489046,0.09977437950006858,0.12002304098079561,-3.0341796874999716e-05,0.07999239868164063,0.0500230409807956,0.19002304098079562,-0.08,0.08,-0.02917034896304918,0.04036056301044214,0.019462706725025883,5.125519375238745e-05,5.125519375238745e-05,not_applicable,0.0,,False,2216.6907505786553,-0.0103842519332141,0.40159248685423254,-0.04471112408812147,-0.04471112408812147,-0.043522538626288916,-0.043522538626288916,-0.08704507725257783,False,False,81998.8598022461,6199.7501458924335,21.01125760388222,5.273204499995653e-06,101.34282195732476,1.0552500109466625,0.9904935904652705,1.1364934679007512,0.9361279231434767,0.13783755517640428,0.5,0.0012876544132459234,0.0010895091536253408,0.0008726206962965641,-0.03988767505303118,0.0403012765601704,-0.0006989770439637954,2243.631407086245,False
2,moderate,57,residual_horizon_nmpc_gain_1,1.0,1.0,0.10049520500405873,0.04037446008069755,0.11963128351141745,0.09896896253418437,0.03994390962718987,0.11991055852518219,0.12009173525377229,-6.052490234374763e-05,0.079969658203125,0.05009173525377228,0.1900917352537723,-0.08,0.08,-0.019596530249713556,0.040434984983041294,0.03966162530829245,5.161332524273449e-05,5.161332524273449e-05,not_applicable,0.0,,False,2207.7398815745964,-0.013829781067182325,0.40162486243193063,-0.04471112408812147,-0.04471112408812147,-0.0446795271325787,-0.0446795271325787,-0.002313977012579571,False,False,81995.44873046875,6199.108143368448,21.00908182581111,5.2760416788228186e-06,101.37634923416856,1.0552500109466625,0.9904935904652705,1.1364934679007512,0.9361279231434767,0.13783755517640428,0.5,0.0012876544132459234,0.0010895091536253408,0.0008726206962965641,-0.03988767505303118,0.0403012765601704,-0.0006989770439637954,2243.631407086245,False
2,moderate,57,residual_horizon_nmpc_gain_1,1.0,1.5,0.10915420322316764,0.04041852959299933,0.1398295379194291,0.11016389130272115,0.03953640365919374,0.1391073814706302,0.12020543981481481,-9.05175781250045e-05,0.07993187377929688,0.0502054398148148,0.1902054398148148,-0.08,0.08,-0.011051236591647168,0.040509047171124336,0.059897664140132215,5.206785049636717e-05,5.206785049636717e-05,not_applicable,0.0,,False,2199.353714087072,-0.0170513210380049,0.4016744554206741,-0.04471112408812147,-0.04471112408812147,-0.044710284125298747,-0.044710284125298747,-6.151398544008979e-05,False,False,81989.78106689453,6198.124722339112,21.005748963664374,5.280759166758797e-06,101.43480255431069,1.0552500109466625,0.9904935904652705,1.1364934679007512,0.9361279231434767,0.13783755517640428,0.5,0.0012876544132459234,0.0010895091536253408,0.0008726206962965641,-0.03988767505303118,0.0403012765601704,-0.0006989770439637954,2243.631407086245,False
2,moderate,57,residual_horizon_nmpc_gain_1,1.0,2.0,0.116932057581538,0.04046244002385745,0.1600497866052492,0.11759528230802778,0.041263246466420135,0.15909690423976355,0.12036351165980795,-0.00012031982421875642,0.079879140625,0.050363511659807944,0.19036351165980797,-0.08,0.08,-0.0034314540782699465,0.04058275984807621,0.08017064598024921,5.178624718055582e-05,5.178624718055582e-05,Solve_Succeeded,0.04700349998893216,108.71684320099702,False,2191.7917994777295,-0.019946890625539407,0.4017399997587981,-0.047138940908457785,-0.04471112408812147,-0.044711101758832736,-0.044711101758832736,-1.635267067978674e-06,False,False,81981.87109375,6196.824988604601,21.00134410223131,5.287350096510711e-06,101.51881364481503,1.0552500109466625,0.9904935904652705,1.1364934679007512,0.9361279231434767,0.13783755517640428,0.5,0.0012876544132459234,0.0010895091536253408,0.0008726206962965641,-0.03988767505303118,0.0403012765601704,-0.0006989770439637954,2243.631407086245,False
2,moderate,57,residual_horizon_nmpc_gain_1,1.0,2.5,0.12392048157865967,0.04050620694664868,0.18029195399618958,0.12434450559866361,0.041971220858160956,0.18030657399520603,0.12056530778463648,-0.00014993164062498954,0.07981155395507812,0.05056530778463647,0.19056530778463648,-0.08,0.08,0.0033551737940231974,0.04065613858727367,0.10048040004111146,5.176692273714534e-05,5.176692273714534e-05,not_applicable,0.0,,False,2185.7573380334543,-0.02224474175325119,0.4018206300465545,-0.047138940908457785,-0.047138940908457785,-0.047074400050320896,-0.047074400050320896,-0.00472659658297632,False,False,81971.73309326172,6195.226102903411,20.995925400097143,5.295809543979379e-06,101.62877355248318,1.0552500109466625,0.9904935904652705,1.1364934679007512,0.9361279231434767,0.13783755517640428,0.5,0.0012876544132459234,0.0010895091536253408,0.0008726206962965641,-0.03988767505303118,0.0403012765601704,-0.0006989770439637954,2243.631407086245,False
2,moderate,57,residual_horizon_nmpc_gain_1,1.0,3.0,0.13020164609035406,0.04054986009613843,0.20055597583862056,0.13136226093805503,0.04167811053621411,0.19990229171292026,0.12081018518518519,-0.00017935302734374547,0.07972920898437501,0.05081018518518518,0.1908101851851852,-0.08,0.08,0.009391460905168875,0.040729213123482176,0.12082676685424555,5.1945534623377976e-05,5.1945534623377976e-05,not_applicable,0.0,,False,2179.6177454614035,-0.024571656319428984,0.40191568368588926,-0.047138940908457785,-0.047138940908457785,-0.047137225176025636,-0.047137225176025636,-0.0001256502514094815,False,False,81959.38134765625,6193.341204448907,20.98953738670099,5.306134498423491e-06,101.76496141382125,1.0552500109466625,0.9904935904652705,1.1364934679007512,0.9361279231434767,0.13783755517640428,0.5,0.0012876544132459234,0.0010895091536253408,0.0008726206962965641,-0.03988767505303118,0.0403012765601704,-0.0006989770439637954,2243.631407086245,False
2,moderate,57,residual_horizon_nmpc_gain_1,1.0,3.5,0.1358491688241261,0.040593396642351176,0.2208417945979851,0.1352848987580036,0.03912977023590759,0.21984179228153847,0.12109750085733882,-0.00020858398437501036,0.07963220092773438,0.051097500857338815,0.19109750085733884,-0.08,0.08,0.014751667966787271,0.040801980626726186,0.14120959367025074,5.2555315630101185e-05,5.2555315630101185e-05,not_applicable,0.0,,False,2174.043251808177,-0.026668806137459783,0.40202462079258067,-0.047138940908457785,-0.047138940908457785,-0.04713889529800475,-0.04713889529800475,-3.340243958233069e-06,False,False,81944.83013916016,6191.180999058791,20.98221634458463,5.3183238360356135e-06,101.92759666625422,1.0552500109466625,0.9904935904652705,1.1364934679007512,0.9361279231434767,0.13783755517640428,0.5,0.0012876544132459234,0.0010895091536253408,0.0008726206962965641,-0.03988767505303118,0.0403012765601704,-0.0006989770439637954,2243.631407086245,False
2,moderate,57,residual_horizon_nmpc_gain_1,1.0,4.0,0.14092900094942037,0.04063682723755912,0.2411493546889401,0.14067386180439048,0.04136128001366117,0.2416057465306514,0.12142661179698216,-0.00023762451171874255,0.079520625,0.05142661179698216,0.19142661179698217,-0.08,0.08,0.01950238915243821,0.04087445174927786,0.1616287296889401,5.227369757871423e-05,5.227369757871423e-05,Solve_Succeeded,0.046002250048331916,123.6594893404096,False,2168.9879319291213,-0.028553175172278247,0.40214698367832524,-0.047028585281431834,-0.047138940908457785,-0.04713893969596487,-0.04713893969596487,-8.879592022781324e-08,False,False,81928.09375,6188.754562618874,20.973993032370615,5.33237829681536e-06,102.11686548808098,1.0552500109466625,0.9904935904652705,1.1364934679007512,0.9361279231434767,0.13783755517640428,0.5,0.0012876544132459234,0.0010895091536253408,0.0008726206962965641,-0.03988767505303118,0.0403012765601704,-0.0006989770439637954,2243.631407086245,False
2,moderate,57,residual_horizon_nmpc_gain_1,1.0,4.5,0.14550022861729175,0.040680161684753524,0.26147860563428743,0.14488372752321024,0.03877712487961685,0.26146155141384964,0.121796875,-0.00026647460937499756,0.07939457641601563,0.05179687499999999,0.191796875,-0.08,0.08,0.023703353617291756,0.04094663629412852,0.1820840292182718,5.301222082487386e-05,5.301222082487386e-05,not_applicable,0.0,,False,2164.357650756042,-0.03026035631157993,0.40228237351219553,-0.047028585281431834,-0.047028585281431834,-0.04703151890601494,-0.04703151890601494,0.00021484157989985764,False,False,81909.18646240234,6186.0698038826085,20.964894253212666,5.3483004646347674e-06,102.33293602902984,1.0552500109466625,0.9904935904652705,1.1364934679007512,0.9361279231434767,0.13783755517640428,0.5,0.0012876544132459234,0.0010895091536253408,0.0008726206962965641,-0.03988767505303118,0.0403012765601704,-0.0006989770439637954,2243.631407086245,False
