controller,time_s,alpha_rad,q_radps,theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,flap_min_rad,flap_max_rad,flap_rate_min_radps,flap_rate_max_radps,delta_flap_raw_rad,delta_flap_rad,delta_flap_rate_radps,flap_saturated,flap_rate_saturated,corridor_violation,alpha_error_rad,q_error_rad,theta_error_rad,pitching_moment_nm,cm,flap_effectiveness,altitude_m,velocity_mps,mach,density_kgm3,dynamic_pressure_pa
nominal_nmpc,0.0,0.08499999999999999,0.04653479736328125,0.08,0.12,-1.5202636718752993e-05,0.08,0.04999999999999999,0.19,-0.08,0.08,-0.35,0.35,-0.18,0.18,0.3500000066764111,0.35,0.175,False,False,False,-0.035,0.04655,0.0,-131.30032057629592,-0.053411069500296886,0.4015798869488264,82000.0,6200.0,21.012104371718653,4.996215512384398e-06,96.02726214802813
nominal_nmpc,2.0,0.13001076292328265,0.046522503660870546,0.17305786936121598,0.12036351165980795,-0.00012031982421875642,0.079879140625,0.050363511659807944,0.19036351165980797,-0.08,0.08,-0.35,0.35,-0.18,0.18,0.3500000085304389,0.35,0.0,False,False,False,0.009647251263474696,0.0466428234850893,0.09317872873621598,-173.24819574577836,-0.07034570501233374,0.4017399997587981,81981.87109375,6196.824988604601,21.00134410223131,5.010518873880362e-06,96.20356559270985
nominal_nmpc,4.0,0.15898267097675203,0.04650748984543699,0.26608822930484555,0.12142661179698216,-0.00023762451171874255,0.079520625,0.05142661179698216,0.19142661179698217,-0.08,0.08,-0.35,0.35,-0.18,0.18,0.3500000066277632,0.35,0.0,False,False,False,0.03755605917976987,0.04674511435715573,0.18656760430484554,-201.2903076533072,-0.08125325880432446,0.40214698367832524,81928.09375,6188.754562618874,20.973993032370615,5.053189520492585e-06,96.77030507346042
nominal_nmpc,6.0,0.17761935129720927,0.04649064017914456,0.3590865963410811,0.12314814814814815,-0.0003518823242187469,0.07893054687500001,0.05314814814814814,0.19314814814814815,-0.08,0.08,-0.35,0.35,-0.18,0.18,0.35000000469074344,0.35,0.0,False,False,False,0.05447120314906112,0.04684252250336331,0.2801560494660811,-220.88193518382158,-0.08827414681685011,0.4027633234553852,81839.58203125,6176.532643486048,20.932572348428415,5.124213521322995e-06,97.74323405265748
nominal_nmpc,8.0,0.18959597760858732,0.04647248533801384,0.4520498756100368,0.1254869684499314,-0.00046309326171874166,0.078115,0.055486968449931395,0.1954869684499314,-0.08,0.08,-0.35,0.35,-0.18,0.18,0.35000000276791987,0.35,0.0,False,False,False,0.06410900915865592,0.04693557859973258,0.3739348756100368,-235.48173211576275,-0.09279006702241074,0.4035686718725181,81717.25,6160.562713271744,20.878449470932924,5.224022005460469e-06,99.13243363161222
nominal_nmpc,10.0,0.19728061505825628,0.04645333182375878,0.5449757927501612,0.12840192043895748,-0.0005712573242187546,0.077080078125,0.05840192043895748,0.1984019204389575,-0.08,0.08,-0.35,0.35,-0.18,0.18,0.3499999996988307,0.3499999996988307,-1.5058462810024764e-10,False,False,False,0.0688786946192988,0.04702458914797753,0.46789571462516116,-247.29813721664794,-0.09569220779988921,0.40454814888211915,81562.01171875,6141.139840938384,20.81262440308339,5.353481755073825e-06,100.94953086698972
nominal_nmpc,12.0,0.20219904891773646,0.04643334279756182,0.6378625324759256,0.13185185185185186,-0.0006763745117187442,0.075831875,0.06185185185185185,0.20185185185185187,-0.08,0.08,-0.35,0.35,-0.18,0.18,0.3499999960643246,0.3499999960643246,-1.817253070246494e-09,False,False,False,0.0703471970658846,0.04710971730928056,0.5620306574759256,-257.75609315507324,-0.09755510478370366,0.40568969999943083,81374.78125,6118.5030649893715,20.735907258102767,5.5138964672213355e-06,103.20933395739617
nominal_nmpc,14.0,0.20533431318197712,0.046412588650647076,0.7307085063131015,0.13579561042524005,-0.0007784448242187519,0.074376484375,0.06579561042524004,0.20579561042524006,-0.08,0.08,-0.35,0.35,-0.18,0.18,0.34999999508594326,0.34999999508594326,-4.891906602022544e-10,False,False,False,0.06953870275673707,0.04719103347486583,0.6563320219381015,-267.78970488416974,-0.09874900189298447,0.4069830131832363,81156.47265625,6092.856871551574,20.64899104951369,5.707017969628437e-06,105.93054255246136
nominal_nmpc,16.0,0.20731970032031694,0.04639107861055774,0.8235122010981097,0.1401920438957476,-0.0008774682617187501,0.07272,0.0701920438957476,0.2101920438957476,-0.08,0.08,-0.35,0.35,-0.18,0.18,0.34999999415122046,0.34999999415122046,-4.673613995809234e-10,False,False,False,0.06712765642456933,0.04726854687227649,0.7507922010981097,-278.0263145427616,-0.09951239516435623,0.40841896438639796,80908.0,6064.382189019411,20.552488952527018,5.935067009004215e-06,109.13618242118898
nominal_nmpc,18.0,0.20856313127291504,0.04636878042014591,0.9162720778737863,0.145,-0.0009734448242187527,0.070868515625,0.07499999999999998,0.215,-0.08,0.08,-0.35,0.35,-0.18,0.18,0.34999999311784447,0.34999999311784447,-5.166879979423555e-10,False,False,False,0.06356313127291505,0.04734222524436466,0.8454035622487863,-288.9027886845102,-0.09999884650232718,0.40998929463149714,80630.27734375,6033.242791593229,20.44695600594777,6.200763515678852e-06,112.85395359761522
