scenario_id,tier,seed,controller,time_s,alpha_rad,q_radps,theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,alpha_error_rad,q_error_rad,theta_error_rad,solver_status,solve_time_s,solver_failure,learned_delta_flap_raw_rad,safety_delta_flap_raw_rad,pitching_moment_nm,cm,flap_effectiveness,delta_flap_raw_rad,delta_flap_delayed_rad,delta_flap_lagged_rad,delta_flap_rad,delta_flap_rate_radps,flap_saturated,flap_rate_saturated,altitude_m,velocity_mps,mach,density_kgm3,dynamic_pressure_pa,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,actuator_lag_s,actuator_delay_s,sensor_noise_alpha_rad,sensor_noise_q_radps,sensor_noise_theta_rad,initial_alpha_error_rad,initial_q_error_radps,initial_theta_error_rad,external_disturbance_moment_nm,corridor_violation
2,stress,10057,oracle_command_replay,0.0,0.07839380400208648,0.04667776517874292,0.05715996535184981,0.12,-1.5202636718752993e-05,0.08,0.04999999999999999,0.19,-0.08,0.08,-0.041606195997913514,0.04669296781546167,-0.02284003464815019,not_applicable,0.0,False,0.1800000098981752,0.1800000098981752,6086.366471142814,-0.009619003026293253,0.4015798869488264,0.1800000098981752,0.0,0.0,0.0,0.0,False,False,82000.0,6200.0,21.012104371718653,4.430044587322265e-06,85.14545696833393,0.8866800433930975,0.9276352786236607,0.7499245797839396,0.7309926130233437,0.2586107576985939,1.0,0.004478437066488493,0.0012923100994562892,0.005160534056958272,-0.041606195997913514,0.04669296781546167,-0.02284003464815019,6107.333239994104,False
2,stress,10057,oracle_command_replay,0.5,0.09235820131794782,0.04679938363673642,0.08052926148079995,0.12002304098079561,-3.0341796874999716e-05,0.07999239868164063,0.0500230409807956,0.19002304098079562,-0.08,0.08,-0.027664839662847787,0.04682972543361142,0.0005368627991593211,not_applicable,0.0,False,0.2650000098965995,0.2650000098965995,6075.665784493224,-0.014526755994931882,0.40159248685423254,0.2650000098965995,0.0,0.0,0.0,0.0,False,False,81998.8598022461,6199.7501458924335,21.01125760388222,4.430841171640748e-06,85.1539036612638,0.8866800433930975,0.9276352786236607,0.7499245797839396,0.7309926130233437,0.2586107576985939,1.0,0.004478437066488493,0.0012923100994562892,0.005160534056958272,-0.041606195997913514,0.04669296781546167,-0.02284003464815019,6107.333239994104,False
2,stress,10057,oracle_command_replay,1.0,0.10492552111680875,0.04692079897208714,0.10395931516584295,0.12009173525377229,-6.052490234374763e-05,0.079969658203125,0.05009173525377228,0.1900917352537723,-0.08,0.08,-0.015166214136963535,0.04698132387443089,0.023989656962717945,not_applicable,0.0,False,0.3500000098950238,0.3500000098950238,6049.474922482379,-0.02653246617594302,0.40162486243193063,0.3500000098950238,0.1800000098981752,0.15396221004300017,0.09,0.18,False,True,81995.44873046875,6199.108143368448,21.00908182581111,4.433225127878122e-06,85.18207515330676,0.8866800433930975,0.9276352786236607,0.7499245797839396,0.7309926130233437,0.2586107576985939,1.0,0.004478437066488493,0.0012923100994562892,0.005160534056958272,-0.041606195997913514,0.04669296781546167,-0.02284003464815019,6107.333239994104,False
2,stress,10057,oracle_command_replay,1.5,0.1162411199504337,0.04704170023030077,0.12744994720131242,0.12020543981481481,-9.05175781250045e-05,0.07993187377929688,0.0502054398148148,0.1902054398148148,-0.08,0.08,-0.003964319864381116,0.047132217808425775,0.04751807342201554,not_applicable,0.0,False,0.35000000989396124,0.35000000989396124,6024.204290396493,-0.038099017030739195,0.4016744554206741,0.35000000989396124,0.2650000098965995,0.24893789961903606,0.18,0.18,False,True,81989.78106689453,6198.124722339112,21.005748963664374,4.437189024930374e-06,85.2311909001937,0.8866800433930975,0.9276352786236607,0.7499245797839396,0.7309926130233437,0.2586107576985939,1.0,0.004478437066488493,0.0012923100994562892,0.005160534056958272,-0.041606195997913514,0.04669296781546167,-0.02284003464815019,6107.333239994104,False
2,stress,10057,oracle_command_replay,2.0,0.12643514511416118,0.04716210478770516,0.15100090497696322,0.12036351165980795,-0.00012031982421875642,0.079879140625,0.050363511659807944,0.19036351165980797,-0.08,0.08,0.0060716334543532285,0.04728242461192392,0.07112176435196323,not_applicable,0.0,False,0.3500000098928987,0.3500000098928987,5999.734635184228,-0.04927295087999829,0.4017399997587981,0.3500000098928987,0.3500000098950238,0.3353809273638818,0.27,0.18000000000000005,False,True,81981.87109375,6196.824988604601,21.00134410223131,4.442727092514173e-06,85.30178171431467,0.8866800433930975,0.9276352786236607,0.7499245797839396,0.7309926130233437,0.2586107576985939,1.0,0.004478437066488493,0.0012923100994562892,0.005160534056958272,-0.041606195997913514,0.04669296781546167,-0.02284003464815019,6107.333239994104,False
2,stress,10057,oracle_command_replay,2.5,0.13562419468518883,0.04728202774525391,0.17461194399288468,0.12056530778463648,-0.00014993164062498954,0.07981155395507812,0.05056530778463647,0.19056530778463648,-0.08,0.08,0.015058886900552348,0.0474319593858789,0.09480039003780656,not_applicable,0.0,False,0.3500000098909636,0.3500000098909636,5978.192431312577,-0.05907385099402139,0.4018206300465545,0.3500000098909636,0.35000000989396124,0.34788529476033525,0.34788529476033525,0.15577058952067047,False,False,81971.73309326172,6195.226102903411,20.995925400097143,4.449835193126151e-06,85.39417617505032,0.8866800433930975,0.9276352786236607,0.7499245797839396,0.7309926130233437,0.2586107576985939,1.0,0.004478437066488493,0.0012923100994562892,0.005160534056958272,-0.041606195997913514,0.04669296781546167,-0.02284003464815019,6107.333239994104,False
2,stress,10057,oracle_command_replay,3.0,0.1439127386358071,0.04740152683141996,0.19828283794849383,0.12081018518518519,-0.00017935302734374547,0.07972920898437501,0.05081018518518518,0.1908101851851852,-0.08,0.08,0.023102553450621927,0.047580879858763706,0.11855362896411882,not_applicable,0.0,False,0.3500000098890285,0.3500000098890285,5971.306463983649,-0.06214047931203903,0.40191568368588926,0.3500000098890285,0.3500000098928987,0.3496941069687625,0.3496941069687625,0.003617624416854537,False,False,81959.38134765625,6193.341204448907,20.98953738670099,4.458510796973173e-06,85.50860882849565,0.8866800433930975,0.9276352786236607,0.7499245797839396,0.7309926130233437,0.2586107576985939,1.0,0.004478437066488493,0.0012923100994562892,0.005160534056958272,-0.041606195997913514,0.04669296781546167,-0.02284003464815019,6107.333239994104,False
2,stress,10057,oracle_command_replay,3.5,0.15139444864740734,0.04752089443749817,0.22201344806602433,0.12109750085733882,-0.00020858398437501036,0.07963220092773438,0.051097500857338815,0.19109750085733884,-0.08,0.08,0.030296947790068515,0.04772947842187318,0.14238124713828995,not_applicable,0.0,False,0.3500000098864066,0.3500000098864066,5965.274069508825,-0.06479268186163335,0.40202462079258067,0.3500000098864066,0.3500000098909636,0.3499557596763781,0.3499557596763781,0.0005233054152311567,False,False,81944.83013916016,6191.180999058791,20.98221634458463,4.468752959769412e-06,85.64526405824083,0.8866800433930975,0.9276352786236607,0.7499245797839396,0.7309926130233437,0.2586107576985939,1.0,0.004478437066488493,0.0012923100994562892,0.005160534056958272,-0.041606195997913514,0.04669296781546167,-0.02284003464815019,6107.333239994104,False
2,stress,10057,oracle_command_replay,4.0,0.15815331092387297,0.04764014697903275,0.24580371276305507,0.12142661179698216,-0.00023762451171874255,0.079520625,0.05142661179698216,0.19142661179698217,-0.08,0.08,0.036726699126890805,0.047877771490751495,0.16628308776305506,not_applicable,0.0,False,0.3500000098837847,0.3500000098837847,5959.784821720722,-0.06717157768178891,0.40214698367832524,0.3500000098837847,0.3500000098890285,0.3499936088994886,0.3499936088994886,7.569844622101751e-05,False,False,81928.09375,6188.754562618874,20.973993032370615,4.48056230330391e-06,85.80429830169916,0.8866800433930975,0.9276352786236607,0.7499245797839396,0.7309926130233437,0.2586107576985939,1.0,0.004478437066488493,0.0012923100994562892,0.005160534056958272,-0.041606195997913514,0.04669296781546167,-0.02284003464815019,6107.333239994104,False
2,stress,10057,oracle_command_replay,4.5,0.1642645694716637,0.04775929473285385,0.26965357712453925,0.121796875,-0.00026647460937499756,0.07939457641601563,0.05179687499999999,0.191796875,-0.08,0.08,0.04246769447166371,0.048025769342228845,0.1902590007085236,not_applicable,0.0,False,0.3500000098801095,0.3500000098801095,5954.744008126372,-0.06931973891557058,0.40228237351219553,0.3500000098801095,0.3500000098864066,0.34999908395525614,0.34999908395525614,1.095011153506853e-05,False,False,81909.18646240234,6186.0698038826085,20.964894253212666,4.49394099869038e-06,85.9858528476713,0.8866800433930975,0.9276352786236607,0.7499245797839396,0.7309926130233437,0.2586107576985939,1.0,0.004478437066488493,0.0012923100994562892,0.005160534056958272,-0.041606195997913514,0.04669296781546167,-0.02284003464815019,6107.333239994104,False
2,stress,10057,oracle_command_replay,5.0,0.16979563486953494,0.04787834614382618,0.2935629909107511,0.1222076474622771,-0.0002951342773437615,0.079254150390625,0.05220764746227709,0.1922076474622771,-0.08,0.08,0.04758798740725785,0.048173480421169944,0.2143088405201261,not_applicable,0.0,False,0.3500000098764342,0.3500000098764342,5950.09348523716,-0.07126318031368392,0.4024304356602051,0.3500000098764342,0.3500000098837847,0.3499998759441159,0.3499998759441159,1.583977719543661e-06,False,False,81888.12255859375,6183.133755185188,20.95494384003998,4.508892752217591e-06,86.19006186864921,0.8866800433930975,0.9276352786236607,0.7499245797839396,0.7309926130233437,0.2586107576985939,1.0,0.004478437066488493,0.0012923100994562892,0.005160534056958272,-0.041606195997913514,0.04669296781546167,-0.02284003464815019,6107.333239994104,False
2,stress,10057,oracle_command_replay,5.5,0.17480689955110318,0.04799730854950796,0.31753190782301866,0.12265828617969822,-0.0003236035156249928,0.07909944213867187,0.05265828617969821,0.1926582861796982,-0.08,0.08,0.05214861337140496,0.048320912065132955,0.23843246568434678,not_applicable,0.0,False,0.3500000098710596,0.3500000098710596,5945.785143239972,-0.0730234596190102,0.40259084988176863,0.3500000098710596,0.3500000098801095,0.34999999050567393,0.34999999050567393,2.291231160356233e-07,False,False,81864.91632080078,6179.952766846162,20.944163314397265,4.525422793725946e-06,86.4170577836531,0.8866800433930975,0.9276352786236607,0.7499245797839396,0.7309926130233437,0.2586107576985939,1.0,0.004478437066488493,0.0012923100994562892,0.005160534056958272,-0.041606195997913514,0.04669296781546167,-0.02284003464815019,6107.333239994104,False
2,stress,10057,oracle_command_replay,6.0,0.1793524683781907,0.04811618837483161,0.34156028499923163,0.12314814814814815,-0.0003518823242187469,0.07893054687500001,0.05314814814814814,0.19314814814814815,-0.08,0.08,0.05620432023004254,0.048468070699050354,0.2626297381242316,not_applicable,0.0,False,0.3500000098656851,0.3500000098656851,5941.776540533327,-0.07461964112456274,0.4027633234553852,0.3500000098656851,0.3500000098764342,0.3500000070743678,0.35,1.8988652095153213e-08,False,False,81839.58203125,6176.532643486048,20.932572348428415,4.54353786744217e-06,86.66697501119202,0.8866800433930975,0.9276352786236607,0.7499245797839396,0.7309926130233437,0.2586107576985939,1.0,0.004478437066488493,0.0012923100994562892,0.005160534056958272,-0.041606195997913514,0.04669296781546167,-0.02284003464815019,6107.333239994104,False
2,stress,10057,oracle_command_replay,6.5,0.18348081318469717,0.048234991240127034,0.36564808258497183,0.12367659036351165,-0.0003799707031250099,0.07874755981445312,0.05367659036351165,0.19367659036351165,-0.08,0.08,0.05980422282118551,0.048614961943252044,0.2869005227705187,not_applicable,0.0,False,0.3500000098573623,0.3500000098573623,5938.029801503104,-0.07606877345802114,0.40294758617496185,0.3500000098573623,0.3500000098710596,0.3500000094665057,0.35,0.0,False,False,81812.13397216797,6172.878743248417,20.920189101145034,4.563246225210069e-06,86.93995269562633,0.8866800433930975,0.9276352786236607,0.7499245797839396,0.7309926130233437,0.2586107576985939,1.0,0.004478437066488493,0.0012923100994562892,0.005160534056958272,-0.041606195997913514,0.04669296781546167,-0.02284003464815019,6107.333239994104,False
2,stress,10057,oracle_command_replay,7.0,0.18723535918535683,0.048353722047681943,0.3897952633532419,0.12424296982167352,-0.00040786865234375413,0.078550576171875,0.05424296982167351,0.19424296982167352,-0.08,0.08,0.06299238936368332,0.0487615907000257,0.3112446871813669,not_applicable,0.0,False,0.3500000098490395,0.3500000098490395,5934.5110504456325,-0.0773861272490797,0.4031433865961587,0.3500000098490395,0.3500000098656851,0.350000009807942,0.35,0.0,False,False,81782.58642578125,6168.996052234287,20.907030470688255,4.584557622061453e-06,87.23613674978738,0.8866800433930975,0.9276352786236607,0.7499245797839396,0.7309926130233437,0.2586107576985939,1.0,0.004478437066488493,0.0012923100994562892,0.005160534056958272,-0.041606195997913514,0.04669296781546167,-0.02284003464815019,6107.333239994104,False
2,stress,10057,oracle_command_replay,7.5,0.1906550103391371,0.048472385057498846,0.41400179236473095,0.12484664351851851,-0.0004355761718749934,0.07833969116210937,0.054846643518518506,0.19484664351851852,-0.08,0.08,0.06580836682061858,0.04890796122937384,0.3356621012026216,not_applicable,0.0,False,0.35000000983502677,0.35000000983502677,5931.189958144463,-0.07858538515346372,0.40335048914940924,0.35000000983502677,0.3500000098573623,0.3500000098502134,0.35,0.0,False,False,81750.9536743164,6164.88924175046,20.893112288346153,4.607483314076453e-06,87.55568142619592,0.8866800433930975,0.9276352786236607,0.7499245797839396,0.7309926130233437,0.2586107576985939,1.0,0.004478437066488493,0.0012923100994562892,0.005160534056958272,-0.041606195997913514,0.04669296781546167,-0.02284003464815019,6107.333239994104,False
2,stress,10057,oracle_command_replay,8.0,0.19377462002153248,0.048590983954445194,0.4382676366637692,0.1254869684499314,-0.00046309326171874166,0.078115,0.055486968449931395,0.1954869684499314,-0.08,0.08,0.06828765157160108,0.049054077216163935,0.36015263666376923,not_applicable,0.0,False,0.350000009821014,0.350000009821014,5928.039349363883,-0.07967880724799489,0.4035686718725181,0.350000009821014,0.3500000098490395,0.3500000098492093,0.35,0.0,False,False,81717.25,6160.562713271744,20.878449470932924,4.632036058488184e-06,87.89875055414127,0.8866800433930975,0.9276352786236607,0.7499245797839396,0.7309926130233437,0.2586107576985939,1.0,0.004478437066488493,0.0012923100994562892,0.005160534056958272,-0.041606195997913514,0.04669296781546167,-0.02284003464815019,6107.333239994104,False
2,stress,10057,oracle_command_replay,8.5,0.19662541269890296,0.0487095219079644,0.4625927650059641,0.12616330161179698,-0.0004904199218749988,0.07787659790039063,0.05616330161179697,0.196163301611797,-0.08,0.08,0.07046211108710598,0.049199941829839396,0.38471616710557344,not_applicable,0.0,False,0.3500000097940873,0.3500000097940873,5925.034855181606,-0.08067737860680131,0.4037977245977856,0.3500000097940873,0.35000000983502677,0.35000000983707835,0.35,0.0,False,False,81681.4896850586,6156.020634389981,20.86305614262193,4.6582301159914984e-06,88.26551853455804,0.8866800433930975,0.9276352786236607,0.7499245797839396,0.7309926130233437,0.2586107576985939,1.0,0.004478437066488493,0.0012923100994562892,0.005160534056958272,-0.041606195997913514,0.04669296781546167,-0.02284003464815019,6107.333239994104,False
2,stress,10057,oracle_command_replay,9.0,0.19923536170545117,0.048828001625199444,0.48697714761401506,0.126875,-0.0005175561523437511,0.077624580078125,0.05687499999999998,0.196875,-0.08,0.08,0.07236036170545118,0.049345557777543195,0.40935256753589006,not_applicable,0.0,False,0.3500000097671606,0.3500000097671606,5922.154603598167,-0.08159094161053614,0.4040374474800409,0.3500000097671606,0.350000009821014,0.3500000098233378,0.35,0.0,False,False,81643.68701171875,6151.266968002932,20.84694573386822,4.686081255220473e-06,88.65617115616399,0.8866800433930975,0.9276352786236607,0.7499245797839396,0.7309926130233437,0.2586107576985939,1.0,0.004478437066488493,0.0012923100994562892,0.005160534056958272,-0.041606195997913514,0.04669296781546167,-0.02284003464815019,6107.333239994104,True
2,stress,10057,oracle_command_replay,9.5,0.2016295276924983,0.048946425398254445,0.5114207559585983,0.12762142061042525,-0.0005445019531249984,0.07735904174804688,0.057621420610425245,0.19762142061042526,-0.08,0.08,0.07400810708207306,0.04949092735137944,0.4340617142105514,not_applicable,0.0,False,0.3500000097019528,0.3500000097019528,5919.37894416439,-0.08242831456040405,0.40428764978530923,0.3500000097019528,0.3500000097940873,0.3500000097983185,0.35,0.0,False,False,81603.85626220703,6146.305496334782,20.830131062815237,4.715606759363981e-06,89.07090627781733,0.8866800433930975,0.9276352786236607,0.7499245797839396,0.7309926130233437,0.2586107576985939,1.0,0.004478437066488493,0.0012923100994562892,0.005160534056958272,-0.041606195997913514,0.04669296781546167,-0.02284003464815019,6107.333239994104,True
2,stress,10057,oracle_command_replay,10.0,0.20383036184404024,0.04906479514623878,0.5359235625615536,0.12840192043895748,-0.0005712573242187546,0.077080078125,0.05840192043895748,0.1984019204389575,-0.08,0.08,0.07542844140508276,0.049636052470457534,0.4588434844365536,not_applicable,0.0,False,0.350000009636745,0.350000009636745,5916.690202840612,-0.08319739800865007,0.40454814888211915,0.350000009636745,0.3500000097671606,0.35000000977166773,0.35,0.0,False,False,81562.01171875,6141.139840938384,20.81262440308339,4.746825434893015e-06,89.50993440965527,0.8866800433930975,0.9276352786236607,0.7499245797839396,0.7309926130233437,0.2586107576985939,1.0,0.004478437066488493,0.0012923100994562892,0.005160534056958272,-0.041606195997913514,0.04669296781546167,-0.02284003464815019,6107.333239994104,True
2,stress,10057,oracle_command_replay,10.5,0.20585797752640023,0.049183112452666586,0.5604855408189114,0.12921585648148148,-0.000597822265625006,0.07678778442382812,0.05921585648148148,0.1992158564814815,-0.08,0.08,0.07664212104491874,0.04978093471829159,0.48369775639508333,not_applicable,0.0,False,0.3500000093849406,0.3500000093849406,5914.072463722606,-0.08390527007288401,0.40481876939269756,0.3500000093849406,0.3500000097019528,0.3500000097120374,0.35,0.0,False,False,81518.16766357422,6135.773479526905,20.794437540813334,4.779757622377817e-06,89.97347921707141,0.8866800433930975,0.9276352786236607,0.7499245797839396,0.7309926130233437,0.2586107576985939,1.0,0.004478437066488493,0.0012923100994562892,0.005160534056958272,-0.041606195997913514,0.04669296781546167,-0.02284003464815019,6107.333239994104,True
2,stress,10057,oracle_command_replay,11.0,0.2077303936579894,0.04930137859872069,0.5851066648415669,0.13006258573388202,-0.0006241967773437523,0.076482255859375,0.06006258573388201,0.20006258573388203,-0.08,0.08,0.07766780792410738,0.04992557537606444,0.508624408982192,not_applicable,0.0,False,0.3500000091331361,0.3500000091331361,5911.51137464449,-0.08455827187176779,0.4050993424719997,0.3500000091331361,0.350000009636745,0.3500000096476364,0.35,0.0,False,False,81472.33837890625,6130.2097602705635,20.7755818231183,4.814425209376829e-06,90.46177796560657,0.8866800433930975,0.9276352786236607,0.7499245797839396,0.7309926130233437,0.2586107576985939,1.0,0.004478437066488493,0.0012923100994562892,0.005160534056958272,-0.041606195997913514,0.04669296781546167,-0.02284003464815019,6107.333239994104,True
2,stress,10057,oracle_command_replay,11.5,0.20946375274312387,0.049419594592833294,0.6097869093116479,0.1309414651920439,-0.0006503808593749938,0.07616358764648437,0.06094146519204388,0.2009414651920439,-0.08,0.08,0.07852228755107998,0.05006997545220829,0.5336233216651636,not_applicable,0.0,False,0.35000000749889626,0.35000000749889626,5908.993974002939,-0.08516208410283255,0.40538970519014955,0.35000000749889626,0.3500000093849406,0.3500000094229407,0.35,0.0,False,False,81424.53814697266,6124.451914042717,20.75606819958672,4.85085164538349e-06,90.97508192054896,0.8866800433930975,0.9276352786236607,0.7499245797839396,0.7309926130233437,0.2586107576985939,1.0,0.004478437066488493,0.0012923100994562892,0.005160534056958272,-0.041606195997913514,0.04669296781546167,-0.02284003464815019,6107.333239994104,True
2,stress,10057,oracle_command_replay,12.0,0.21107251620738995,0.04953776119698545,0.6345262493528385,0.13185185185185186,-0.0006763745117187442,0.075831875,0.06185185185185185,0.20185185185185187,-0.08,0.08,0.0792206643555381,0.05021413570870419,0.5586943743528385,not_applicable,0.0,False,0.3500000058646564,0.3500000058646564,5906.508536443913,-0.0857217956782597,0.40568969999943083,0.3500000058646564,0.3500000091331361,0.35000000917505764,0.35,0.0,False,False,81374.78125,6118.5030649893715,20.735907258102767,4.88906195882086e-06,91.51365671191672,0.8866800433930975,0.9276352786236607,0.7499245797839396,0.7309926130233437,0.2586107576985939,1.0,0.004478437066488493,0.0012923100994562892,0.005160534056958272,-0.041606195997913514,0.04669296781546167,-0.02284003464815019,6107.333239994104,True
2,stress,10057,oracle_command_replay,12.5,0.21256963939749285,0.04965587895008271,0.6593246604131081,0.13279310270919067,-0.0007021777343750035,0.07548721313476563,0.06279310270919067,0.20279310270919068,-0.08,0.08,0.07977653668830217,0.05035805668445771,0.5838374472783425,not_applicable,0.0,False,0.3500000013973308,0.3500000013973308,5904.044435317121,-0.08624196524019957,0.4059991742710676,0.3500000013973308,0.35000000749889626,0.3500000077413604,0.35,0.0,False,False,81323.08197021484,6112.36623971472,20.715109255976643,4.929082776077299e-06,92.07778267317545,0.8866800433930975,0.9276352786236607,0.7499245797839396,0.7309926130233437,0.2586107576985939,1.0,0.004478437066488493,0.0012923100994562892,0.005160534056958272,-0.041606195997913514,0.04669296781546167,-0.02284003464815019,6107.333239994104,True
