tier,scenario_count,feasible_count,feasible_rate,near_feasible_count,near_feasible_rate,median_max_alpha_miss_rad,max_alpha_miss_rad
moderate,6,4,0.6666666666666666,6,1.0,0.0,0.01523124594900957
stress,6,3,0.5,4,0.6666666666666666,0.010691202099436692,0.06813057251604154
