tier,scenario_id,seed,controller,time_s,alpha_rad,q_radps,theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,alpha_error_rad,q_error_rad,theta_error_rad,delta_flap_rad,delta_flap_raw_rad,delta_flap_rate_radps,flap_saturated,flap_rate_saturated,solver_status,solve_time_s,solver_failure,actuator_tau_prediction_s,corridor_violation
moderate,3,58,slack_oracle,25.0,0.21326472701858867,0.04696780489151475,1.2485473851300797,0.164474451303155,-0.0012853686523437435,0.062940673828125,0.09447445130315499,0.234474451303155,-0.08,0.08,0.04879027571543368,0.048253173543858496,1.1856067113019546,0.34999988486327804,0.34999983402422513,0.0,False,False,oracle_solution,0.0,False,0.796034526618957,False
moderate,3,58,slack_oracle,26.0,0.21330286938493875,0.04695416265254912,1.2955083690608933,0.16752400548696844,-0.0013268823242187505,0.061634453125,0.09752400548696843,0.23752400548696845,-0.08,0.08,0.04577886389797031,0.04828104497676787,1.2338739159358934,0.3499998495903134,0.3499997540731293,0.0,False,False,oracle_solution,0.0,False,0.796034526618957,False
moderate,3,58,slack_oracle,27.0,0.21332107145064777,0.04694017143423734,1.3424555361822568,0.170625,-0.0013676342773437516,0.060287099609375,0.10062499999999999,0.240625,-0.08,0.08,0.04269607145064777,0.048307805711581095,1.2821684365728818,0.34999978331893206,0.348930279158438,0.0,False,False,oracle_solution,0.0,False,0.796034526618957,False
moderate,3,58,slack_oracle,28.0,0.21332295088924502,0.04692581945982547,1.3893885302101705,0.17377229080932782,-0.001407624511718747,0.058899375000000004,0.10377229080932782,0.24377229080932783,-0.08,0.08,0.0395506600799172,0.04833344397154422,1.3304891552101705,0.3492577438759695,0.3317093817872343,0.0,False,False,oracle_solution,0.0,False,0.796034526618957,False
moderate,3,58,slack_oracle,29.0,0.213311438582144,0.04691121762121844,1.4363070245298837,0.17696073388203018,-0.0014468530273437502,0.057472041015625,0.10696073388203017,0.2469607338820302,-0.08,0.08,0.03635070470011381,0.04835807064856219,1.3788349835142586,0.33708240383501487,0.30358786677983307,0.0,False,False,oracle_solution,0.0,False,0.796034526618957,False
moderate,3,58,slack_oracle,30.0,0.2132890404825525,0.046896551458421254,1.4832108613460944,0.1801851851851852,-0.0014853198242187476,0.056005859375,0.11018518518518519,0.2501851851851852,-0.08,0.08,0.03310385529736731,0.04838187128264,1.4272050019710945,0.31384334732939506,0.2695061241588104,0.0,False,False,oracle_solution,0.0,False,0.796034526618957,False
moderate,3,58,slack_oracle,31.0,0.21325792899462476,0.046881981691452974,1.5301000626493024,0.1834405006858711,-0.001523024902343753,0.054501591796875,0.11344050068587108,0.2534405006858711,-0.08,0.08,0.02981742830875367,0.04840500659379673,1.4755984708524275,0.2830814582229418,0.23309794003736062,0.0,False,False,oracle_solution,0.0,False,0.796034526618957,False
moderate,3,58,slack_oracle,32.0,0.2132199689933601,0.04686761848876194,1.5769747866414427,0.186721536351166,-0.0015599682617187527,0.05295999999999999,0.116721536351166,0.256721536351166,-0.08,0.08,0.026498432642194092,0.04842758675048069,1.5240147866414429,0.24840207747644197,0.19700911594780798,0.0,False,False,oracle_solution,0.0,False,0.796034526618957,False
moderate,3,58,slack_oracle,33.0,0.2131767319624686,0.046853522025973295,1.6238352759104522,0.19002314814814816,-0.0015961499023437464,0.051381845703125005,0.12002314814814816,0.2600231481481482,-0.08,0.08,0.02315358381432045,0.04844967192831704,1.5724534302073272,0.2127448019336441,0.16313018720749645,0.0,False,False,oracle_solution,0.0,False,0.796034526618957,False
moderate,3,58,slack_oracle,34.0,0.2131295119801036,0.04683970931798985,1.6706818105830976,0.19334019204389574,-0.001631569824218762,0.049767890625000005,0.12334019204389574,0.26334019204389575,-0.08,0.08,0.01978931993620786,0.04847127914220861,1.6209139199580975,0.1783213724285294,0.13276607736481144,0.0,False,False,oracle_solution,0.0,False,0.796034526618957,False
moderate,3,58,slack_oracle,35.0,0.2130793452612946,0.04682616160298184,1.717514668926884,0.19666752400548698,-0.0016662280273437372,0.048118896484375,0.12666752400548698,0.266667524005487,-0.08,0.08,0.016411821255807618,0.04849238963032558,1.669395772442509,0.14671436516129077,0.10676569470529831,0.0,False,False,oracle_solution,0.0,False,0.796034526618957,False
