tier,scenario_id,seed,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,actuator_lag_s,actuator_delay_s,sensor_noise_alpha_rad,sensor_noise_q_radps,sensor_noise_theta_rad,initial_alpha_error_rad,initial_q_error_radps,initial_theta_error_rad,external_disturbance_moment_nm,controller,solver_status,solve_time_s,oracle_feasible,oracle_near_feasible,oracle_max_alpha_miss_rad,oracle_max_q_miss_radps,oracle_alpha_violation_duration_s,first_alpha_violation_time_s,first_alpha_violation_side,actuator_tau_prediction_s,objective_value,trajectory_csv,metrics_json
moderate,0,55,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,0.17246008473590804,0.5,0.002112697278039903,0.001420628984150504,0.00020335583094168374,-0.03526714350779047,0.043317852661921875,0.00407667571118842,-2288.5715472335214,slack_oracle,Solve_Succeeded,0.11342087492812425,True,True,0.0,0.0,0.0,,none,0.5,69.94132723019514,outputs/phase18_slack_oracle/moderate/scenario_000/oracle_trajectory.csv,outputs/phase18_slack_oracle/moderate/scenario_000/oracle_metrics.json
moderate,1,56,1.067837814989062,0.8550708443435929,1.1923204271077104,1.08984168484952,0.19047425565328424,0.0,0.001819893511792798,0.0005389072581292835,0.0017670007129131713,-0.042169232542380676,0.037161912636399425,0.003739433990046943,1888.1114567916945,slack_oracle,Solve_Succeeded,0.1051732919877395,True,True,0.0,0.0,0.0,,none,0.5,34.79939770783359,outputs/phase18_slack_oracle/moderate/scenario_001/oracle_trajectory.csv,outputs/phase18_slack_oracle/moderate/scenario_001/oracle_metrics.json
moderate,2,57,1.0552500109466625,0.9904935904652705,1.1364934679007512,0.9361279231434767,0.13783755517640428,0.5,0.0012876544132459234,0.0010895091536253408,0.0008726206962965641,-0.03988767505303118,0.0403012765601704,-0.0006989770439637954,2243.631407086245,slack_oracle,Solve_Succeeded,0.11430604197084904,True,True,0.0,0.0,0.0,,none,0.5,45.921306138352385,outputs/phase18_slack_oracle/moderate/scenario_002/oracle_trajectory.csv,outputs/phase18_slack_oracle/moderate/scenario_002/oracle_metrics.json
moderate,3,58,0.9427035401698733,1.1139500827692312,0.8972365808628847,0.8833681862461437,0.2960345266189571,1.0,0.0009159976169144701,0.00020772178158287347,0.001579716448980541,-0.02224949176908563,0.04723591983330609,-0.009198019703474421,2252.732574594433,slack_oracle,Solve_Succeeded,0.1406074579572305,False,True,0.004172958977993885,0.0,7.0,9.0,high,0.796034526618957,7482.5049343034,outputs/phase18_slack_oracle/moderate/scenario_003/oracle_trajectory.csv,outputs/phase18_slack_oracle/moderate/scenario_003/oracle_metrics.json
moderate,4,59,1.0263241475999092,1.0978198504596506,0.8467775120989001,0.9509718434702744,0.06519182255015281,0.0,1.745874008911086e-05,0.0014589760408944903,0.00031099084968804126,-0.02196446416086214,0.04507563176598882,0.008256747261127528,-1953.0550355784214,slack_oracle,Solve_Succeeded,0.11034637503325939,True,True,0.0,0.0,0.0,,none,0.5,92.16110251224124,outputs/phase18_slack_oracle/moderate/scenario_004/oracle_trajectory.csv,outputs/phase18_slack_oracle/moderate/scenario_004/oracle_metrics.json
moderate,5,60,0.9472851438103829,0.8581439175685014,0.8218883549768894,1.1961966085206186,0.3021514856561525,1.0,0.002904553797721493,0.0014873038666191403,0.0011797634968893586,-0.040412614765709766,0.050130858041308214,-0.01917497838311747,339.20421081160555,slack_oracle,Solve_Succeeded,0.17161249998025596,False,True,0.01523124594900957,0.0,15.0,7.0,high,0.8021514856561525,186625.7066857502,outputs/phase18_slack_oracle/moderate/scenario_005/oracle_trajectory.csv,outputs/phase18_slack_oracle/moderate/scenario_005/oracle_metrics.json
stress,0,10055,0.8378955015168319,0.8134079790400522,0.7897704751772718,0.6506121034875804,0.25618239868043924,1.5,0.00549036831476468,0.0016894853408081832,0.007680079439061039,-0.004471479429947158,0.06201083925618894,0.04666073176012917,-2194.1579157675574,slack_oracle,Solve_Succeeded,0.28891891590319574,False,False,0.06813057251604154,0.0,36.0,3.0,high,1.0061823986804392,8218157.885056424,outputs/phase18_slack_oracle/stress/scenario_000/oracle_trajectory.csv,outputs/phase18_slack_oracle/stress/scenario_000/oracle_metrics.json
stress,1,10056,0.9303608946512464,0.8454174308359381,1.2293875720674339,0.6485713174581409,0.6573352173100183,1.0,0.003974919790454923,0.001090421166685319,0.006246505115645126,-0.06077663813443997,0.04369178412569492,0.011423261993863554,-68.50071747811049,slack_oracle,Solve_Succeeded,0.11043912498280406,True,True,0.0,0.0,0.0,,none,1.1573352173100182,72.4737743973829,outputs/phase18_slack_oracle/stress/scenario_001/oracle_trajectory.csv,outputs/phase18_slack_oracle/stress/scenario_001/oracle_metrics.json
stress,2,10057,0.8866800433930975,0.9276352786236607,0.7499245797839396,0.7309926130233437,0.2586107576985939,1.0,0.004478437066488493,0.0012923100994562892,0.005160534056958272,-0.041606195997913514,0.04669296781546167,-0.02284003464815019,6107.333239994104,slack_oracle,Solve_Succeeded,0.12014141690451652,True,True,0.0005120079689939216,0.0,0.0,,none,0.7586107576985939,156.56456699174626,outputs/phase18_slack_oracle/stress/scenario_002/oracle_trajectory.csv,outputs/phase18_slack_oracle/stress/scenario_002/oracle_metrics.json
stress,3,10058,0.8400348122237011,0.7368166561589482,1.098880145389692,0.9663426523519489,0.4807149936858969,1.5,0.007381684733804169,0.0039628751550082695,0.0015802535717956004,-0.027669301938465292,0.05848110963791403,0.030446402496627712,-2492.964583448316,slack_oracle,Solve_Succeeded,0.22123262495733798,False,False,0.05170831709550111,0.0,30.0,4.0,high,1.230714993685897,4055051.942425099,outputs/phase18_slack_oracle/stress/scenario_003/oracle_trajectory.csv,outputs/phase18_slack_oracle/stress/scenario_003/oracle_metrics.json
