scenario_id,tier,seed,controller,time_s,alpha_rad,q_radps,theta_rad,measured_alpha_rad,measured_q_radps,measured_theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,alpha_error_rad,q_error_rad,theta_error_rad,solver_status,solve_time_s,solver_failure,learned_delta_flap_raw_rad,safety_delta_flap_raw_rad,pitching_moment_nm,cm,flap_effectiveness,delta_flap_raw_rad,delta_flap_delayed_rad,delta_flap_lagged_rad,delta_flap_rad,delta_flap_rate_radps,flap_saturated,flap_rate_saturated,altitude_m,velocity_mps,mach,density_kgm3,dynamic_pressure_pa,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,actuator_lag_s,actuator_delay_s,sensor_noise_alpha_rad,sensor_noise_q_radps,sensor_noise_theta_rad,initial_alpha_error_rad,initial_q_error_radps,initial_theta_error_rad,external_disturbance_moment_nm,corridor_violation
19,moderate,74,ridge_no_safety,0.0,0.0933418329592604,0.04682471705409887,0.09848074841972812,0.09334477574681699,0.046414001099296026,0.09792886941677395,0.12,-1.5202636718752993e-05,0.08,0.04999999999999999,0.19,-0.08,0.08,-0.02665816704073959,0.046839919690817626,0.01848074841972812,not_applicable,0.0,False,0.3070288521805068,0.3070288521805068,535.6098378618748,-0.017397351850110786,0.4015798869488264,0.3070288521805068,0.0,0.0,0.0,0.0,False,False,82000.0,6200.0,21.012104371718653,5.587335159140928e-06,107.38858175868863,1.1183134805316721,1.006216285054576,1.0705616557853193,1.0676795752504191,0.19769333141785744,0.5,1.1917964336129016e-05,0.0011225632749167018,0.0029069938956347873,-0.02665816704073959,0.046839919690817626,0.018480748419728115,583.4377275653063,False
19,moderate,74,ridge_no_safety,0.5,0.10579196886529632,0.04683529744088083,0.12189576284248008,0.10580613175000127,0.047836016002130166,0.12247163674252227,0.12002304098079561,-3.0341796874999716e-05,0.07999239868164063,0.0500230409807956,0.19002304098079562,-0.08,0.08,-0.014231072115499288,0.04686563923775583,0.04190336416083945,not_applicable,0.0,False,0.37214395708218695,0.35,492.8731027294528,-0.03293953310173667,0.40159248685423254,0.35,0.3070288521805068,0.28255092104007123,0.09,0.18,False,True,81998.8598022461,6199.7501458924335,21.01125760388222,5.5883398405797145e-06,107.39923503845935,1.1183134805316721,1.006216285054576,1.0705616557853193,1.0676795752504191,0.19769333141785744,0.5,1.1917964336129016e-05,0.0011225632749167018,0.0029069938956347873,-0.02665816704073959,0.046839919690817626,0.018480748419728115,583.4377275653063,False
19,moderate,74,ridge_no_safety,1.0,0.11695003301609327,0.046845036762240395,0.14531585607237954,0.1169392117493002,0.046976197552039765,0.15122426131353023,0.12009173525377229,-6.052490234374763e-05,0.079969658203125,0.05009173525377228,0.1900917352537723,-0.08,0.08,-0.0031417022376790116,0.04690556166458414,0.06534619786925454,not_applicable,0.0,False,0.35315278479336587,0.35,451.4390052010897,-0.04799377600224518,0.40162486243193063,0.35,0.35,0.3446226098995534,0.18,0.18,False,True,81995.44873046875,6199.108143368448,21.00908182581111,5.5913465738620504e-06,107.43476596029872,1.1183134805316721,1.006216285054576,1.0705616557853193,1.0676795752504191,0.19769333141785744,0.5,1.1917964336129016e-05,0.0011225632749167018,0.0029069938956347873,-0.02665816704073959,0.046839919690817626,0.018480748419728115,583.4377275653063,False
19,moderate,74,ridge_no_safety,1.5,0.12695022283044036,0.04685395962991558,0.1687406138477041,0.12694535336977697,0.04608377555370439,0.1643035051656458,0.12020543981481481,-9.05175781250045e-05,0.07993187377929688,0.0502054398148148,0.1902054398148148,-0.08,0.08,0.006744783015625547,0.04694447720804058,0.08880874006840724,not_applicable,0.0,False,0.3312597306083043,0.3312597306083043,411.13440337876807,-0.06261213428380413,0.4016744554206741,0.3312597306083043,0.35,0.34957128659518744,0.27,0.18000000000000005,False,True,81989.78106689453,6198.124722339112,21.005748963664374,5.596345986606257e-06,107.49671254662299,1.1183134805316721,1.006216285054576,1.0705616557853193,1.0676795752504191,0.19769333141785744,0.5,1.1917964336129016e-05,0.0011225632749167018,0.0029069938956347873,-0.02665816704073959,0.046839919690817626,0.018480748419728115,583.4377275653063,False
19,moderate,74,ridge_no_safety,2.0,0.13591276779795322,0.04686208734569042,0.19216963337258694,0.13590409755554303,0.044663363540706866,0.19106486642351514,0.12036351165980795,-0.00012031982421875642,0.079879140625,0.050363511659807944,0.19036351165980797,-0.08,0.08,0.01554925613814527,0.046982407169909174,0.11229049274758694,not_applicable,0.0,False,0.28891405671119913,0.28891405671119913,380.8500708033988,-0.07355603100952895,0.4017399997587981,0.28891405671119913,0.3312597306083043,0.3327196227433198,0.3327196227433198,0.12543924548663954,False,False,81981.87109375,6196.824988604601,21.00134410223131,5.6033308011187816e-06,107.58574427754037,1.1183134805316721,1.006216285054576,1.0705616557853193,1.0676795752504191,0.19769333141785744,0.5,1.1917964336129016e-05,0.0011225632749167018,0.0029069938956347873,-0.02665816704073959,0.046839919690817626,0.018480748419728115,583.4377275653063,False
19,moderate,74,ridge_no_safety,2.5,0.14394542659247037,0.0468696191640807,0.2156025669790031,0.143924544554955,0.0457082766560335,0.21267121943923956,0.12056530778463648,-0.00014993164062498954,0.07981155395507812,0.05056530778463647,0.19056530778463648,-0.08,0.08,0.02338011880783389,0.04701955080470569,0.135791013023925,not_applicable,0.0,False,0.33316387805205405,0.33316387805205405,385.63475599677747,-0.07174108936921425,0.4018206300465545,0.33316387805205405,0.28891405671119913,0.2924064634387325,0.2924064634387325,-0.08062631860917457,False,False,81971.73309326172,6195.226102903411,20.995925400097143,5.61229579902821e-06,107.70227556945005,1.1183134805316721,1.006216285054576,1.0705616557853193,1.0676795752504191,0.19769333141785744,0.5,1.1917964336129016e-05,0.0011225632749167018,0.0029069938956347873,-0.02665816704073959,0.046839919690817626,0.018480748419728115,583.4377275653063,False
19,moderate,74,ridge_no_safety,3.0,0.15114494826733593,0.046877255435844825,0.23903929189034473,0.15116084950064804,0.047903742811937634,0.24101437185670938,0.12081018518518519,-0.00017935302734374547,0.07972920898437501,0.05081018518518518,0.1908101851851852,-0.08,0.08,0.030334763082150745,0.04705660846318857,0.1593100829059697,not_applicable,0.0,False,0.4172707493723552,0.35,365.3712954945921,-0.0789845931702646,0.40191568368588926,0.35,0.33316387805205405,0.3299144857513574,0.3299144857513574,0.0750160446252498,False,False,81959.38134765625,6193.341204448907,20.98953738670099,5.6232377896663985e-06,107.84660224051306,1.1183134805316721,1.006216285054576,1.0705616557853193,1.0676795752504191,0.19769333141785744,0.5,1.1917964336129016e-05,0.0011225632749167018,0.0029069938956347873,-0.02665816704073959,0.046839919690817626,0.018480748419728115,583.4377275653063,False
19,moderate,74,ridge_no_safety,3.5,0.15759804569260574,0.04688449427721765,0.2624797349377631,0.1576008053974626,0.046995147702106346,0.260068264376755,0.12109750085733882,-0.00020858398437501036,0.07963220092773438,0.051097500857338815,0.19109750085733884,-0.08,0.08,0.03650054483526692,0.04709307826159266,0.18284753401002873,not_applicable,0.0,False,0.3893121217786581,0.35,352.1060790608749,-0.08365561734607417,0.40202462079258067,0.35,0.35,0.3483986787195834,0.3483986787195834,0.03696838593645202,False,False,81944.83013916016,6191.180999058791,20.98221634458463,5.636155582065338e-06,108.01895684209443,1.1183134805316721,1.006216285054576,1.0705616557853193,1.0676795752504191,0.19769333141785744,0.5,1.1917964336129016e-05,0.0011225632749167018,0.0029069938956347873,-0.02665816704073959,0.046839919690817626,0.018480748419728115,583.4377275653063,False
19,moderate,74,ridge_no_safety,4.0,0.16338231613111653,0.046891474831967775,0.28592373225928236,0.1633754554438367,0.04687159611851705,0.2874788105379317,0.12142661179698216,-0.00023762451171874255,0.079520625,0.05142661179698216,0.19142661179698217,-0.08,0.08,0.04195570433413437,0.04712909934368652,0.20640310725928235,not_applicable,0.0,False,0.3883369528164612,0.35,345.11365020400535,-0.08602452530873198,0.40214698367832524,0.35,0.35,0.34987233436936827,0.34987233436936827,0.0029473112995697104,False,False,81928.09375,6188.754562618874,20.973993032370615,5.6510499604482335e-06,108.21953667881326,1.1183134805316721,1.006216285054576,1.0705616557853193,1.0676795752504191,0.19769333141785744,0.5,1.1917964336129016e-05,0.0011225632749167018,0.0029069938956347873,-0.02665816704073959,0.046839919690817626,0.018480748419728115,583.4377275653063,False
19,moderate,74,ridge_no_safety,4.5,0.1685673362680852,0.04689832182168197,0.3093711859521414,0.1685647508445001,0.04868146929032639,0.30804707561478045,0.121796875,-0.00026647460937499756,0.07939457641601563,0.05179687499999999,0.191796875,-0.08,0.08,0.046770461268085206,0.04716479643105697,0.22997660953612578,not_applicable,0.0,False,0.4554631385677914,0.35,339.11528750439413,-0.08800346301951437,0.40228237351219553,0.35,0.35,0.34998982183435395,0.34998982183435395,0.0002349749299713766,False,False,81909.18646240234,6186.0698038826085,20.964894253212666,5.667923663103548e-06,108.44851994930107,1.1183134805316721,1.006216285054576,1.0705616557853193,1.0676795752504191,0.19769333141785744,0.5,1.1917964336129016e-05,0.0011225632749167018,0.0029069938956347873,-0.02665816704073959,0.046839919690817626,0.018480748419728115,583.4377275653063,False
