tier,scenario_id,seed,controller,time_s,alpha_rad,q_radps,theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,alpha_error_rad,q_error_rad,theta_error_rad,mach,altitude_m,dynamic_pressure_pa,delta_flap_rad,delta_flap_raw_rad,delta_flap_rate_radps,flap_saturated,flap_rate_saturated,solver_status,solve_time_s,solver_failure,actuator_tau_prediction_s,corridor_violation
stress,20,10075,slack_oracle,0.0,0.050107372425756996,0.043739734291676,0.04550815994213115,0.12,-1.5202636718752993e-05,0.08,0.04999999999999999,0.19,-0.08,0.08,-0.069892627574243,0.04375493692839475,-0.03449184005786885,21.012104371718653,82000.0,96.02726214802813,0.0,0.17999999657245883,0.0,False,False,oracle_solution,0.0,False,1.3354907118510861,False
stress,20,10075,slack_oracle,1.0,0.07947369717675379,0.04373848602413865,0.08924745614678024,0.12009173525377229,-6.052490234374763e-05,0.079969658203125,0.05009173525377228,0.1900917352537723,-0.08,0.08,-0.0406180380770185,0.0437990109264824,0.009277797943655242,21.00908182581111,81995.44873046875,96.0685602298398,0.09455760908879045,0.34999994995970124,0.0,False,False,oracle_solution,0.0,False,1.3354907118510861,False
stress,20,10075,slack_oracle,2.0,0.10303869003401271,0.04373496700874079,0.13298439070241994,0.12036351165980795,-0.00012031982421875642,0.079879140625,0.050363511659807944,0.19036351165980797,-0.08,0.08,-0.01732482162579524,0.04385528683295955,0.05310525007741994,21.00134410223131,81981.87109375,96.20356559270985,0.22874659504843162,0.34999999518709696,0.0,False,False,oracle_solution,0.0,False,1.3354907118510861,False
stress,20,10075,slack_oracle,3.0,0.12194604753668135,0.04372961625587597,0.17671680519338037,0.12081018518518519,-0.00017935302734374547,0.07972920898437501,0.05081018518518518,0.1908101851851852,-0.08,0.08,0.0011358623514961669,0.04390896928321972,0.09698759620900536,20.98953738670099,81959.38134765625,96.436825736233,0.29244343854466587,0.3499999944817535,0.0,False,False,oracle_solution,0.0,False,1.3354907118510861,False
stress,20,10075,slack_oracle,4.0,0.13711426056307555,0.04372312545265406,0.22044325377143797,0.12142661179698216,-0.00023762451171874255,0.079520625,0.05142661179698216,0.19142661179698217,-0.08,0.08,0.01568764876609338,0.043960749964372804,0.14092262877143796,20.973993032370615,81928.09375,96.77030507346042,0.32267905199149943,0.3499999936257712,0.0,False,False,oracle_solution,0.0,False,1.3354907118510861,False
stress,20,10075,slack_oracle,5.0,0.14928089311958767,0.043715867763669584,0.26416280289533617,0.1222076474622771,-0.0002951342773437615,0.079254150390625,0.05220764746227709,0.1922076474622771,-0.08,0.08,0.027073245657310577,0.044011002041013346,0.18490865250471117,20.95494384003998,81888.12255859375,97.20537020188468,0.3370312907036329,0.3499999926055536,0.0,False,False,oracle_solution,0.0,False,1.3354907118510861,False
stress,20,10075,slack_oracle,6.0,0.15903810820882655,0.04370805521146464,0.3078748018948825,0.12314814814814815,-0.0003518823242187469,0.07893054687500001,0.05314814814814814,0.19314814814814815,-0.08,0.08,0.035889960060678405,0.04405993753568339,0.22894425501988247,20.932572348428415,81839.58203125,97.74323405265748,0.34384400997130926,0.3499999913997913,0.0,False,False,oracle_solution,0.0,False,1.3354907118510861,False
stress,20,10075,slack_oracle,7.0,0.16686127678177232,0.043699815255961116,0.3515787650794374,0.12424296982167352,-0.00040786865234375413,0.078550576171875,0.05424296982167351,0.19424296982167352,-0.08,0.08,0.0426183069600988,0.04410768390830487,0.2730281889075624,20.907030470688255,81782.58642578125,98.38513610383856,0.347077870507734,0.34999998997808873,0.0,False,False,oracle_solution,0.0,False,1.3354907118510861,False
stress,20,10075,slack_oracle,8.0,0.17313198544060668,0.043691228723475986,0.3952743085215199,0.1254869684499314,-0.00046309326171874166,0.078115,0.055486968449931395,0.1954869684499314,-0.08,0.08,0.047645016990675276,0.04415432198519473,0.3171593085215199,20.878449470932924,81717.25,99.13243363161222,0.34861291848467835,0.3499999882985048,0.0,False,False,oracle_solution,0.0,False,1.3354907118510861,False
stress,20,10075,slack_oracle,9.0,0.178156524881213,0.04368234909411173,0.4389611142210944,0.126875,-0.0005175561523437511,0.077624580078125,0.05687499999999998,0.196875,-0.08,0.08,0.051281524881213014,0.04419990524645548,0.3613365341429694,20.84694573386822,81643.68701171875,99.98665450606008,0.3493415740831904,0.34999998630359236,0.0,False,False,oracle_solution,0.0,False,1.3354907118510861,False
stress,20,10075,slack_oracle,10.0,0.18218073982400015,0.04367321268351695,0.4826389084175805,0.12840192043895748,-0.0005712573242187546,0.077080078125,0.05840192043895748,0.1984019204389575,-0.08,0.08,0.05377881938504267,0.0442444700077357,0.4055588302925805,20.81262440308339,81562.01171875,100.94953086698972,0.3496874512306435,0.3499999839141517,0.0,False,False,oracle_solution,0.0,False,1.3354907118510861,False
stress,20,10075,slack_oracle,11.0,0.18540195319197772,0.04366384429091806,0.5263074475343362,0.13006258573388202,-0.0006241967773437523,0.076482255859375,0.06006258573388201,0.20006258573388203,-0.08,0.08,0.0553393674580957,0.04428804106826181,0.4498251916749612,20.7755818231183,81472.33837890625,102.02302244159293,0.34985163091885113,0.34999998101926777,0.0,False,False,oracle_solution,0.0,False,1.3354907118510861,False
stress,20,10075,slack_oracle,12.0,0.1879785393993039,0.04365426052510331,0.5699665084728712,0.13185185185185186,-0.0006763745117187442,0.075831875,0.06185185185185185,0.20185185185185187,-0.08,0.08,0.05612668754745204,0.04433063503682205,0.49413463347287123,20.735907258102767,81374.78125,103.20933395739617,0.34992956220257665,0.3499999774599684,0.0,False,False,oracle_solution,0.0,False,1.3354907118510861,False
stress,20,10075,slack_oracle,13.0,0.19003760948187323,0.04364447189290791,0.6136158815465526,0.13376457475994513,-0.000727790527343744,0.075129697265625,0.06376457475994513,0.20376457475994514,-0.08,0.08,0.0562730347219281,0.044372262420251656,0.5384861842809275,20.693684147169208,81269.45458984375,104.51092911226299,0.34996655274984956,0.34999997300133645,0.0,False,False,oracle_solution,0.0,False,1.3354907118510861,False
stress,20,10075,slack_oracle,14.0,0.19168118011068946,0.04363448419299182,0.6572553651212464,0.13579561042524005,-0.0007784448242187519,0.074376484375,0.06579561042524004,0.20579561042524006,-0.08,0.08,0.055885569685449416,0.04441292901721057,0.5828788807462464,20.64899104951369,81156.47265625,105.93054255246136,0.34998410907838245,0.3499999672824341,0.0,False,False,oracle_solution,0.0,False,1.3354907118510861,False
stress,20,10075,slack_oracle,15.0,0.1929911254081901,0.04362429949476953,0.7008847614244782,0.13793981481481482,-0.000828337402343754,0.073572998046875,0.06793981481481481,0.20793981481481483,-0.08,0.08,0.055051310593375286,0.04445263689711328,0.6273117633776032,20.60190237372883,81035.94970703125,107.47119075862324,0.3499924397110943,0.3499999597204499,0.0,False,False,oracle_solution,0.0,False,1.3354907118510861,False
stress,20,10075,slack_oracle,16.0,0.1940331516411159,0.043613916852861846,0.7445038731915555,0.1401920438957476,-0.0008774682617187501,0.07272,0.0701920438957476,0.2101920438957476,-0.08,0.08,0.053841107745368294,0.044491385114580596,0.6717838731915555,20.552488952527018,80908.0,109.13618242118898,0.3499963901228639,0.34999994931165157,0.0,False,False,oracle_solution,0.0,False,1.3354907118510861,False
stress,20,10075,slack_oracle,17.0,0.19485998755543762,0.04360333284226249,0.7881125009308844,0.1425471536351166,-0.0009258374023437543,0.071818251953125,0.0725471536351166,0.21254715363511661,-0.08,0.08,0.05231283392032102,0.044529170244606245,0.7162942489777594,20.500818503759668,80772.73779296875,110.92912869447922,0.34999825983613314,0.3499999341714719,0.0,False,False,oracle_solution,0.0,False,1.3354907118510861,False
