scenario_id,tier,seed,fault,controller,time_s,alpha_rad,q_radps,theta_rad,measured_alpha_rad,measured_q_radps,measured_theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,alpha_error_rad,q_error_rad,theta_error_rad,solver_status,solver_failure,fault_active,fallback_action,safe_mode_active,constraint_tightening_active,residual_error_rad,delta_flap_raw_rad,delta_flap_delayed_rad,delta_flap_lagged_rad,delta_flap_rad,delta_flap_rate_radps,flap_saturated,flap_rate_saturated,fault_extra_actuator_delay_active,fault_stuck_flap_override,altitude_m,velocity_mps,mach,density_kgm3,dynamic_pressure_pa,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,actuator_lag_s,actuator_delay_s,sensor_noise_alpha_rad,sensor_noise_q_radps,sensor_noise_theta_rad,initial_alpha_error_rad,initial_q_error_radps,initial_theta_error_rad,external_disturbance_moment_nm,corridor_violation
0,fault_injection,1511,sudden_density_jump,residual_nmpc_no_fallback,89.0,0.19124475179772873,0.04114043901355655,4.110332520986352,0.1912438527954771,0.04111868882844822,4.109433592282165,0.2682953371525169,-0.0024066186523437616,-0.07184495117187502,0.1982953371525169,0.3382953371525169,-0.08,0.08,-0.07705058535478818,0.043547057665900314,4.182177472158227,held,False,True,none,False,False,0.07705148435703982,0.3500000004454478,0.3500000004454478,0.3500000004454478,0.35,0.0,False,False,False,False,59223.25732421875,4080.722185529149,13.829767818439732,0.0002629361257949257,2189.244776537518,1.0,1.0,1.0,1.0,0.0,0.0,0.0005,0.0002,0.0005,-0.035,0.04655,0.0,0.0,True
0,fault_injection,1511,sudden_density_jump,residual_nmpc_no_fallback,89.5,0.19077281229785178,0.04101607350041277,4.130871641760202,0.19059892945287787,0.04115350227210762,4.131224688093309,0.2676506298131105,-0.0024030957031249967,-0.07304740356445315,0.1976506298131105,0.3376506298131105,-0.08,0.08,-0.07687781751525871,0.043419169203537764,4.203919045324655,held,False,True,none,False,False,0.07705170036023262,0.3500000004454478,0.3500000004454478,0.3500000004454478,0.35,0.0,False,False,False,False,59042.88946533203,4065.797352405041,13.779186826289047,0.0002705219824149072,2235.959964431125,1.0,1.0,1.0,1.0,0.0,0.0,0.0005,0.0002,0.0005,-0.035,0.04655,0.0,0.0,True
0,fault_injection,1511,sudden_density_jump,residual_nmpc_no_fallback,90.0,0.19029050276372586,0.040889032581890694,4.151347910611066,0.19024420940585565,0.04092549461213406,4.151631499093788,0.26699192336589034,-0.0023993823242187684,-0.07424804687500001,0.19699192336589033,0.33699192336589034,-0.08,0.08,-0.07670142060216448,0.04328841490610946,4.225595957486066,Solve_Succeeded,False,True,none,False,False,0.07674771396003469,0.3500000010323566,0.3500000010323566,0.3500000010323566,0.35,0.0,False,False,False,False,58862.79296875,4050.911002946254,13.728736257169384,0.00027831478564405534,2283.556110892015,1.0,1.0,1.0,1.0,0.0,0.0,0.0005,0.0002,0.0005,-0.035,0.04655,0.0,0.0,True
0,fault_injection,1511,sudden_density_jump,residual_nmpc_no_fallback,90.5,0.1897976252200799,0.04075926891803303,4.171759977988646,0.19045484014297698,0.040909406483516514,4.171078135166763,0.2663194819449662,-0.002395478515624966,-0.07544678588867192,0.19631948194496618,0.3363194819449662,-0.08,0.08,-0.07652185672488629,0.043154747433658,4.247206763877318,held,False,True,none,False,False,0.07586464180198921,0.3500000010323566,0.3500000010323566,0.3500000010323566,0.35,0.0,False,False,False,False,58682.98211669921,4036.0641678327297,13.678419604105663,0.0002863191755424303,2332.043052365934,1.0,1.0,1.0,1.0,0.0,0.0,0.0005,0.0002,0.0005,-0.035,0.04655,0.0,0.0,True
0,fault_injection,1511,sudden_density_jump,residual_nmpc_no_fallback,91.0,0.1892939798350112,0.040626734903791345,4.192106470605962,0.18849598845418788,0.04103554231757563,4.192124220336735,0.26563356968444785,-0.0023913842773437277,-0.07664352539062498,0.19563356968444784,0.33563356968444785,-0.08,0.08,-0.07633958984943665,0.04301811918113507,4.268749995996587,held,False,True,none,False,False,0.07713758123025996,0.3500000010323566,0.3500000010323566,0.3500000010323566,0.35,0.0,False,False,False,False,58503.47119140625,4021.257875604648,13.628240352871046,0.0002945398425910614,2381.4304569423,1.0,1.0,1.0,1.0,0.0,0.0,0.0005,0.0002,0.0005,-0.035,0.04655,0.0,0.0,True
0,fault_injection,1511,sudden_density_jump,residual_nmpc_no_fallback,91.5,0.1887793649941189,0.04049138269499538,4.212385991313286,0.1889296191506133,0.04069752460018631,4.21215400005534,0.2649344507184448,-0.0023870996093749985,-0.07783817016601564,0.19493445071844479,0.3349344507184448,-0.08,0.08,-0.07615508572432589,0.04287848230437038,4.290224161479301,held,False,True,none,False,False,0.0760048315678315,0.3500000010323566,0.3500000010323566,0.3500000010323566,0.35,0.0,False,False,False,False,58324.274475097656,4006.4931526819596,13.57820198205314,0.00030298152533136393,2431.7278108729247,1.0,1.0,1.0,1.0,0.0,0.0,0.0005,0.0002,0.0005,-0.035,0.04655,0.0,0.0,True
0,fault_injection,1511,sudden_density_jump,residual_nmpc_no_fallback,92.0,0.18825357737952783,0.04035316423563562,4.232597118985393,0.18907427672262903,0.04039372089694082,4.232616509478258,0.2642223891810669,-0.002382624511718723,-0.07903062499999998,0.19422238918106688,0.3342223891810669,-0.08,0.08,-0.07596881180153905,0.04273578874735434,4.311627743985393,Solve_Succeeded,False,True,none,False,False,0.07514811245843786,0.3500000010721849,0.3500000010721849,0.3500000010721849,0.35,0.0,False,False,False,False,58145.40625,3991.771023383624,13.528307963119177,0.0003116490078175178,2482.9444047696106,1.0,1.0,1.0,1.0,0.0,0.0,0.0005,0.0002,0.0005,-0.035,0.04655,0.0,0.0,True
0,fault_injection,1511,sudden_density_jump,residual_nmpc_no_fallback,92.5,0.18771641205392,0.040212031286478676,4.252738408422788,0.18822205857167848,0.04003571106463669,4.2537288059848395,0.26349764920642377,-0.0023779589843750393,-0.08022079467773437,0.19349764920642376,0.3334976492064238,-0.08,0.08,-0.07578123715250376,0.042589990270853716,4.332959203100522,held,False,True,none,False,False,0.07527559063474529,0.3500000010721849,0.3500000010721849,0.3500000010721849,0.35,0.0,False,False,False,False,57966.880798339844,3977.092509946549,13.478561760480225,0.00032054711687559673,2535.0893194855394,1.0,1.0,1.0,1.0,0.0,0.0,0.0005,0.0002,0.0005,-0.035,0.04655,0.0,0.0,True
0,fault_injection,1511,sudden_density_jump,residual_nmpc_no_fallback,93.0,0.18716766254968778,0.040067935455033905,4.2728083902675715,0.18817944806897088,0.039821123527593726,4.272686390610643,0.26276049492862513,-0.0023731030273437537,-0.08140858398437502,0.19276049492862513,0.33276049492862514,-0.08,0.08,-0.07559283237893735,0.04244103848237766,4.354216974251947,held,False,True,none,False,False,0.07458104685965425,0.3500000010721849,0.3500000010721849,0.3500000010721849,0.35,0.0,False,False,False,False,57788.71240234375,3962.4586325442483,13.428966831554407,0.00032968071916323667,2588.1714116858775,1.0,1.0,1.0,1.0,0.0,0.0,0.0005,0.0002,0.0005,-0.035,0.04655,0.0,0.0,True
0,fault_injection,1511,sudden_density_jump,residual_nmpc_no_fallback,93.5,0.1866071209633187,0.03992082822688773,4.292805570934641,0.1868284924053904,0.03963655255221075,4.2927872982584745,0.2620111904817807,-0.0023680566406250325,-0.08259389770507812,0.19201119048178067,0.3320111904817807,-0.08,0.08,-0.07540406951846199,0.04228888486751276,4.37539946863972,held,False,True,none,False,False,0.07518269807639028,0.3500000010721849,0.3500000010721849,0.3500000010721849,0.35,0.0,False,False,False,False,57610.91534423828,3947.870409305223,13.379526626829191,0.0003390547180236737,2642.1992991138254,1.0,1.0,1.0,1.0,0.0,0.0,0.0005,0.0002,0.0005,-0.035,0.04655,0.0,0.0,True
