tier,controller,scenario_count,strict_success_count,strict_success_rate,controlled_recovery_count,controlled_recovery_rate,oracle_feasible_count,oracle_near_feasible_count,mean_rms_alpha_error_rad,median_max_alpha_miss_rad,mean_solve_time_s,p95_solve_time_s,mean_policy_inference_time_s,mean_policy_mpc_command_gap_rad,feasible_count,near_feasible_count,strict_gap_to_audited_ceiling,controlled_gap_to_near_ceiling
moderate,hybrid_blended_slack_mpc,30,15,0.5,24,0.8,15,24,0.04962623860706294,0.0005996771222737812,0.012182437682020337,0.026506940151254335,3.0213839244174122e-05,0.019006037395807685,15,24,0,0
moderate,hybrid_prior_slack_mpc,30,15,0.5,24,0.8,15,24,0.04962742815904672,0.0006003591916415169,0.012095731373928074,0.02659119580251475,3.0366874849922e-05,0.05389034362179863,15,24,0,0
moderate,hybrid_warm_start_slack_mpc,30,15,0.5,24,0.8,15,24,0.04963379710090217,0.0006116692695225107,0.012047526650149912,0.026514011066562187,3.0393540809398568e-05,0.06376758842603483,15,24,0,0
stress,hybrid_blended_slack_mpc,30,11,0.36666666666666664,17,0.5666666666666667,11,17,0.0643512028844717,0.019490323958827743,0.012530502751987015,0.02725532077020034,2.879305108385199e-05,0.02419966443826652,11,17,0,0
stress,hybrid_prior_slack_mpc,30,11,0.36666666666666664,17,0.5666666666666667,11,17,0.06436295937734211,0.019532902638407526,0.012505114826741687,0.027127812531155846,2.8718771928453767e-05,0.04088082843971112,11,17,0,0
stress,hybrid_warm_start_slack_mpc,30,11,0.36666666666666664,17,0.5666666666666667,11,17,0.06440077978857545,0.019657924817551638,0.0124025011351792,0.026807423595649502,2.9036039850624744e-05,0.06871673797754087,11,17,0,0
